,scale,w1-freq,w2-freq,mean-freq,harm-freq
592,592 - первый - последний,1345.6,712.6,1029.1,931.76
248,248 - да - нет,801.0,874.0,837.5,835.91
79,79 - большой - маленький малый мелкий,944.4,672.8,808.5999999999999,785.79
80,80 - большой - маленький малый,944.4,564.3,754.3499999999999,706.47
547,547 - новый - старый старинный,1217.5,417.6,817.55,621.89
257,257 - день - ночь,1258.4,402.8,830.6,610.26
176,176 - всё - ничто,433.3,902.8,668.05,585.56
721,721 - старый - новый свежий,368.5,1298.8,833.65,574.11
548,548 - новый - старый,1217.5,368.5,793.0,565.76
153,153 - война - мир,425.9,714.7,570.3,533.74
189,189 - высокий - низенький низкий низкорослый маленький,483.3,583.6,533.45,528.74
77,77 - большой - малый небольшой,944.4,346.79999999999995,645.5999999999999,507.31
428,428 - маленький - колоссальный гигантский огромный громадный великий,414.1,628.7,521.4000000000001,499.32
446,446 - можно - нельзя,1125.9,317.7,721.8000000000001,495.56
175,175 - все - никто,433.3,562.2,497.75,489.4
624,624 - потом - сначала сперва прежде,1006.1,309.6,657.85,473.49
301,301 - жизнь - смерть,1389.8,284.1,836.95,471.76
454,454 - молодой - старый старик,400.0,519.5,459.75,451.98
720,720 - старый - юный молодой,368.5,453.8,411.15,406.73
722,722 - старый - юный молодой,368.5,453.8,411.15,406.73
764,764 - хороший - нехороший плохой худой отвратительный скверный дурной,471.4,332.2,401.79999999999995,389.74
453,453 - молодой - старый,400.0,368.5,384.25,383.6
452,452 - молодой - старый,400.0,368.5,384.25,383.6
102,102 - великий - малый маленький,276.3,564.3,420.29999999999995,370.96
33,33 - белый - чёрный,339.6,337.5,338.55,338.55
128,128 - вечер - утро,335.4,301.3,318.35,317.44
394,394 - крупный - маленький мелкий,217.3,522.6,369.95000000000005,306.96
393,393 - крупный - маленький мелкий,217.3,522.6,369.95000000000005,306.96
767,767 - чужой - свой родной,159.6,3945.8,2052.7000000000003,306.79
695,695 - свой - чужой,3825.5,159.6,1992.55,306.42
600,600 - плохой - хороший,221.6,471.4,346.5,301.48
84,84 - брать - давать отдавать,226.3,441.0,333.65,299.11
553,553 - общий - индивидуальный личный,492.4,210.6,351.5,295.02
249,249 - давать - брать отнимать,370.7,238.0,304.35,289.89
59,59 - близкий - чужой далёкий,206.8,477.9,342.35,288.68
58,58 - близкий - далёкий дальний,206.8,393.20000000000005,300.0,271.05
214,214 - говорить - молчать,1755.0,144.5,949.75,267.02
266,266 - длинный - низенький низкий маленький,170.1,579.5,374.8,263.0
90,90 - быстро - тихо медленно,255.7,250.4,253.05,253.02
402,402 - легкий - тяжелый тяжкий трудный нелёгкий,202.1,303.6,252.85000000000002,242.66
191,191 - высокий - низкий,483.3,160.7,322.0,241.2
404,404 - лёгкий - сильный крепкий,202.1,294.1,248.10000000000002,239.57
190,190 - высокий - малый,483.3,150.2,316.75,229.18
717,717 - собственный - чужой,338.3,159.6,248.95,216.88
272,272 - добрый - худой плохой дурной,171.1,287.3,229.2,214.47
433,433 - малый - старый,150.2,368.5,259.35,213.41
434,434 - малый - старый,150.2,368.5,259.35,213.41
711,711 - сложный - простой элементарный,154.5,298.5,226.5,203.61
280,280 - друг - недруг враг,874.2,113.89999999999999,494.05,201.54
599,599 - плохо - хорошо,126.5,485.7,306.1,200.72
640,640 - простой - сложный,275.3,154.5,214.9,197.92
166,166 - враг - друг,110.3,874.2,492.25,195.88
103,103 - великий - малый,276.3,150.2,213.25,194.61
406,406 - легко - тяжело нелегко трудно,157.9,246.7,202.3,192.56
616,616 - полный - пустой,390.6,127.5,259.05,192.25
401,401 - лёгкий - тяжелый,202.1,180.3,191.2,190.58
405,405 - лёгкий - серьёзный,202.1,173.0,187.55,186.42
265,265 - длинный - короткий краткий,170.1,202.4,186.25,184.85
685,685 - свет - темнота тьма мрак,359.7,124.19999999999999,241.95,184.64
143,143 - внутренний - наружный внешний,216.1,161.0,188.55,184.52
435,435 - медленно - быстро скоро,115.4,423.0,269.2,181.33
60,60 - близкий - чужой,206.8,159.6,183.2,180.16
250,250 - давно - недавно,272.0,133.3,202.65,178.92
554,554 - общий - частный,492.4,108.7,300.55,178.09
163,163 - вперёд - назад,128.1,290.7,209.39999999999998,177.84
264,264 - длинный - короткий,170.1,175.6,172.85,172.81
686,686 - свет - темнота тьма,359.7,108.1,233.89999999999998,166.24
72,72 - боль - радость счастье,113.3,286.4,199.85,162.37
275,275 - долгий - короткий краткий,135.5,202.4,168.95,162.33
89,89 - будущий - прошлый прошедший прежний,111.7,294.4,203.04999999999998,161.95
414,414 - личный - общественный,149.2,168.1,158.64999999999998,158.09
623,623 - постепенно - сразу,91.7,486.0,288.85,154.29
355,355 - известный - неизвестный незнакомый,281.1,105.4,193.25,153.31
399,399 - левый - правый,117.2,210.4,163.8,150.54
688,688 - свет - тень,359.7,94.3,227.0,149.43
682,682 - рождение - смерть,98.5,284.1,191.3,146.28
392,392 - крупный - мелкий,217.3,108.5,162.9,144.73
336,336 - здоровый - маленький,86.6,414.1,250.35000000000002,143.24
73,73 - больше - меньше,415.3,83.2,249.25,138.63
704,704 - сильный - слабенький слабый,220.5,98.1,159.3,135.79
299,299 - живой - покойник мёртвый,284.0,86.8,185.4,132.96
313,313 - завтра - вчера,138.5,127.6,133.05,132.83
705,705 - сильный - слабый,220.5,94.1,157.3,131.91
149,149 - возможно - невозможно,161.8,108.5,135.15,129.89
694,694 - свобода - зависимость несвобода рабство,174.9,103.2,139.05,129.81
617,617 - полный - худощавый тоненький худой тощий худенький,390.6,75.7,233.15,126.82
91,91 - быстрый - медленный тихий,119.8,133.2,126.5,126.15
