w1,w2,examples
['АБСОЛЮТНЫЙ'],['ОТНОСИТЕЛЬНЫЙ'],"[['Для сознания человека, то есть для мысли человека, устремленной на самого себя, может быть совершенство только относительное, но не абсолютное.', ['абсолютное'], ['относительное']]]"
['АБСТРАКТНЫЙ'],['КОНКРЕТНЫЙ'],"[['Абстрактная возможность еще не есть конкретная вероятность; тем менее можно считать ее окончательным доводом там, где речь идет об исторической необходимости.', ['Абстрактная'], ['конкретная']], ['Открывать новое, создавать новое. Это довольно абстрактно. А новизна в науке всегда конкретна.', ['абстрактно'], ['конкретна']], ['Вся наша жизнь должна быть ориентирована на конкретных идеях нации и личности, а не на абстрактных идеях класса и человечества.', ['абстрактных'], ['конкретных']], ['Подменять конкретное абстрактным — один из самых главных грехов, самых опасных в революции.', ['абстрактным'], ['конкретное']]]"
['АД'],['РАЙ'],"[['Выдумки о рае и аде, кроме того, что совершенно произвольны и ни на чем не основаны, в высшей степени и безнравственны и кощунственны.', ['аде'], ['рае']], ['Религия учит, что самоубийцы не допускаются ни в ад, ни в рай, им суждены какие-то промежуточные сферы.', ['ад'], ['рай']], ['Только вот не верю я в рай и ад. Зачем вы нас за дураков считаете, рай и ад нам сулите.', ['ад'], ['рай']], ['Простонародью очки втирая, Адом пугая, Прельщая раем, И лысые, как колено, И мохнатые, как звери, С евангелиями вер, с заговорами суеверий, Рясами вздыбив пыль — Армией двинулись черно-белые попы!', ['Адом'], ['раем']], ['Ни ада не бойтесь, ни на рай не надейтесь. И ад и рай мы сами делаем себе любовью или отсутствием любви в той одной жизни, которую мы знаем.', ['ада'], ['рай']], ['А люди же, напротив того, всё устраивают не себя, а других людей, так поступают правительства, так поступают революционеры, так поступают и все прожектеры, и все те, которые придумывают проекты для того, чтобы сделать из земли рай, а не ад.', ['ад'], ['рай']], ['Я был и в аду, каким представляется Сахалин, и в раю, т.е. на острове Цейлоне.', ['аду'], ['раю']], ['Ее находишь ли ты, что мы из ада попали в рай ?', ['ада'], ['рай']]]"
['АКТИВНО'],['ПАССИВНО'],"[['Искусство, активно или пассивно, сознательно или бессознательно отмежевывается от социальных сил,— все-таки является социальной силой.', ['активно'], ['пассивно']]]"
['АКТИВНОСТЬ'],['ПАССИВНОСТЬ'],"[['Если русское государство доныне хотело существовать пассивностью своего народа, то отнынеоно может существовать лишь активностью народа.', ['активностью'], ['пассивностью']], ['Но мировая роль России предполагает пробуждение в ней творческой активности человека, выход из состояния пассивности и растворенности.', ['активности'], ['пассивности']]]"
['АКТИВНЫЙ'],['ПАССИВНЫЙ'],"[['Русский анархизм — женственный, а не мужественный, пассивный, а не активный.', ['активный'], ['пассивный']], ['Знаешь, папа, ты пассивен там, где нужна энергия, и слишком активен в том, что никакого отношения к делу не имеет!', ['активен'], ['пассивен']]]"
['АЛЬТРУИЗМ'],['ЭГОИЗМ'],"[['Альтруизм — этический принцип, заключающийся в бескорыстной заботе о «благе ближнего», противополагается эгоизму.', ['Альтруизм'], ['эгоизму']], ['Формула альтруизма опровергается, по-моему, точно так же просто, как и формула эгоизма.', ['альтруизма'], ['эгоизма']]]"
['АЛЬТРУИСТ'],['ЭГОИСТ'],"[['Мы называем эгоистом того, кто противоположен альтруисту.', ['альтруисту'], ['эгоистом']]]"
['АНТИПАТИЯ'],['СИМПАТИЯ'],"[['Андреев хочет в нас возбудить симпатию к Иуде и антипатию к человечеству.', ['антипатию'], ['симпатию']], ['К нему можно было ходить и не ходить: он не возбуждал ни симпатии, ни антипатии.', ['антипатии'], ['симпатии']], ['Я тоже не питаю особых симпатий к Воробейцеву, и в этом смысле я вас понимаю. Но собственные симпатии в таких делах могут только ввести в заблуждение.', ['X'], ['симпатий']]]"
"['БЕДА', 'БЕДА']","['СЧАСТЬЕ', 'РАДОСТЬ']","[['Мы счастья ждем, а на порог валит беда.', ['беда'], ['счастья']], ['И те же радости и беды Душой сыновней ведал он: И всю войну, и День Победы, И дело нынешних времен.', ['беды'], ['радости']], ['Он знал и радости и беды, И вот в пороховом дыму Идет дорогою победы К двадцатилетью своему.', ['беды'], ['радости']]]"
['БЕДА'],['УДАЧА'],"[['И сам бы я хотел Забыть о всяких бреднях, Рассудка не терять В удаче и в беде.', ['беде'], ['удаче']], ['Такие письма иногда Нам шлет судьба, а это значит, Что, если скрутит нас беда И не обрадует удача, Есть отчий край и дом родной.', ['беда'], ['удача']]]"
['БЕДНО'],['БОГАТО'],"[['Одни живут очень богато, другие очень бедно и служат писарями на станциях.', ['бедно'], ['богато']], ['И бедно, да сбойливо, и богато, да рассыпчато.', ['бедно'], ['богато']]]"
