	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	109	-0.2823292543780205	5.580956956638603e-05	198.0	0.011050294774144435	37	0.30308510666905514	0.0077826561037110855	76.0	0.5914818638820425	238	0.38256143151503597	0.0015239299655025653	66.0	0.10057937772316931	214	-0.36693263260177195	0.0003210182883911722	92.0	0.029533682531987845	293	-0.7426656609434178	8.533291041504358e-11	55.0	4.693310072827396e-09	91	0.17326951932793272	0.04867424904415964	130.0	6.327652375740753	52	0.3767746028619459	0.007619890883740399	49.0	0.37337465330327957	162	-0.25725357597975557	0.037047328666562906	66.0	2.445123691993152	232	-0.5238165433347474	1.2478621005838442e-05	62.0	0.0007736745023619834	39	0.28532888845011284	0.003825480949293703	101	0.386373575878664	214	-0.42398834463910173	0.00020611371391268687	72.0	0.014840187401713455	97	0.560003327660687	0.0005732686788106288	34.0	0.01949113507956138	293	0.4673456744333098	0.0018057640733239316	42.0	0.07584209107960513	83	0.43682009566678237	0.0030304580682099114	44.0	0.1333401550012361	105	-0.3859338613919782	0.01831491477305492	37.0	0.677651846603032
1	290	0.24442198568604234	0.0005198137816540429	198.0	0.10292312876750048						164	0.3473909095562413	0.004264811142388823	66.0	0.28147753539766235	161	0.35765705514948143	0.00046499442219166725	92.0	0.042779486841633386	17	0.5946965619341081	1.6872417558052286e-06	55.0	9.279829656928758e-05						239	-0.2992245811624483	0.03674206006132008	49.0	1.800360943004684						218	0.523371952679116	1.2730803887607587e-05	62.0	0.0007893098410316704	141	-0.2661429637128817	0.007142816946647656	101	0.7214245116114132	222	-0.3845965323780393	0.0008512098859152372	72.0	0.06128711178589708	32	-0.5413804524809903	0.0009450016198255569	34.0	0.032130055074068936	106	-0.4272620094029489	0.004770882345773815	42.0	0.2003770585225002	74	0.4054589079262627	0.006324821610104595	44.0	0.2782921508446022	102	-0.3268017676533624	0.04835769972886627	37.0	1.789234889968052
2	151	0.22851785576857792	0.0012031732535668488	198.0	0.23822830420623606						201	0.3115740424766432	0.01087747240636251	66.0	0.7179131788199257	21	0.35255543666895717	0.0005674205133298011	92.0	0.0522026872263417	42	0.5798492440334242	3.4959153641824387e-06	55.0	0.00019227534503003414																35	0.5123264245718219	2.0742681417200574e-05	62.0	0.0012860462478664356	57	-0.2654812615981332	0.00729274643818726	101	0.7365673902569133	27	0.3082552387098449	0.008430121128166856	72.0	0.6069687212280136	75	-0.49615481407784323	0.0028424132202472577	34.0	0.09664204948840677	267	0.38566834800538674	0.011655189442961351	42.0	0.48951795660437675	44	0.39858593102409207	0.0073651725430464825	44.0	0.3240675918940452	257	0.32564964167217975	0.04920113308676687	37.0	1.8204419242103742
3	87	0.20582049037430503	0.0036255815460638097	198.0	0.7178651461206343						190	-0.3097942682809264	0.011364020159718085	66.0	0.7500253305413936	42	-0.34975165254768154	0.000632136291968629	92.0	0.05815653886111387	300	-0.5539954338323183	1.145027032687849e-05	55.0	0.0006297648679783169																124	0.5069133935226192	2.6188131665595826e-05	62.0	0.0016236641632669411	20	-0.2624617516162182	0.008012775989804235	101	0.8092903749702277	228	0.2972925164563542	0.011210018591183616	72.0	0.8071213385652204	214	-0.49554302544149237	0.002882173807128275	34.0	0.09799390944236135	151	-0.3828044346468417	0.012345607054286223	42.0	0.5185154962800214	143	-0.3665679660925473	0.0143891919218195	44.0	0.633124444560058					
4	232	-0.20449244520205365	0.0038543035104071995	198.0	0.7631520950606255						46	-0.2941548295414271	0.016513394113340983	66.0	1.0898840114805048	11	-0.3293106754466117	0.0013489597744919728	92.0	0.1241042992532615	47	0.538631577352091	2.2141499068835974e-05	55.0	0.0012177824487859786																23	-0.49655611373748787	4.046694688305315e-05	62.0	0.002508950706749295	259	0.26104541566491785	0.00837159939480271	101	0.8455315388750737	119	-0.2924300304928679	0.012678573929132964	72.0	0.9128573228975734	215	-0.4934430166627649	0.003022353480212133	34.0	0.10276001832721252	115	-0.3218930464809488	0.03763222178734498	42.0	1.5805533150684892	57	-0.362614381486615	0.015561791908316667	44.0	0.6847188439659333					
5	142	-0.19875894301567265	0.004998341379126908	198.0	0.9896715930671277						247	-0.287755516177208	0.019136560316753	66.0	1.263012980905698	89	-0.3040641646539661	0.003211716623350444	92.0	0.29547792934824085	60	0.5082870652650723	7.438435843176952e-05	55.0	0.004091139713747324																36	-0.4858798680594565	6.246497804680841e-05	62.0	0.0038728286389021213	202	0.2604234744269197	0.008533587455303231	101	0.8618923329856264	13	0.2883857768955812	0.014024139097092462	72.0	1.0097380149906572	207	0.4651866102973845	0.00556857802910375	34.0	0.1893316529895275						191	-0.35871193062619705	0.01679769321694781	44.0	0.7390985015457037					
6	222	0.19610155034332796	0.0056253119411962	198.0	1.1138117643568477						11	0.26588090120938923	0.030946663785148213	66.0	2.042479809819782	126	0.2942894564948166	0.004406746739317702	92.0	0.4054207000172286	35	-0.4375236477007156	0.0008367872256413774	55.0	0.046023297410275756																131	-0.47659113407887255	9.008778252356295e-05	62.0	0.005585442516460903	195	-0.2589648217227568	0.008924371346972515	101	0.901361506044224	230	0.2763969806951682	0.01876109944645	72.0	1.3507991601443998	61	-0.45945541323687633	0.00626521211588292	34.0	0.21301721194001927						97	-0.35494193518270695	0.018069497759383733	44.0	0.7950579014128842					
7	247	-0.19417943625369502	0.006121754640294765	198.0	1.2121074187783636						141	-0.2651584301292751	0.031422960450518976	66.0	2.0739153897342524	261	0.2857184877805577	0.005765158947163041	92.0	0.5303946231389998	216	0.41408605187883657	0.0016734716936123697	55.0	0.09204094314868033																151	-0.45298354530978	0.00021822268007085956	62.0	0.013529806164393293	289	0.25744948800013046	0.00934692473881451	101	0.9440393986202656	252	0.2737231059571209	0.019986934259962657	72.0	1.4390592667173112	99	-0.44407867553908564	0.008513819098724663	34.0	0.28946984935663855						101	-0.3473180849289186	0.020890862278776574	44.0	0.9191979402661693					
8	79	0.1849037357812505	0.009110514085586108	198.0	1.8038817889460494						171	-0.25947052189841224	0.03539143487924847	66.0	2.3358347020303993	184	0.28285102860015443	0.006296184992056272	92.0	0.579249019269177	84	-0.38015471410719665	0.004198055828077718	55.0	0.23089307054427452																92	0.4507737793820136	0.00023629618945998762	62.0	0.014650363746519231	3	0.2555278531229632	0.00990798621520272	101	1.0007066077354747	257	-0.2617640991263038	0.02634061707643188	72.0	1.8965244295030952	197	-0.4319554133866403	0.01074023888451155	34.0	0.3651681220733927						157	0.3423784272759255	0.02290952229891601	44.0	1.0080189811523046					
