	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14
0	0	68_власть-народ	-0.7569501789364866	6.225228368493408e-12	58	3.610632453726176e-10	277_неживая_природа-живая_природа	-0.39698556615590014	0.014982660671324416	37.0	0.5543584448390034	55_армия-гражданская_жизнь	0.5460560830375568	0.00264737124103571	28.0	0.07412639474899987	45_наука-быт	-0.9983836656790356	7.798755893313321e-05	5.0	0.0003899377946656661	297_юмор-суровость	-0.7502371257667256	0.004943215802919782	12.0	0.059318589635037375	59_увядание-расцвет	-0.8738099332938323	0.02288117832329512	6.0	0.13728706993977075	296_равенство-иерархия	0.5967925148499054	0.018840580360220044	15.0	0.28260870540330063	272_образование-невежество	-0.9996468352230512	0.00035316477694891096	4.0	0.0014126591077956439	8_застой-работа	-0.541442220446273	0.037110635765081085	15.0	0.5566595364762164	277_неживая_природа-живая_природа	0.7363356214377119	0.0026725316603185183	14.0	0.037415443244459265	30_стихийное_собрание-мероприятия	0.9989541474389206	0.0010458525610793632	4.0	0.004183410244317454	16_воля-неволя	-0.4146606028957568	0.02531474189519132	29.0	0.7341275149605483	61_единство-разрозренность	-0.6005443009845471	0.013897765858354559	16.0	0.2223642537336729	23_мир-конфликт	-0.7146243876509515	0.02021317137322547	10.0	0.2021317137322547	263_влияние-зависимость	-0.9758930220195596	0.004476837496711971	5.0	0.02238418748355985
1	1	23_мир-конфликт	0.7184157619079844	2.1646611951310527e-10	58	1.2555034931760106e-08	43_энергия-покой	-0.3858351378022545	0.018347267840653242	37.0	0.6788489101041699	80_сон-бодрствование	-0.5103364458757121	0.005525992910892944	28.0	0.15472780150500245	245_любовь-ненависть	0.9961376807399446	0.00028797470675939496	5.0	0.0014398735337969749	266_мир-война	0.7347370084230157	0.0064913319763415045	12.0	0.07789598371609806	179_работа-искусство	0.8737522282751271	0.022901649751915457	6.0	0.13740989851149274	62_жизнь-смерть	-0.5863483002947709	0.021599627427123274	15.0	0.3239944114068491	235_процесс-итог	-0.9995597827878742	0.0004402172121258374	4.0	0.0017608688485033497											226_человек-транспорт	-0.9983351850812106	0.001664814918789448	4.0	0.006659259675157792	133_торможение-развитие	0.39894216193207815	0.032050696583398014	29.0	0.9294702009185424	186_движение-неподвижность	-0.5954342632008853	0.014951154798238409	16.0	0.2392184767718145	276_начало-конец	-0.6766036202079725	0.031669859226359585	10.0	0.3166985922635959	246_чистота-беспорядок	-0.9571695712606312	0.010571886853360038	5.0	0.05285943426680019
2	2	211_больница-дом	0.7125597736850157	3.527845469036113e-10	58	2.0461503720409455e-08	101_фиксация-пересмотр	0.3779007182151254	0.021108579182453808	37.0	0.7810174297507909	251_недостаток-достоинство	-0.5083693311466004	0.0057416765512518465	28.0	0.16076694343505168	166_порядочность-мошенничество	0.9954400451190666	0.00036938342037229533	5.0	0.0018469171018614765	102_фантастика-реальность	0.6857420064661145	0.01382295976277993	12.0	0.1658755171533592	172_наука-быт	0.8734447193041494	0.023010888792283562	6.0	0.1380653327537014	241_нападение-оборона	0.5844929861966647	0.02212037396973184	15.0	0.33180560954597754	159_реальная_жизнь-выдуманная_жизнь	0.9990676115544947	0.0009323884455051391	4.0	0.0037295537820205564											141_микробиология-неопределенная_тема	-0.9978509020453096	0.0021490979546903155	4.0	0.008596391818761262	242_отдых-работа	-0.3913824667340286	0.03577033216171554	29.0	1.0373396326897506	140_шум-тишина	-0.5572989082144274	0.02491305179733038	16.0	0.3986088287572861	235_процесс-итог	0.6750519436235574	0.03221406850316332	10.0	0.3221406850316332	119_окончание-процесс	0.9091243693314072	0.032433565545849384	5.0	0.16216782772924695
3	3	244_смерть-жизнь	0.7099453424953055	4.370499474581442e-10	58	2.5348896952572367e-08	119_окончание-процесс	0.3758737441599543	0.02186699135357288	37.0	0.8090786800821965	277_неживая_природа-живая_природа	-0.5060903347690974	0.006000439602102324	28.0	0.16801230885886506	172_наука-быт	-0.9951809876873676	0.00040128851652419865	5.0	0.002006442582620993	117_живая_природа-неживая_природа	-0.6550554746043183	0.02077717525970032	12.0	0.24932610311640385	147_рассудительность-беспокойство	-0.8603489447072262	0.02789185929210884	6.0	0.16735115575265302	142_равенство-иерархия	0.5813477939374636	0.02302497131150593	15.0	0.345374569672589	113_скрытность-прозрачность	-0.9982696644607184	0.0017303355392815911	4.0	0.0069213421571263645											266_мир-война	-0.9971889677010936	0.0028110322989064467	4.0	0.011244129195625785	41_развлечение-когнитивная-способность	0.3683353944953257	0.04929383971597009	29.0	1.4295213517631324						71_изобилие-недостаток	0.6653761454568747	0.035751511624188444	10.0	0.3575151162418844	80_сон-бодрствование	0.9051568943696674	0.034559351102550026	5.0	0.17279675551275014
4	4	148_усталость-бодрость	-0.6876195789402205	2.4854179372851786e-09	58	1.4415424036254035e-07	54_реальность-когнитивные_процессы	-0.3747514758150543	0.02229655883755753	37.0	0.8249726769896288	142_равенство-иерархия	0.4984526300944344	0.0069408634821156966	28.0	0.19434417749923952	255_голод-неопределенная_тема	0.9948577038174852	0.0004423175936986032	5.0	0.002211587968493016	155_поражение-победа	0.6485077370620038	0.022540962547646103	12.0	0.2704915505717532	204_столкновение-мир	0.8554990375545011	0.02981216401465852	6.0	0.1788729840879511	272_образование-невежество	-0.5658589052327803	0.027897237320746025	15.0	0.4184585598111904	9_трудности-отсутствие_проблем	0.9972709792002984	0.0027290207997017197	4.0	0.010916083198806879											51_творческая_реализация - эмоциональное_переживание	0.9967430386586584	0.003256961341341569	4.0	0.013027845365366277											81_религия-наука	-0.642476835469571	0.045149217439944635	10.0	0.4514921743994463	71_изобилие-недостаток	0.9013835277165112	0.0366207491898098	5.0	0.183103745949049
5	5	198_обучение-достижение	-0.6781131735092985	4.976067482234009e-09	58	2.8861191396957256e-07	180_потребление-вывод	0.3733510628385168	0.02284240730502785	37.0	0.8451690702860304	245_любовь-ненависть	-0.4860564260959772	0.008731219711359536	28.0	0.24447415191806696	244_смерть-жизнь	0.9927750223975124	0.0007364061220051611	5.0	0.003682030610025805	22_деятельность_наверху-деятельность_в_земле	-0.6450085066822662	0.023526995019491258	12.0	0.2823239402338951						79_многообразие-единство	0.5631079445883884	0.02883831543051098	15.0	0.4325747314576648	91_здоровье-болезнь	0.9970696461459778	0.002930353854022183	4.0	0.011721415416088732											153_прерывание-продолжение	0.9958479745570286	0.004152025442971441	4.0	0.016608101771885764											237_низшие_слои-высшие_слои	-0.6393705812326446	0.046539213610900285	10.0	0.4653921361090029	32_разруха-реализация	-0.8945432515822744	0.040453257447924065	5.0	0.20226628723962028
6	6	233_неопределенная_тема-часть_целого	-0.6772043441114873	5.310392368475711e-09	58	3.0800275737159124e-07	14_изобилие-недостаток	-0.3701321551257592	0.0241392416399743	37.0	0.8931519406790492	43_энергия-покой	0.4854875157975062	0.008821916433323158	28.0	0.24701366013304846	41_развлечение-когнитивная-способность	0.992733864191764	0.0007427030565418933	5.0	0.003713515282709466	133_торможение-развитие	0.6358038890225429	0.026270000484070258	12.0	0.3152400058088431						76_мир-война	0.5617633341931074	0.02930692231123424	15.0	0.4396038346685137	292_экстрим-повседневность	-0.9970141527959908	0.0029858472040091844	4.0	0.011943388816036736											185_беда-счастье	-0.9948273630563632	0.005172636943636899	4.0	0.0206905477745476											177_изыскание-решение	0.6381515740982479	0.04709241762565481	10.0	0.4709241762565481	266_мир-война	-0.8943614698793572	0.040556754118160634	5.0	0.2027837705908032
7	7	266_мир-война	0.6748801416431406	6.2646492404613825e-09	58	3.6334965594676007e-07	212_наука-быт	-0.3690769663474937	0.02457741078995837	37.0	0.9093641992284598	231_злость-радость	0.4845106458913656	0.0089794967534425	28.0	0.25142590909638995	259_процесс-итог	-0.9926733005590476	0.0007520012357939537	5.0	0.003760006178969769	256_фильм-жизнь	-0.6343275851378355	0.026730551129518252	12.0	0.3207666135542191						172_наука-быт	-0.5614343200168591	0.02942245617774778	15.0	0.4413368426662167	289_недовольство-радость	-0.9964346975995068	0.003565302400493131	4.0	0.014261209601972524											241_нападение-оборона	-0.9943070799377977	0.0056929200622023455	4.0	0.022771680248809382											148_усталость-бодрость	0.6321204333300574	0.049894065088981816	10.0	0.4989406508898182	229_закрытие-открытие	-0.8877589596241359	0.04437221099181842	5.0	0.2218610549590921
8	8	199_уют-неуют	-0.6708188639917927	8.33247908879375e-09	58	4.832837871500374e-07	83_речь-текст	0.3641200076885914	0.02672490922841611	37.0	0.988821641451396	143_неважность-значимость	0.4736999208225297	0.01088698087083456	28.0	0.3048354643833677	293_соблюдение_закона-правонарушение	-0.9885578155973904	0.0014667310123474876	5.0	0.007333655061737438	276_начало-конец	-0.6067437292978377	0.036448335127425964	12.0	0.4373800215291115						148_усталость-бодрость	0.5606993978692104	0.02968176616825827	15.0	0.445226492523874	193_порядок-беспорядок	-0.9963308755681404	0.0036691244318597374	4.0	0.014676497727438953											175_нематериальное-материальное	-0.9935510917336536	0.006448908266346476	4.0	0.025795633065385903																				
