	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17	Dim.18	Pearson C.18	P-value.18	Occ.18	P-Bonferroni.18	Dim.19	Pearson C.19	P-value.19	Occ.19	P-Bonferroni.19	Dim.20	Pearson C.20	P-value.20	Occ.20	P-Bonferroni.20
0	0	147_рассудительность-беспокойство	-0.16645755132178408	0.01908784231188821	198.0	3.7793927777538663	67_неизменность-изменение	-0.2639476817010131	0.02122671448466324	76.0	1.613230300834406	57_улица-дом	0.31427049139123625	0.002281895677699026	92.0	0.2099344023483104	162_история-одномоментное_происшествие	-0.22412483673897196	0.02090971801908492	106.0	2.2164301100230017	293_соблюдение_закона-правонарушение	0.26944261250291923	0.046667981799164884	55.0	2.5667389989540683	284_учеба-производство	0.1804189141070279	0.03996479564907327	130.0	5.195423434379523	253_соблюдение_закона-правонарушение	0.3244849220733648	0.02292438603594944	49.0	1.1232949157615224	285_опасность-безопасность	-0.24957417661044845	0.043288815115407615	66.0	2.8570617976169026	45_наука-быт	0.3616828478455559	0.003871899126251333	62.0	0.24005774582758266	255_голод-неопределенная_тема	0.2651957090869999	0.0073583016554041045	101	0.7431884671958144	138_война-мир	-0.1829108432228168	0.034396742056549065	134.0	4.609163435577575	259_процесс-итог	-0.40609615732187343	0.0004011104338159161	72.0	0.028879951234745963	162_история-одномоментное_происшествие	0.3835412692744877	0.020936320219467654	36.0	0.7537075279008355	177_изыскание-решение	-0.29720237629618323	0.012470742285818407	70.0	0.8729519600072886	254_свобода-неволя	-0.27749507701202386	0.002453134144169649	117.0	0.2870166948678489	287_вода-земля	0.3129840970069989	0.0041966985766060385	82.0	0.34412928328169506	293_соблюдение_закона-правонарушение	-0.4085291913226006	0.007231518963145723	42.0	0.3037237964521204	283_героизм-малодушие	0.2395338736522997	0.015841171995382094	101.0	1.5999583715335914	245_любовь-ненависть	-0.4327095977121208	0.02725118398889378	26.0	0.7085307837112383	219_соблюдение_закона-правонарушение	0.34820846593846017	0.02054337745119813	44.0	0.903908607852718	244_смерть-жизнь	-0.5587968701370799	0.00032478429330082563	37.0	0.012017018852130546
1	1	246_чистота-беспорядок	-0.16034439307773454	0.02403427387352661	198.0	4.758786226958268						138_война-мир	0.2583012997048741	0.012918552444294018	92.0	1.1885068248750497											33_абстрактная_работа-конкретная_работа	-0.1792578460494969	0.041283198368539824	130.0	5.366815787910176	82_суматоха-спокойствие	0.3243974173147728	0.02296336832606772	49.0	1.125205047977318						103_познание-непостижимость	0.32092134979679426	0.010985221873754985	62.0	0.681083756172809	267_неволя-свобода	-0.2640550942149373	0.007625378097908202	101	0.7701631878887283						77_природные_процессы-военные_процессы	0.4053645165007899	0.0004118591136140104	72.0	0.02965385618020875	261_болезнь-здоровье	0.366797605695526	0.027774988320467632	36.0	0.9998995795368346	268_отдых-работа	0.28480466417185063	0.016863982674465164	70.0	1.1804787872125615	160_победа-поражение	-0.2675522527554747	0.0035419789244006982	117.0	0.4144115341548817	273_жар-холод	-0.3074978693834603	0.004951146362474744	82.0	0.40599400172292893	106_кончина-вечное_искусство	0.3399538713250587	0.02761367965125184	42.0	1.1597745453525772	148_усталость-бодрость	0.22210507516661013	0.025594817424273743	101.0	2.585076559851648	248_спор-согласие	-0.4179376538120152	0.03361955024811847	26.0	0.8741083064510802	141_микробиология-неопределенная_тема	0.31837610767833313	0.03518505524237367	44.0	1.5481424306644411	160_победа-поражение	-0.4816792116592662	0.002540304564025121	37.0	0.0939912688689295
2	2	151_забытье-сознание	-0.14649982446482596	0.03944557428681136	198.0	7.81022370878865						259_процесс-итог	-0.25613777123892884	0.01372209403327317	92.0	1.2624326510611317																79_многообразие-единство	0.31856109671601995	0.025692150561071003	49.0	1.2589153774924788						298_очевидный-скрытый	-0.2909471620471581	0.02178056055069362	62.0	1.3503947541430044	286_начало-конец	0.2543484931197913	0.010266769485960586	101	1.0369437180820191						47_журналистика-литература	0.4035506224650545	0.0004396519536226357	72.0	0.031654940660829765	191_техническое_взаимодействие-животные_взаимоотношения	0.3656995387594769	0.0282811591857396	36.0	1.0181217306866257	87_народ-власть	0.2844876193930358	0.016991851789887918	70.0	1.1894296252921546	277_неживая_природа-живая_природа	-0.2528418131248348	0.00595267176655296	117.0	0.6964625966866962	290_статистика-отсутствие_системы	-0.28360351006981444	0.009824131800100387	82.0	0.8055788076082319	115_наследство-собственность	0.33021344075150394	0.03269913053627765	42.0	1.3733634825236614	264_безопасность-опасность	0.209679189746316	0.0353370735433898	101.0	3.5690444278823703	192_производство-наука	0.40434238521059546	0.040483689838742995	26.0	1.052575935807318	292_экстрим-повседневность	0.3154694090227436	0.03698394396682601	44.0	1.6272935345403443	222_религия-повседневность	0.4309193412735413	0.007754332251371116	37.0	0.2869102933007313
3	3	289_недовольство-радость	0.14209660866611815	0.04582937308143724	198.0	9.074215870124574						71_изобилие-недостаток	0.2541387748269398	0.0145027490497126	92.0	1.3342529125735594																141_микробиология-неопределенная_тема	-0.31633688154143946	0.02680113067170443	49.0	1.313255402913517						32_разруха-реализация	-0.2845168256061941	0.025010768436585503	62.0	1.5506676430683013	197_проблема-решение_проблем	0.2509797206591169	0.011355065975384715	101	1.1468616635138564						57_улица-дом	-0.3858504693166385	0.0008157857453707652	72.0	0.0587365736666951	92_жизнь-смерть	0.3575322753517972	0.0322889592644123	36.0	1.1624025335188426	242_отдых-работа	-0.2815063617798221	0.01823547407319823	70.0	1.276483185123876	229_закрытие-открытие	0.2497767035355836	0.006608992484812702	117.0	0.7732521207230861	107_мир-драка	0.2805329725975493	0.010685523796386272	82.0	0.8762129513036743						190_погода-животное	-0.1970806938028373	0.04822248741789748	101.0	4.870471229207646	225_кража-находка	-0.3951616436434221	0.04571623208208496	26.0	1.1886220341342089	23_мир-конфликт	-0.3122962841181809	0.039033174976785184	44.0	1.7174596989785482	278_физический_труд-умственный_труд	0.4303439557635773	0.00784575026716012	37.0	0.2902927598849245
4	4											140_шум-тишина	-0.25400143581917883	0.014557769160586103	92.0	1.3393147627739213																282_путешествие-домоседство	-0.3131547526097633	0.028457032447643724	49.0	1.394394589934543						115_наследство-собственность	0.28400691121464705	0.025283370535983573	62.0	1.5675689732309814	274_единство-разрозренность	0.24561854176340386	0.013295252376083084	101	1.3428204899843914						101_фиксация-пересмотр	0.3817876685321675	0.0009356772924344776	72.0	0.06736876505528239	202_отставание-лидерство	0.3320655045415556	0.047858232723231496	36.0	1.7228963780363338	139_свобода-неволя	0.27594372246009713	0.020764943915580945	70.0	1.4535460740906665	98_разрушение-поддержание	0.2416694245726701	0.008664425374946879	117.0	1.0137377688687847	18_уменьшение-расширение	-0.2763860094113403	0.01195305826462408	82.0	0.9801507776991744						194_контроль-бесконтрольность	0.19559951988725646	0.04996524000021755	101.0	5.046489240021971	114_церковь-мирская_жизнь	0.39226837202908293	0.047471250022633214	26.0	1.2342525005884637	130_размеренная_жизнь-напряжённая_жизнь	-0.3039289267688836	0.04488574073566682	44.0	1.97497259236934	87_народ-власть	0.4177020457472086	0.01010037530200165	37.0	0.3737138861740609
5	5											277_неживая_природа-живая_природа	-0.2514418676269967	0.01561678671386881	92.0	1.4367443776759303																105_сущность-внешность	0.3105714086711285	0.029863270955382944	49.0	1.4633002768137642						37_низ-верх	-0.2789329031621136	0.028135158521708142	62.0	1.7443798283459049	179_работа-искусство	0.24353518083024545	0.014123668681977028	101	1.42649053687968						188_страх-надёжность	-0.37066925395520417	0.0013497500199928338	72.0	0.09718200143948404						52_близость-расстояние	-0.27076564432595746	0.02338241811959641	70.0	1.636769268371749	85_направление-дезориентация	-0.2385083378109455	0.009607375934449769	117.0	1.124062984330623	70_единство-разрозренность	-0.272339436108516	0.01331399541682492	82.0	1.0917476241796435											108_творчество-власть	0.3894151413471814	0.04925344925634871	26.0	1.2805896806650665	289_недовольство-радость	-0.3004463009960608	0.047523034973227705	44.0	2.0910135388220192	209_отрицание-утверждение	0.4082395048695197	0.012129502802246934	37.0	0.4487916036831366
6	6											199_уют-неуют	-0.24974047243523206	0.016357051006070444	92.0	1.5048486925584807																19_быстрое_явление-длительное_явление	0.3081011141646182	0.031261566484940065	49.0	1.5318167577620632						274_единство-разрозренность	0.2723618368064976	0.03222549012787364	62.0	1.9979803879281652	206_расслабление-напряжение	-0.24269376955007405	0.014470749039455487	101	1.4615456529850042						263_влияние-зависимость	0.3620574984593981	0.0017771382180956816	72.0	0.12795395170288906						26_ненависть-дружба	-0.2684957715694137	0.0246151923350836	70.0	1.7230634634558517	20_покой-беспокойство	-0.2314268773655791	0.012053690836357874	117.0	1.4102818278538714	136_апатия-взбудораженность	-0.2710600215704073	0.013771356050261429	82.0	1.129251196121437											174_праздник-быт	-0.3892022643803513	0.04938849384153205	26.0	1.2841008398798333						47_журналистика-литература	-0.4063992941081217	0.012561790992680523	37.0	0.4647862667291794
7	7											236_умственный_труд-физический_труд	-0.2478354974389105	0.017221675374214682	92.0	1.5843941344277503																280_радость-недовольство	0.3078153598296932	0.03142676694272222	49.0	1.5399115801933891						222_религия-повседневность	0.26454609705811066	0.03772573939779573	62.0	2.3389958426633357	36_спокойствие-деятельность	-0.24214840350033584	0.014699646699612016	101	1.4846643166608136						201_вирус-растение	-0.3549578196553089	0.00221710442957137	72.0	0.15963151892913865						196_неуют-уют	-0.2668784505044818	0.025526775391773626	70.0	1.7868742774241535	256_фильм-жизнь	-0.2196853795509656	0.017317429626420827	117.0	2.0261392662912368	231_злость-радость	0.2681499399052665	0.01486261392234632	82.0	1.218734341632398											69_труд-месть	0.38838942932279946	0.04990681396550399	26.0	1.2975771631031037						156_физический_труд-умственный_труд	0.3851924125807568	0.01855906908926888	37.0	0.6866855563029486
8	8											188_страх-надёжность	-0.24479135138598646	0.01868515379135434	92.0	1.7190341488045988																62_жизнь-смерть	-0.3062331131523913	0.032354662400278636	49.0	1.5853784576136536						160_победа-поражение	0.2615196677878378	0.04005484762835871	62.0	2.48340055295824	250_быт-война	0.24214448844838646	0.014701301196673441	101	1.4848314208640174						49_развитие-откат	-0.35180522868577896	0.002442034406660354	72.0	0.17582647727954548						11_приобретение-постоянное_местонахождение	-0.2609380265944113	0.029123892694991826	70.0	2.038672488649428	137_вертикальные_отношения-горизонтальные_отношения	-0.21919024197881945	0.01757751631390259	117.0	2.0565694087266038	145_высказывание-умалчивание	0.2658680704124361	0.015769833192124178	82.0	1.2931263217541826																					71_изобилие-недостаток	0.3765308323476965	0.021618691095977808	37.0	0.7998915705511791
