	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni
0	261	-3.075682221781738	0.0024556064550567496	73	125	198	0.4862100781012364	5	-2.471913725350132	0.016920954001112862	29.0	47.0	76.0	1.2859925040845774	287	-2.631919995942341	0.011579690654733464	23.0	43.0	66.0	0.7642595832124086	76	-2.996930064066259	0.004013557796855164	33.0	59.0	92.0	0.3692473173106751	140	-2.3574618566673906	0.022295237703929823	17.0	38.0	55.0	1.2262380737161402	240	-2.3129398756258177	0.02242721550419954	30.0	100.0	130.0	2.9155380155459403	161	-2.3386947334924786	0.025977884626841412	17.0	32.0	49.0	1.2729163467152291	212	2.8361318978877423	0.006586151676866844	24.0	38.0	62.0	0.4083414039657443	46	-2.5712199060310614	0.011813069672946337	29.0	72.0	101.0	1.19312003696758	137	-2.433264919944527	0.016301913081998166	42.0	92.0	134.0	2.184456352987754	287	2.565648054877551	0.012444468365205668	21.0	51.0	72.0	0.8960017222948081	39	-2.612430518566758	0.013380211865183424	9.0	27.0	36.0	0.4816876271466033	114	2.747433746851993	0.009328760177566897	25.0	45.0	70.0	0.6530132124296828	284	3.0610030436179785	0.004817688751054728	15.0	19.0	34.0	0.16380141753586075	206	2.9610477712573466	0.0041705298984511955	23.0	59.0	82.0	0.34198345167299804	105	-2.4147460078537675	0.021905987967257567	12.0	30.0	42.0	0.9200514946248178	100	-2.537797547592586	0.013046319256590843	29.0	72.0	101.0	1.3176782449156752	28	-2.6183874183686355	0.011257316409247771	20.0	43.0	63.0	0.7092109337826096	51	-2.2110140308194746	0.03704023551388147	10.0	16.0	26.0	0.9630461233609182	114	2.0502720867351347	0.04822088270896726	14.0	30.0	44.0	2.1217188391945596	127	-2.5093634367624786	0.017307409441490847	13.0	24.0	37.0	0.6403741493351613
1	71	-2.9637215976537337	0.0034362190890053776	73	125	198	0.6803713796230648	38	-2.0620507200153635	0.04360796912989095	29.0	47.0	76.0	3.314205653871712	80	-2.5232825270278054	0.014129357217351613	23.0	43.0	66.0	0.9325375763452064	272	2.674655716901837	0.008964616611814021	33.0	59.0	92.0	0.8247447282868899								280	-2.082862074882821	0.04009096546200784	30.0	100.0	130.0	5.211825510061019	34	2.185642735832581	0.04304431367926449	17.0	32.0	49.0	2.1091713702839603	45	-2.469827045540769	0.016404328339197374	24.0	38.0	62.0	1.0170683570302372	235	-2.4549636060554483	0.01604072184041703	29.0	72.0	101.0	1.62011290588212	94	-2.034619290861897	0.04389877513039415	42.0	92.0	134.0	5.882435867472815	177	2.3264812371116443	0.02299980058239746	21.0	51.0	72.0	1.655985641932617	161	2.3810124116093996	0.024244247638254578	9.0	27.0	36.0	0.8727929149771648	171	2.472928294413005	0.01987958667459959	25.0	45.0	70.0	1.3915710672219712	235	2.4994870037530768	0.017996129415055243	15.0	19.0	34.0	0.6118684001118783	170	2.6383021866072647	0.010077970001557133	23.0	59.0	82.0	0.826393540127685								144	2.328513949207055	0.02229689004100131	29.0	72.0	101.0	2.251985894141132	199	2.2121637568067043	0.03074882615067503	20.0	43.0	63.0	1.937176047492527															276	-2.5377192207669497	0.020849693594526444	13.0	24.0	37.0	0.7714386629974784
2	208	2.929881389538514	0.0038492574038305138	73	125	198	0.7621529659584417	16	2.032035936637501	0.049576298448313016	29.0	47.0	76.0	3.7677986820717893								169	-2.5523855709018695	0.012469553488654155	33.0	59.0	92.0	1.1471989209561821								195	-2.029271838556796	0.044685552012489575	30.0	100.0	130.0	5.809121761623644								264	-2.363169526809213	0.02140114709034693	24.0	38.0	62.0	1.3268711196015097	183	2.2930370686647388	0.024372795298414577	29.0	72.0	101.0	2.4616523251398723	261	2.023052409265752	0.04555354091531959	42.0	92.0	134.0	6.104174482652825	11	-2.2731710033651513	0.02683074500985043	21.0	51.0	72.0	1.931813640709231	136	2.2623309911131466	0.03284938889074496	9.0	27.0	36.0	1.1825780000668185	210	2.1491555493791012	0.04149625651758686	25.0	45.0	70.0	2.90473795623108	41	2.5285441326191886	0.01870385558055382	15.0	19.0	34.0	0.6359310897388298	128	2.600209189313668	0.013525872723422771	23.0	59.0	82.0	1.1091215633206672								197	2.2014341781161018	0.030050535163298142	29.0	72.0	101.0	3.0351040514931125	128	2.2033912901180672	0.03137788613562691	20.0	43.0	63.0	1.9768068265444956															151	-2.367339175100489	0.024448349190350396	13.0	24.0	37.0	0.9045889200429647
3	194	-2.8561253365958827	0.004774028615303433	73	125	198	0.9452576658300798															171	2.489808419508465	0.01617681923954059	33.0	59.0	92.0	1.4882673700377342																						60	2.202406337078047	0.03150876296709505	24.0	38.0	62.0	1.9535433039598933	290	2.2003576573015673	0.030496764038581453	29.0	72.0	101.0	3.0801731678967266								39	2.1371756488831615	0.03643349985539902	21.0	51.0	72.0	2.623211989588729	192	-2.168557277241982	0.038507146880994346	9.0	27.0	36.0	1.3862572877157964	156	2.103527211102512	0.044596776564253426	25.0	45.0	70.0	3.12177435949774	227	-2.426556231456907	0.023210534573137185	15.0	19.0	34.0	0.7891581754866643	1	-2.119512381044793	0.04047657893039433	23.0	59.0	82.0	3.319079472292335								46	-2.1356038146979635	0.035860247360733594	29.0	72.0	101.0	3.621884983434093	45	2.1277744568481287	0.039194060970553	20.0	43.0	63.0	2.469225841144839															160	2.04882240647036	0.04851279899077252	13.0	24.0	37.0	1.7949735626585834
4	98	-2.7554592733161276	0.006422753559192577	73	125	198	1.2717052047201303															280	-2.451045336313953	0.016454870267599047	33.0	59.0	92.0	1.5138480646191124																						16	-2.190402117288276	0.034583505039115774	24.0	38.0	62.0	2.144177312425178	39	-2.188423266515992	0.03099519351468789	29.0	72.0	101.0	3.130514544983477								27	-2.0290618651184382	0.04641737602387266	21.0	51.0	72.0	3.342051073718831	204	2.1459121241544525	0.040254193199964795	9.0	27.0	36.0	1.4491509551987327	277	-2.071574334873042	0.04876265256239067	25.0	45.0	70.0	3.413385679367347	241	-2.359636431264926	0.025022847341797654	15.0	19.0	34.0	0.8507768096211202	116	2.05450322454787	0.044008569661382065	23.0	59.0	82.0	3.6087027122333293								283	-2.0745844072338295	0.04073370531861503	29.0	72.0	101.0	4.114104237180118	228	2.0891176473208946	0.04087993793850629	20.0	43.0	63.0	2.5754360901258964																					
5	163	-2.73052220428292	0.006910884501050084	73	125	198	1.3683551312079167															181	2.4736403079601996	0.016556297884776684	33.0	59.0	92.0	1.523179405399455																						91	2.165572058694479	0.034650052145331026	24.0	38.0	62.0	2.1483032330105236	196	-2.1499418661203515	0.03471770570889023	29.0	72.0	101.0	3.5064882765979135								118	-2.0179107859589585	0.04805548698807629	21.0	51.0	72.0	3.4599950631414926															182	-2.3584518044705782	0.02694555344491404	15.0	19.0	34.0	0.9161488171270774	144	2.0078868683170192	0.0489551637730762	23.0	59.0	82.0	4.014323429392249								290	-2.0643388647822913	0.041606370547897675	29.0	72.0	101.0	4.202243425337665																												
6	282	2.7281657324346678	0.006971389435195962	73	125	198	1.3803351081688005															130	-2.450666238316598	0.017163146551075533	33.0	59.0	92.0	1.5790094826989491																						261	2.1131002508260455	0.03908012246688739	24.0	38.0	62.0	2.4229675929470185	60	2.1233517152063146	0.036813083813532266	29.0	72.0	101.0	3.718121465166759																													63	-2.2373324838090096	0.03261957377857597	15.0	19.0	34.0	1.109065508471583																																																	
7	216	-2.71484010426963	0.007223596439167936	73	125	198	1.4302720949552514															121	-2.34996640754178	0.020983045187831992	33.0	59.0	92.0	1.9304401572805432																						197	2.075332859433303	0.043943253843176815	24.0	38.0	62.0	2.7244817382769626	59	2.1069642610893253	0.038193166161024125	29.0	72.0	101.0	3.8575097822634365																													146	2.219429754166242	0.033668890822744754	15.0	19.0	34.0	1.1447422879733216																																																	
8	97	2.7009819353967175	0.007971157534444847	73	125	198	1.5782891918200799															44	-2.219583995495308	0.028964022389725372	33.0	59.0	92.0	2.6646900598547343																						140	2.005883550609747	0.04946424947615514	24.0	38.0	62.0	3.0667834675216183	45	-2.086027488564717	0.04018469893273837	29.0	72.0	101.0	4.058654592206575																													40	2.2248290778122315	0.03523685121525795	15.0	19.0	34.0	1.1980529413187704																																																	
