	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni
0	245	-2.184153837605877	0.04026707064804394	20.0	38.0	58.0	2.3354900975865487	255	2.3797840385075912	0.023888472071605202	10.0	27.0	37.0	0.8838734666493925	255	3.2645463568469704	0.0034354987579534348	5.0	23.0	28.0	0.09619396522269617	292	-4.6624415435398	0.039321822119984515	2.0	3.0	5.0	0.1966091105999226	79	-3.194074219721796	0.019108948462527406	3.0	7.0	10.0	0.19108948462527406	169	4.684273745623435	0.0010101829856683298	2	10	12	0.012122195828019957	192	-4.9845538026588665	0.008105811150990166	2.0	4.0	6.0	0.048634866905940995	141	3.7179477085300143	0.005993660974741843	2.0	8.0	10.0	0.059936609747418435	54	2.7307270108910546	0.017218720781907518	2.0	13.0	15.0	0.2582808117286128	186	-2.844138138038055	0.014815510471311077	4.0	11.0	15.0	0.22223265706966616	289	-2.3905686877074754	0.03940906796624584	9.0	5.0	14.0	0.5517269515274418	99	-3.213513938730155	0.01611097378630791	3.0	6.0	9.0	0.14499876407677117	198	6.134109319131816	0.00029428072019199177	2.0	14.0	16.0	0.004708491523071868	34	-3.7464475846922953	0.005777627973291733	5.0	5.0	10.0	0.05777627973291733
1								12	2.1948588326248277	0.036900324906631025	10.0	27.0	37.0	1.365312021545348	151	-2.8436422126846312	0.027507195311576936	5.0	23.0	28.0	0.7702014687241542	163	3.1992304325531693	0.04936990546132816	2.0	3.0	5.0	0.2468495273066408								185	4.368226485102781	0.0016765842802496668	2	10	12	0.020119011362996	121	4.685421431441292	0.009422601211494686	2.0	4.0	6.0	0.05653560726896811	72	3.171765985996908	0.013287230738776828	2.0	8.0	10.0	0.13287230738776828	204	2.296289274702716	0.03998645944096505	2.0	13.0	15.0	0.5997968916144758	166	2.768931197663829	0.02121455393618901	4.0	11.0	15.0	0.31821830904283516								211	-3.1833890226484804	0.030991976307865602	3.0	6.0	9.0	0.27892778677079044	296	-4.255401885528954	0.0010873111793186867	2.0	14.0	16.0	0.017396978869098988	149	2.884393958934228	0.020875071577255665	5.0	5.0	10.0	0.20875071577255666
2								27	-2.166510387781462	0.03718767172042417	10.0	27.0	37.0	1.3759438536556943	267	-2.290571011658737	0.04964316272999482	5.0	23.0	28.0	1.390008556439855															261	4.300825069189563	0.001986557049786896	2	10	12	0.02383868459744275	187	3.9768428396789335	0.016967135817968337	2.0	4.0	6.0	0.10180281490781001	240	2.963443552494968	0.020826300886868813	2.0	8.0	10.0	0.20826300886868815	71	-2.189880833648128	0.04817007286570455	2.0	13.0	15.0	0.7225510929855683	295	-2.341428501009545	0.03583270009672745	4.0	11.0	15.0	0.5374905014509117								212	2.553161913143062	0.037935664652427675	3.0	6.0	9.0	0.3414209818718491	165	3.902546925017148	0.0015998455038830147	2.0	14.0	16.0	0.025597528062128234	82	2.588518395274791	0.045036538469948144	5.0	5.0	10.0	0.45036538469948145
3								13	-2.160343185379912	0.03987204879062352	10.0	27.0	37.0	1.4752658052530703																						55	-4.837487786311099	0.00435628793328472	2	10	12	0.052275455199416634	280	4.105241471296911	0.023443960119802543	2.0	4.0	6.0	0.14066376071881526	287	-3.5657527454530236	0.02165507279008129	2.0	8.0	10.0	0.2165507279008129								28	-2.282024065737592	0.04190957594342786	4.0	11.0	15.0	0.628643639151418								42	-2.5683271953342715	0.037938152746064484	3.0	6.0	9.0	0.34144337471458036	182	3.8149327075772135	0.0024768113528054253	2.0	14.0	16.0	0.039628981644886804							
4																																				130	3.5254248807923156	0.005508578889811696	2	10	12	0.06610294667774035	62	-3.40441219831764	0.028135041427674676	2.0	4.0	6.0	0.16881024856604807	78	-2.4941869007134967	0.039374946546260045	2.0	8.0	10.0	0.3937494654626005																						140	2.542696621542924	0.03894102165378544	3.0	6.0	9.0	0.35046919488406897	183	-3.704058765103362	0.0025548877539401955	2.0	14.0	16.0	0.04087820406304313							
5																																				300	-3.4238336415198805	0.006506908883214856	2	10	12	0.07808290659857828	231	3.543476544649576	0.03558137315896065	2.0	4.0	6.0	0.2134882389537639	144	2.4148783875826054	0.042950985036589576	2.0	8.0	10.0	0.42950985036589573																						17	2.454896276491265	0.04401698715436533	3.0	6.0	9.0	0.3961528843892879	15	-3.808107622333723	0.004126425783896699	2.0	14.0	16.0	0.06602281254234718							
6																																				54	-3.4607010703327723	0.007132473228850535	2	10	12	0.08558967874620642	74	3.0992684741194445	0.044015567915703026	2.0	4.0	6.0	0.26409340749421817																																				215	3.142340161798059	0.007708077827021526	2.0	14.0	16.0	0.12332924523234441							
7																																				186	3.4400255158450586	0.008380623158360748	2	10	12	0.10056747790032898																																											71	-3.3084546154152212	0.008809426536063371	2.0	14.0	16.0	0.14095082457701394							
8																																				146	-3.2041899577717214	0.009440288536643663	2	10	12	0.11328346243972395																																											212	2.923761461122574	0.011812172166771452	2.0	14.0	16.0	0.18899475466834323							
