	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	я_PRON.5	я_PRON.6	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	свой_DET.5	свой_DET.6	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	они_PRON.5	они_PRON.6	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	хотеть_VERB.5	хотеть_VERB.6	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	время_NOUN.5	время_NOUN.6	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	очень_ADV.5	очень_ADV.6	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	она_PRON.5	она_PRON.6	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мочь_VERB.5	мочь_VERB.6	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мой_DET.5	мой_DET.6	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	жизнь_NOUN.5	жизнь_NOUN.6	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	потом_ADV.5	потом_ADV.6	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	еще_ADV.5	еще_ADV.6	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	день_NOUN.5	день_NOUN.6	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	жить_VERB.5	жить_VERB.6
	Unnamed: 0	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim.1	T-Stat.1	P-value.1	Occ(м).1	Occ(ж).1	Occ.1	P-Bonferroni.1	Dim.2	T-Stat.2	P-value.2	Occ(м).2	Occ(ж).2	Occ.2	P-Bonferroni.2	Dim.3	T-Stat.3	P-value.3	Occ(м).3	Occ(ж).3	Occ.3	P-Bonferroni.3	Dim.4	T-Stat.4	P-value.4	Occ(м).4	Occ(ж).4	Occ.4	P-Bonferroni.4	Dim.5	T-Stat.5	P-value.5	Occ(м).5	Occ(ж).5	Occ.5	P-Bonferroni.5	Dim.6	T-Stat.6	P-value.6	Occ(м).6	Occ(ж).6	Occ.6	P-Bonferroni.6	Dim.7	T-Stat.7	P-value.7	Occ(м).7	Occ(ж).7	Occ.7	P-Bonferroni.7	Dim.8	T-Stat.8	P-value.8	Occ(м).8	Occ(ж).8	Occ.8	P-Bonferroni.8	Dim.9	T-Stat.9	P-value.9	Occ(м).9	Occ(ж).9	Occ.9	P-Bonferroni.9	Dim.10	T-Stat.10	P-value.10	Occ(м).10	Occ(ж).10	Occ.10	P-Bonferroni.10	Dim.11	T-Stat.11	P-value.11	Occ(м).11	Occ(ж).11	Occ.11	P-Bonferroni.11	Dim.12	T-Stat.12	P-value.12	Occ(м).12	Occ(ж).12	Occ.12	P-Bonferroni.12	Dim.13	T-Stat.13	P-value.13	Occ(м).13	Occ(ж).13	Occ.13	P-Bonferroni.13
0	0	245_любовь-ненависть	-2.184153837605877	0.04026707064804394	20.0	38.0	58.0	2.3354900975865487	255_голод-неопределенная_тема	2.3797840385075912	0.0238884720716052	10.0	27.0	37.0	0.8838734666493925	255_голод-неопределенная_тема	3.2645463568469704	0.003435498757953435	5.0	23.0	28.0	0.09619396522269616	292_экстрим-повседневность	-4.6624415435398	0.03932182211998452	2.0	3.0	5.0	0.1966091105999226	79_многообразие-единство	-3.1940742197217964	0.01910894846252741	3.0	7.0	10.0	0.1910894846252741	169_потеря-приобретение	4.684273745623435	0.0010101829856683296	2	10	12	0.012122195828019957	192_производство-наука	-4.9845538026588665	0.008105811150990166	2.0	4.0	6.0	0.048634866905941	141_микробиология-неопределенная_тема	3.7179477085300143	0.005993660974741843	2.0	8.0	10.0	0.059936609747418435	54_реальность-когнитивные_процессы	2.730727010891054	0.017218720781907518	2.0	13.0	15.0	0.2582808117286128	186_движение-неподвижность	-2.8441381380380553	0.014815510471311076	4.0	11.0	15.0	0.22223265706966616	289_недовольство-радость	-2.3905686877074754	0.03940906796624584	9.0	5.0	14.0	0.5517269515274418	99_благоразумие-безолаберность	-3.213513938730155	0.01611097378630791	3.0	6.0	9.0	0.14499876407677115	198_обучение-достижение	6.134109319131817	0.00029428072019199177	2.0	14.0	16.0	0.004708491523071868	34_духовное_наслаждение-физическое_наслаждение	-3.7464475846922953	0.005777627973291732	5.0	5.0	10.0	0.057776279732917324
1	1								12_частное-общее	2.194858832624828	0.03690032490663103	10.0	27.0	37.0	1.3653120215453478	151_забытье-сознание	-2.8436422126846312	0.027507195311576936	5.0	23.0	28.0	0.7702014687241542	163_человек-инструмент	3.1992304325531693	0.04936990546132816	2.0	3.0	5.0	0.2468495273066408								185_беда-счастье	4.368226485102781	0.0016765842802496668	2	10	12	0.020119011362996	121_несовременность-актуальность	4.685421431441292	0.009422601211494686	2.0	4.0	6.0	0.05653560726896811	72_недостаток-достоинство	3.171765985996908	0.013287230738776828	2.0	8.0	10.0	0.13287230738776828	204_столкновение-мир	2.296289274702716	0.03998645944096505	2.0	13.0	15.0	0.5997968916144758	166_порядочность-мошенничество	2.768931197663829	0.02121455393618901	4.0	11.0	15.0	0.3182183090428352								211_больница-дом	-3.1833890226484804	0.0309919763078656	3.0	6.0	9.0	0.27892778677079044	296_равенство-иерархия	-4.255401885528953	0.0010873111793186867	2.0	14.0	16.0	0.017396978869098988	149_нищета-состояние	2.884393958934228	0.020875071577255662	5.0	5.0	10.0	0.20875071577255666
2	2								27_труд-фортуна	-2.1665103877814618	0.03718767172042417	10.0	27.0	37.0	1.3759438536556945	267_неволя-свобода	-2.2905710116587366	0.04964316272999482	5.0	23.0	28.0	1.390008556439855															261_болезнь-здоровье	4.300825069189563	0.0019865570497868963	2	10	12	0.02383868459744275	187_гармония-конфликт	3.9768428396789335	0.016967135817968337	2.0	4.0	6.0	0.10180281490781	240_осторожность-риск	2.9634435524949683	0.020826300886868813	2.0	8.0	10.0	0.20826300886868812	71_изобилие-недостаток	-2.1898808336481284	0.04817007286570455	2.0	13.0	15.0	0.7225510929855683	295_прощение-мстительность	-2.341428501009545	0.03583270009672745	4.0	11.0	15.0	0.5374905014509117								212_наука-быт	2.553161913143062	0.03793566465242768	3.0	6.0	9.0	0.3414209818718491	165_улучшение-ухудшение	3.902546925017148	0.0015998455038830149	2.0	14.0	16.0	0.025597528062128238	82_суматоха-спокойствие	2.588518395274791	0.045036538469948144	5.0	5.0	10.0	0.4503653846994815
3	3								13_личные_отношения-иерархические_отношения	-2.160343185379912	0.03987204879062352	10.0	27.0	37.0	1.4752658052530705																						55_армия-гражданская_жизнь	-4.837487786311098	0.004356287933284721	2	10	12	0.052275455199416634	280_радость-недовольство	4.105241471296911	0.023443960119802543	2.0	4.0	6.0	0.14066376071881526	287_вода-земля	-3.565752745453024	0.02165507279008129	2.0	8.0	10.0	0.2165507279008129								28_неисправность-отлаженность	-2.2820240657375916	0.04190957594342786	4.0	11.0	15.0	0.628643639151418								42_деструктивная_коммуникация-конструктивная_коммуникация	-2.5683271953342715	0.037938152746064484	3.0	6.0	9.0	0.3414433747145804	182_светское_общество-религия	3.8149327075772135	0.002476811352805425	2.0	14.0	16.0	0.0396289816448868							
4	4																																				130_размеренная_жизнь-напряжённая_жизнь	3.525424880792316	0.005508578889811696	2	10	12	0.06610294667774035	62_жизнь-смерть	-3.4044121983176403	0.02813504142767468	2.0	4.0	6.0	0.16881024856604807	78_популярность-безвестность	-2.4941869007134967	0.03937494654626005	2.0	8.0	10.0	0.3937494654626005																						140_шум-тишина	2.5426966215429236	0.038941021653785435	3.0	6.0	9.0	0.35046919488406897	183_неживая_природа-живая_природа	-3.7040587651033614	0.0025548877539401955	2.0	14.0	16.0	0.040878204063043135							
5	5																																				300_беспокойство-спокойствие	-3.4238336415198805	0.006506908883214856	2	10	12	0.07808290659857828	231_злость-радость	3.5434765446495757	0.03558137315896065	2.0	4.0	6.0	0.2134882389537639	144_физический_труд-искусство	2.414878387582605	0.042950985036589576	2.0	8.0	10.0	0.4295098503658957																						17_полемика-консенсус	2.454896276491265	0.044016987154365333	3.0	6.0	9.0	0.3961528843892879	15_древняя_работа-современная_работа	-3.8081076223337234	0.004126425783896699	2.0	14.0	16.0	0.06602281254234718							
6	6																																				54_реальность-когнитивные_процессы	-3.4607010703327723	0.007132473228850534	2	10	12	0.08558967874620642	74_тёплые_чувства-холодные_чувства	3.0992684741194445	0.04401556791570303	2.0	4.0	6.0	0.26409340749421817																																				215_творчество-власть	3.142340161798059	0.007708077827021527	2.0	14.0	16.0	0.1233292452323444							
7	7																																				186_движение-неподвижность	3.4400255158450586	0.008380623158360748	2	10	12	0.10056747790032898																																											71_изобилие-недостаток	-3.308454615415221	0.00880942653606337	2.0	14.0	16.0	0.14095082457701394							
8	8																																				146_разум-чувство	-3.204189957771721	0.009440288536643663	2	10	12	0.11328346243972395																																											212_наука-быт	2.9237614611225737	0.011812172166771452	2.0	14.0	16.0	0.18899475466834326							
