	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni
0	найти_VERB	-0.3782152700877472	2.643985194177904e-08	11	6.430171992240663e-05	на_ADP	0.1640518413064355	0.019345098638468193	20.0	22.730490900200127	это_PRON	-0.14917200976280973	0.033657703111727715	7.0	32.883575940157975	-_ADV	-0.15346262575761782	0.028817869697703963	5.0	34.408536419058535	о_ADP	-0.21588934263205062	0.0019779802888612347	10.0	1.3588724584476681	мой_DET	-0.17999674279085073	0.010177330212189098	8.0	7.154663139168936	ответ_NOUN	-0.18349157785425657	0.008780200645222596	9.0	9.280672082000285	все_PRON	-0.1644767343774164	0.019029399079958466	7.0	10.751610480176533	и_PART	-0.13782533700290037	0.0498847347123039	7.0	35.01908376803734	в_ADP	-0.18984499207992403	0.006669966696223283	33.0	5.235923856535277	последний_ADJ	-0.14408940576604418	0.04026734859391983	6.0	39.462001622041434	в_ADP	-0.25098597461892297	0.0003039555967655864	44.0	0.21641638489709752	это_PRON	-0.15110250555781637	0.03140080238452307	8.0	13.50234502534492	а_CCONJ	-0.16553764084948697	0.018260583194739007	7.0	8.874643432643158	все_PRON	0.14248435357768938	0.042569241769022825	8.0	28.563961227014318	соскучиться_VERB	0.17777766389957178	0.011163249811960025	7.0	5.157421413125531	жизнь_NOUN	-0.15309702840442066	0.02920568572002975	5.0	9.667081973329847
1	помнить_VERB	-0.36430419437037365	9.129836507492832e-08	10	0.00022203762386222568																					жизнь_NOUN	-0.15619365054080658	0.026057694314892816	6.0	18.31855910336965	там_ADV	-0.16380962712474498	0.019527091042198186	12.0	20.640135231603484											за_ADP	-0.1785852286195505	0.010795115279220089	11.0	8.474165494187769	новый_ADJ	-0.14248389551796894	0.042569914138765166	5.0	41.718515855989864	за_ADP	-0.16662497588570188	0.0175007656011012	7.0	12.460545107984055	не_PART	-0.13984389909726633	0.046595978035868214	38.0	20.036270555423332											все_PRON	-0.15845328588558144	0.023948484645897928	8.0	11.064199906404843					
2	когда_SCONJ	-0.3523022328570633	2.539500090434511e-07	10	0.0006176064219936731																										о_ADP	-0.1518575652255956	0.030553818115573228	6.0	32.2953857481609											последний_ADJ	-0.17199726676622293	0.0141369232586384	6.0	11.097484758031143						с_ADP	-0.1529945668712869	0.029315170595672204	6.0	20.87240146411861																									
3	да_PART	-0.15812757532973565	0.024243140307914007	8	58.959317228846864																										друг_NOUN	-0.14617928888353285	0.03742795417372182	8.0	39.56134756162397											как_SCONJ	-0.16128870826120784	0.021511076264591217	14.0	16.886194867704106						время_NOUN	-0.1426193951694316	0.04237140726758356	6.0	30.168441974519496																									
4	принцип_NOUN	-0.15788552767757175	0.024464125251307377	5	59.496752611179545																																									человек_NOUN	-0.15702687356358222	0.025262090225880038	6.0	19.83074082731583																																			
5	мечтать_VERB	-0.15463922142239542	0.027599499495354334	5	67.12198277270174																																									подруга_NOUN	-0.15581800933605708	0.026423348506564533	7.0	20.742328577653158																																			
6	и_PART	0.14928808304674032	0.033518216547169286	29	81.5163026427157																																									у_ADP	-0.14215256883991173	0.04305859754467733	11.0	33.800999072571706																																			
7	проводить_VERB	-0.14826811615398533	0.034760873947414346	7	84.53844544011169																																									только_PART	-0.13993647127158546	0.046449604758419555	7.0	36.46293973535935																																			
8	и_CCONJ	0.14663296638068235	0.03683443940112073	106	89.58135662352562																																																																																
9	приезжать_VERB	0.14519383234197122	0.03874503148803345	7	94.22791657889736																																																																																
