	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	40	-0.18231213281218114	0.04270344882416589	124.0	5.29522765419657	266	0.22242604567059368	0.02393346680389387	103.0	2.4651470808010685	97	0.3547696543389761	7.015807285533571e-05	120	0.008418968742640285	160	-0.30461863106979536	0.01607224485623613	62.0	0.99647918108664	218	-0.35543358191091556	0.006663064397392783	57.0	0.37979467065138867	112	-0.23303474676178518	0.04570437455392645	74.0	3.3821237169905576	288	-0.1909921018913869	0.008833956468501112	187.0	1.651949859609708	56	-0.25978133983429014	0.026451401530676308	73.0	1.9309523117393705	240	-0.2979224287125353	0.011623797065440223	71.0	0.8252895916462558	277	0.3150619428082146	0.035027287818936284	45.0	1.5762279518521327	291	0.33158874309338277	0.027891057780969522	44.0	1.227206542362659	79	0.3939802702822315	0.023291905638456394	33.0	0.768632886069061	288	-0.4245446345226715	0.011023632931773041	35.0	0.3858271526120564	182	0.5320810318899171	0.0029692739633193307	29.0	0.08610894493626059	281	0.44635477460119444	0.01726874585922648	28.0	0.48352488405834143	177	-0.43941873487429917	0.007331661095499616	36.0	0.2639397994379862	136	-0.5004317154920686	0.0066859819125086265	28.0	0.18720749355024155	235	-0.2915856807440523	0.022605546930632093	61.0	1.3789383627685576
1						125	0.20609771956259948	0.036742399431345135	103.0	3.784467141428549	119	0.3394951092696915	0.0001486233177038568	120	0.017834798124462817	7	0.30084552887707594	0.017502357482309872	62.0	1.085146163903212	120	0.34858257133370113	0.007875801085105646	57.0	0.44892066185102186						52	-0.18463024248571905	0.011418043396011547	187.0	2.135174115054159						45	0.23922563303738556	0.04451082325028508	71.0	3.160268450770241											160	-0.3663669818285976	0.03599337411257021	33.0	1.187781345714817	80	-0.3381041254306572	0.0469728525132877	35.0	1.6440498379650694	113	-0.5013114954442646	0.005599532125612187	29.0	0.16238643164275343	38	0.43659617764410086	0.020186545388909446	28.0	0.5652232708894644	227	-0.3786559933238676	0.02276855105421914	36.0	0.8196678379518891	78	-0.427483475912596	0.023265152380445644	28.0	0.6514242666524781	151	0.2778700400441788	0.030140914137081302	61.0	1.8385957623619595
2											156	0.33459541694014333	0.000187567481117272	120	0.02250809773407264	238	0.27169600347784634	0.03266634508283679	62.0	2.025313395135881	126	-0.3460157349690685	0.008377347758146811	57.0	0.47750882221436824						137	0.17194641418152365	0.01861667821788931	187.0	3.4813188267453006																					59	0.3557668688273916	0.042159204110926635	33.0	1.391253735660579	93	-0.33531477798455955	0.04893804999591626	35.0	1.7128317498570689	50	-0.48573546791564254	0.007556703983366344	29.0	0.21914441551762398	251	-0.4333047136856043	0.02125743874422579	28.0	0.5952082848383221	205	-0.36523059067542807	0.028499628292893632	36.0	1.0259866185441708	287	-0.42012178817327456	0.02602313458625887	28.0	0.7286477684152484	144	-0.26423655691623804	0.03961035562406481	61.0	2.416231693067953
3											126	-0.33417955056497367	0.00019127531033325462	120	0.022953037239990554	204	-0.26747203788496254	0.03558185614169125	62.0	2.2060750807848577	42	-0.32681603618532756	0.013090694042985442	57.0	0.7461695604501701						206	-0.1698011391818582	0.020161767634310004	187.0	3.7702505476159707																					134	-0.3543448010909153	0.04304736759426129	33.0	1.4205631306106226						78	-0.46553097230836943	0.010930226946794115	29.0	0.31697658145702934	112	0.4272166894614815	0.023360751139597565	28.0	0.6541010319087318	211	0.3554083501871489	0.033404018663232206	36.0	1.2025446718763595	218	-0.41723013536609393	0.027176673075668314	28.0	0.7609468461187128	259	-0.2583954526452668	0.044360308817741605	61.0	2.705978837882238
4											135	-0.3308537387870388	0.00022346829117430135	120	0.026816194940916162	191	0.25680796368084174	0.04391663323825105	62.0	2.722831260771565	167	-0.32430926020113215	0.013849021205314256	57.0	0.7893942087029127						79	-0.16905995572810265	0.020720795474963805	187.0	3.8747887538182315																															73	-0.4622962409228123	0.011572692352662662	29.0	0.3356080782272172	225	0.42519882033178236	0.024094255767221583	28.0	0.6746391614822044	236	0.34597241254548633	0.038744525403327824	36.0	1.3948029145198018	199	0.4040924396951363	0.03295145703721473	28.0	0.9226407970420124					
5											89	0.3279928313679356	0.00025510522599021633	120	0.03061262711882596	236	0.2564156317464542	0.044251558187144685	62.0	2.7435966076029703	23	0.3213985228560224	0.014776583915313328	57.0	0.8422652831728596						209	0.16827157450859634	0.021330082979016982	187.0	3.9887255170761757																															89	-0.4543900607342443	0.013277011898485585	29.0	0.38503334505608194	293	-0.4229514885455104	0.02493316304799227	28.0	0.6981285653437836	17	0.342796003948509	0.04069081769102218	36.0	1.4648694368767985	132	0.3986297839697792	0.03562622024281571	28.0	0.99753416679884					
6											261	-0.32643670040219064	0.00027400703076934545	120	0.03288084369232146	180	-0.25280706708234363	0.04743172910510776	62.0	2.940767204516681	15	0.315064191587583	0.01698058053983878	57.0	0.9678930907708104						83	-0.16772134262642774	0.021764435467790093	187.0	4.069949432476747																															235	-0.454024773812725	0.01336055506424357	29.0	0.38745609686306354	69	-0.4216770855616355	0.025419355562850725	28.0	0.7117419557598204	130	0.3388935488509578	0.04318951218523906	36.0	1.554822438668606	182	-0.3926793694079756	0.03873516827076516	28.0	1.0845847115814244					
7											180	0.3099664406844678	0.000570569936854075	120	0.068468392422489						268	0.30730249999585063	0.02005821293366631	57.0	1.1433181372189796						171	0.1638293140524188	0.025060412274099525	187.0	4.686297095256611																															129	0.4526817819194023	0.013671479156807905	29.0	0.39647289554742926	50	-0.4121576967457596	0.02930022609105931	28.0	0.8204063305496607	219	-0.3305451109433345	0.04895101932202195	36.0	1.7622366955927902	189	0.389082432901411	0.04071719831980816	28.0	1.1400815529546287					
8											41	0.3082819369649159	0.0006135823781111448	120	0.07362988537333738						165	-0.30134437819492954	0.02273072906443928	57.0	1.2956515566730389						97	0.16204023771186823	0.026713903546211844	187.0	4.995499963141615																															241	0.4501305354733167	0.01427873361835075	29.0	0.4140832749321718	60	0.4045456091094046	0.032737036238031106	28.0	0.916637014664871	64	-0.33021563223688183	0.049190449146389426	36.0	1.7708561692700193	285	0.38648352717079176	0.04219895141849526	28.0	1.1815706397178671					
9											176	0.29509616810764255	0.0010680347203566886	120	0.12816416644280262						255	-0.3013339687290137	0.022735649274646743	57.0	1.2959320086548642						269	0.16001158329622986	0.028701039862038744	187.0	5.367094454201245																															134	-0.44788613614943246	0.014831338063341795	29.0	0.430108803836912	190	-0.39602659317490047	0.03696072572361428	28.0	1.0349003202611997	144	0.3302053923637027	0.04919790539635211	36.0	1.771124594268676	156	-0.3860505994059154	0.04244989933571273	28.0	1.1885971813999563					
10											199	-0.28356294663483933	0.0016984707130466342	120	0.20381648556559612						106	-0.3004804153155257	0.023142169102338656	57.0	1.3191036388333033						225	-0.1594953786152882	0.029226378785433355	187.0	5.4653328328760375																															244	0.44285974885624746	0.016133564801275025	29.0	0.46787337923697575	94	-0.3941581928399962	0.03794299713693271	28.0	1.0624039198341158						163	0.3849804066244134	0.04307533605053627	28.0	1.2061094094150155					
11											287	0.27349139479924883	0.0025075162710272983	120	0.3009019525232758						10	0.2973828088367355	0.02466938677323809	57.0	1.406155046074571						178	0.15697902481457762	0.031906296773647556	187.0	5.966477496672093																															25	-0.4427428088741866	0.01616495344453269	29.0	0.46878364989144805	155	0.3861588969185626	0.04238701329382682	28.0	1.1868363722271509						112	0.37538046126844693	0.04901909907309093	28.0	1.3725347740465461					
12											212	0.2583607470738484	0.004384091750331333	120	0.52609101003976						191	0.29018388722220195	0.02854918855791372	57.0	1.627303747801082						290	0.15689678111853042	0.0319973009688174	187.0	5.983495281168854																															95	0.44152471783931113	0.01649492801439221	29.0	0.47835291241737404	110	0.37849789249085597	0.047021979100438455	28.0	1.3166154148122766															
13											151	0.25601990213985354	0.004766545121417633	120	0.571985414570116						136	0.28711917922433433	0.0303494951891064	57.0	1.7299212257790648						182	-0.15668958040616496	0.03222755129177039	187.0	6.026552091561063																															279	0.4403813576652437	0.01680971335840897	29.0	0.4874816873938601																				
14											81	0.25153335785062253	0.0055837764725868355	120	0.6700531767104203						263	-0.28566970514226514	0.031233437150954606	57.0	1.7803059176044125						10	-0.1553998755056259	0.033692614865776904	187.0	6.300518979900281																															220	-0.438340509714752	0.01738394368879623	29.0	0.5041343669750907																				
15											222	-0.2510085759084206	0.005687089332569184	120	0.6824507199083021						89	0.28507157167358843	0.03160440945735393	57.0	1.8014513390691742						174	-0.15467027869502567	0.034546158731992564	187.0	6.46013168288261																															116	0.4358360190821473	0.018110690936101796	29.0	0.525210037146952																				
