	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	178	-0.16988407522123633	0.016721968667408056	198.0	3.310949796146795	21	-0.29548628434243435	0.009557516952696174	76.0	0.7263712884049092	54	-0.2505158916557833	0.04247963998885615	66.0	2.8036562392645057	175	-0.2643536066448624	0.010884232127523616	92.0	1.0013493557321727	248	0.20980566178574983	0.01658516419375338	130.0	2.1560713451879394	225	0.2939319097678511	0.04037083098027987	49.0	1.9781707180337136	230	-0.2548202818393991	0.03893844598185501	66.0	2.5699374348024304	74	0.29240379906443303	0.02110017851483324	62.0	1.3082110679196608	67	-0.20521633439011722	0.03952367198782002	101.0	3.9918908707698217	75	0.5242648120950998	2.2829169469575407e-06	72	0.00016437002018094294	158	-0.4124787712707181	0.012420843462662864	36.0	0.4471503646558631	132	-0.6159729595893628	0.00010524773125681408	34.0	0.003578422862731679	127	-0.29101429892937564	0.00799069686188785	82.0	0.6552371426748037	283	-0.20426161264033163	0.04047115634127557	101.0	4.0875867904688326	135	-0.31979971407420055	0.010619339371221493	63.0	0.669018380386954	122	-0.3306327322185827	0.028372798827628547	44.0	1.2484031484156561	244	0.5331286969340654	0.0006802844488772698	37.0	0.025170524608458984
1						245	0.28149587897243883	0.013763133936016643	76.0	1.0459981791372648						214	0.2112007116322576	0.0432874315904924	92.0	3.982443706325301	273	0.20063893515955625	0.022087018142496435	130.0	2.8713123585245364						272	0.25232669362057375	0.04095878469864481	66.0	2.703279790110557	24	-0.2901976868682817	0.02213782442670946	62.0	1.3725451144559866						158	-0.475608867085764	2.4202152835325524e-05	72	0.0017425550041434378	115	0.36739366214783753	0.02750336521369597	36.0	0.9901211476930549	14	0.6069799751016292	0.00014120174959452418	34.0	0.004800859486213822	222	-0.290718559800059	0.008057654828049652	82.0	0.6607276959000715						266	-0.3008318780165085	0.016586515257148417	63.0	1.0449504612003502	40	-0.3148091537412146	0.037402904395071906	44.0	1.645727793383164	287	-0.5005689577095787	0.0016034916360931676	37.0	0.0593291905354472
2						236	0.2730307186901524	0.01701843849632919	76.0	1.2934013257210184											143	-0.19459186603493597	0.026519932290994898	130.0	3.4475911978293365											126	0.28252308250174685	0.026090928431467337	62.0	1.617637562750975						36	0.4754848260587495	2.4337339482887813e-05	72	0.0017522884427679224	140	-0.35555294549428873	0.03332712165956895	36.0	1.1997763797444823	35	-0.5816615956346307	0.00030853276444969976	34.0	0.010490113991289792	179	0.28476243724501293	0.009515156250399417	82.0	0.7802428125327522						286	-0.2976445204933585	0.017829475498711975	63.0	1.1232569564188544	135	-0.3127448782768648	0.03873795180128906	44.0	1.7044698792567188	204	0.4516353607564691	0.005017079254698146	37.0	0.18563193242383141
3						178	-0.2629851587757486	0.021720718547446224	76.0	1.650774609605913											249	-0.19451163317036205	0.02658351421797936	130.0	3.4558568483373167											140	0.2764577846186836	0.029621477137128767	62.0	1.8365315825019835						204	0.4510630698582755	6.995386626624423e-05	72	0.005036678371169585	224	-0.3449107680782458	0.039386444207270305	36.0	1.417911991461731	115	0.4963314413924157	0.002831023107741064	34.0	0.09625478566319617	106	-0.27780237558700815	0.011506168005948288	82.0	0.9435057764877596						187	0.2876492426722986	0.0222558996842702	63.0	1.4021216801090226	232	0.3047790553713213	0.04426036426514282	44.0	1.9474560276662842	267	0.4265912347799992	0.008464928719603856	37.0	0.3132023626253427
4						65	0.25655894493521136	0.025276594024841222	76.0	1.921021145887933											289	0.19247498362712046	0.028241620586481504	130.0	3.6714106762425955											98	0.2718899026269328	0.03253744603270522	62.0	2.0173216540277235						124	-0.44472928668859624	9.081508207443928e-05	72	0.006538685909359628	274	0.34083991298186256	0.041928237856401256	36.0	1.5094165628304452	278	-0.4598202513842417	0.006218741951205706	34.0	0.21143722634099402	251	0.2696754832775859	0.014281571063724024	82.0	1.1710888272253699						174	-0.2859357502737534	0.023101357356285147	63.0	1.4553855134459643						172	-0.40122186404645593	0.013848599232177445	37.0	0.5123981715905654
5						123	-0.2528536704534952	0.027542729494048374	76.0	2.0932474415476765											198	0.18916108337358128	0.03112766303211307	130.0	4.046596194174699											191	-0.2715581972173345	0.03275821393425398	62.0	2.031009263923747						47	0.44129972976480836	0.00010437771417957908	72	0.007515195420929694	51	-0.33182394713181684	0.04803053249304431	36.0	1.729099169749595	3	-0.45454049679937747	0.006920830094156948	34.0	0.23530822320133624	141	0.2646191337766711	0.01628632460291399	82.0	1.3354786174389472						41	0.2812860736802714	0.025533716151454774	63.0	1.6086241175416507						209	-0.3906075820982736	0.01683697772275291	37.0	0.6229681757418576
6						143	-0.24443184174379848	0.033338341687093605	76.0	2.533713968219114											138	0.18690884355955492	0.03322876269731972	130.0	4.319739150651563											43	0.2700475862202486	0.03377947918095824	62.0	2.094327709219411						128	0.4297569498592886	0.00016496742281258336	72	0.011877654442506002						179	-0.4459097917387007	0.008214381629577447	34.0	0.2792889754056332	19	-0.2583827318139339	0.019089145075435993	82.0	1.5653098961857514						16	0.2634782793460692	0.036938955316658965	63.0	2.327154184949515						47	0.37785361740087264	0.02112595040769708	37.0	0.7816601650847919
7						222	0.22771938263137861	0.04788517846509468	76.0	3.6392735633471958											251	-0.18576200637301923	0.03434393634549281	130.0	4.464711724914066											273	0.2687353666452638	0.034688028216765004	62.0	2.1506577494394303						25	-0.4180053881771565	0.00025857975895603706	72	0.018617742644834668						45	-0.44374708702337	0.008569024298109237	34.0	0.29134682613571405	36	-0.24953503325753668	0.02376924364368187	82.0	1.9490779787819135						167	0.25995595113496656	0.03963453273718499	63.0	2.496975562442654						42	-0.3656476381194371	0.026047185081747262	37.0	0.9637458480246487
8																					18	-0.18509565637838438	0.035006286387124816	130.0	4.550817230326226											14	0.26595080376613306	0.03668348797180707	62.0	2.2743762542520387						52	0.41118428440212007	0.00033317019234857726	72	0.023988253849097564						219	-0.4329101033614296	0.01054865373872891	34.0	0.3586542271167829	33	-0.24898392270859449	0.02409055525508653	82.0	1.9754255309170956						181	0.2577982747154002	0.04136473977763653	63.0	2.605978605991101						278	-0.36437851342568706	0.026609212074115627	37.0	0.9845408467422782
