	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	97	-0.33623874267525583	0.009863268192838653	58.0	0.5720695551846419	27	-0.35108684193902956	0.03311991284995294	37.0	1.225436775448259	196	-0.5547384827649718	0.002186524347783438	28.0	0.06122268173793626	137	-0.9489994788856355	0.0010975398374524514	7.0	0.00768277886216716	49	-0.9874608028189443	0.0016823637879780124	5.0	0.008411818939890061	295	-0.756220393462328	0.011374446265036836	10.0	0.11374446265036836	232	-0.7290630190270316	0.007140454936340434	12.0	0.08568545923608521	192	-0.965993871433919	0.0017149625412300187	6.0	0.010289775247380112	247	-0.9449080779666187	0.004469074516286457	6	0.02681444709771874	232	-0.7462094079902172	0.013185872818546026	10.0	0.13185872818546027	138	-0.6125805786414539	0.015192626909469143	15.0	0.22788940364203714	112	-0.9993870231736939	0.0006129768263061219	4.0	0.0024519073052244877	76	-0.6439196274104709	0.009581258512663317	15.0	0.14371887768994976	58	-0.5655513140566308	0.035047164020570884	14.0	0.49066029628799235	234	-0.6097872173470631	0.00044510713049281353	29.0	0.012908106784291593	4	0.5524837364914311	0.03269930044365157	15.0	0.49048950665477353	213	0.9280090862467218	0.00030705324050459394	9.0	0.0027634791645413455	256	0.9555904168700707	0.044409583129929264	4.0	0.17763833251971706	211	-0.540423586939543	0.030677214294147437	16.0	0.490835428706359	7	-0.7048495030977928	0.022827058514990457	10.0	0.22827058514990456	224	0.9870274714194738	0.0017702064570103192	5.0	0.008851032285051595
1	121	0.3121266668618292	0.01706678867022582	58.0	0.9898737428730975						58	-0.5261038923946431	0.004032314063688598	28.0	0.11290479378328075	191	0.9092399780345266	0.0045367068133579805	7.0	0.031756947693505864	247	-0.9825228735197677	0.002766286045091233	5.0	0.013831430225456165	68	0.7194844360435636	0.018993994614570388	10.0	0.18993994614570386	133	-0.6407996402800132	0.024754061918568302	12.0	0.29704874302281964	187	0.9600299166355389	0.002364483092481327	6.0	0.014186898554887962	189	0.9430698073405435	0.004769313543961444	6	0.028615881263768666	234	-0.7143667111865973	0.020279281896599173	10.0	0.20279281896599172	34	0.5764174327024931	0.024499367340790952	15.0	0.3674905101118643	145	-0.9951847928945596	0.004815207105440367	4.0	0.019260828421761467	186	-0.6180506755723133	0.014065178288731009	15.0	0.21097767433096515						71	0.4358850611260382	0.018096223072012765	29.0	0.5247904690883702	92	0.5416936300374591	0.03700549839032601	15.0	0.5550824758548902	240	-0.8913338487851551	0.0012504595801895286	9.0	0.011254136221705758						120	0.5166089412478277	0.04047236730426047	16.0	0.6475578768681676	13	0.699779683698908	0.024270331839811414	10.0	0.24270331839811415	215	-0.9285191147105892	0.0226937656849427	5.0	0.11346882842471351
2	30	-0.2935025474811608	0.025345981066369563	58.0	1.4700669018494346						274	0.47031708858052684	0.011549217506424703	28.0	0.32337809017989166	196	0.9021031272707611	0.005460226982000488	7.0	0.03822158887400342	64	-0.9645905319342087	0.007955962187798066	5.0	0.03977981093899033	270	0.6672759022364384	0.03503718875958138	10.0	0.35037188759581384	70	-0.5913652518641326	0.04284471579443632	12.0	0.5141365895332358	280	0.9550348802572952	0.0029873363568937382	6.0	0.01792401814136243	231	0.9358589540147477	0.006039170172365883	6	0.0362350210341953	76	0.6612228575403543	0.037347353713469755	10.0	0.37347353713469755	236	-0.5696929589392827	0.026624608868565356	15.0	0.3993691330284803	152	-0.9948501124538925	0.005149887546107457	4.0	0.020599550184429827	278	0.5993928848398735	0.018197722591946314	15.0	0.27296583887919473						204	0.4301056702589043	0.01986819242519396	29.0	0.5761775803306248						250	0.8304077477853864	0.005579455543509766	9.0	0.0502150998915879						289	-0.5117852178806112	0.04271372278456793	16.0	0.6834195645530868	127	-0.6987715611534574	0.024564610916657716	10.0	0.24564610916657714	45	0.9162914535773073	0.028705092200489026	5.0	0.14352546100244512
3	48	-0.2689962105396772	0.04116928645610404	58.0	2.3878186144540345						7	0.44381192648989115	0.017993241267512367	28.0	0.5038107554903463	244	0.8896354853506441	0.007317368294925909	7.0	0.05122157806448136	133	0.9584730396575949	0.010094973801691123	5.0	0.05047486900845562	132	-0.6603820973025137	0.03767615422088101	10.0	0.3767615422088101						150	-0.9520354045506373	0.0033957298928300123	6.0	0.020374379356980075	130	0.934235085137731	0.006345318621810983	6	0.038071911730865896	56	-0.6576639667229047	0.03875250466628467	10.0	0.3875250466628467	273	-0.5372403051496125	0.03890106419472221	15.0	0.5835159629208332	267	-0.9939279759117645	0.006072024088235484	4.0	0.024288096352941935	229	-0.5881148653114433	0.021112538306104246	15.0	0.3166880745915637						30	0.421319479564253	0.022833657271193006	29.0	0.6621760608645971						45	-0.8260758981945495	0.006067108824386728	9.0	0.05460397941948055											92	0.6482943932450075	0.04262124352516156	10.0	0.4262124352516156	281	0.9124394976052626	0.030690813587503557	5.0	0.15345406793751779
4											70	0.43706174987308805	0.02003870808657033	28.0	0.5610838264239693	186	0.8837146935063181	0.008311139085971366	7.0	0.05817797360179956	116	0.9520361683069913	0.012518583755505156	5.0	0.06259291877752578	136	-0.6544293925802611	0.04006013638628156	10.0	0.4006013638628156						62	-0.9410376040430467	0.0051123529298695	6.0	0.030674117579216998	111	0.9250660799224231	0.00821225812554118	6	0.049273548753247076						128	-0.536329848856071	0.039297345913047475	15.0	0.5894601886957122	271	0.9935360727152567	0.0064639272847433205	4.0	0.025855709138973282	140	-0.5820921288749028	0.02280839091393615	15.0	0.34212586370904224						80	0.39173072040199614	0.03559167896041708	29.0	1.0321586898520954						38	-0.8059154074912763	0.008721322310584194	9.0	0.07849190079525775																151	-0.900677892896391	0.037010453007562734	5.0	0.18505226503781366
5											257	0.4228706264011427	0.02496378572891191	28.0	0.6989860004095334	266	0.862483622997813	0.01249026956975244	7.0	0.08743188698826708	1	0.9475351034456528	0.014311642616096404	5.0	0.07155821308048202	175	0.6537245739034515	0.04034895899582649	10.0	0.4034895899582649						121	0.923310167693018	0.00859647644864533	6.0	0.05157885869187198	285	0.9158543264995564	0.010322845069573667	6	0.061937070417442											26	0.9931266467966717	0.00687335320332827	4.0	0.02749341281331308	290	0.5789184291207377	0.02374275949267538	15.0	0.35614139239013065						280	-0.38393024785773394	0.039769247359831124	29.0	1.1533081734351025						230	-0.8057550964081189	0.008745097005663454	9.0	0.07870587305097108																99	0.8887241077365288	0.04380769961944454	5.0	0.2190384980972227
6											145	0.4188694217177215	0.026517742556964617	28.0	0.7424967915950093	175	-0.8534173658933225	0.01457724786219034	7.0	0.10204073503533238	187	0.9369492043844024	0.018824313233476424	5.0	0.09412156616738213	156	-0.6528299132858189	0.04071758908867281	10.0	0.4071758908867281						145	0.8946849182846471	0.016052860839512666	6.0	0.09631716503707599	73	-0.9158382432736425	0.01032673461077185	6	0.0619604076646311											158	0.9881368039784593	0.011863196021540734	4.0	0.047452784086162936	130	-0.5705565993108304	0.02634411526888482	15.0	0.3951617290332723						45	-0.3816898842604723	0.041038929623011686	29.0	1.190128959067339						199	0.7743122941163095	0.014304457278915387	9.0	0.12874011551023848																30	0.8878087442440373	0.04434303610867156	5.0	0.22171518054335781
7											191	0.41002667722773134	0.030231505428906975	28.0	0.8464821520093953	106	0.8427687975603102	0.017266468420531794	7.0	0.12086527894372255	165	-0.9348690660834909	0.019757219033318785	5.0	0.09878609516659392	83	-0.649539493844933	0.0420928238095892	10.0	0.420928238095892						74	0.8725104236325311	0.02334430633902039	6.0	0.14006583803412234	2	-0.9112568661990117	0.011463574351085176	6	0.06878144610651105											138	0.9851112483915493	0.014888751608450712	4.0	0.05955500643380285	84	0.5673889929877288	0.02738396262478593	15.0	0.41075943937178894						201	-0.3814499741250375	0.041176791340522836	29.0	1.1941269488751622						10	0.7705508392512336	0.015096230129506612	9.0	0.13586607116555952																2	-0.8858149984978302	0.04551615777330041	5.0	0.22758078886650207
8											186	-0.4049226248696965	0.03255950569794461	28.0	0.911666159542449	297	-0.8079540606368195	0.027909869796405345	7.0	0.19536908857483742	36	-0.9248788540059312	0.024435542529637623	5.0	0.12217771264818811	242	-0.6491464197652576	0.042259166274825136	10.0	0.42259166274825133						34	-0.8722973097302569	0.023420679378795235	6.0	0.14052407627277141	94	-0.9092578532426632	0.011977614154168701	6	0.0718656849250122											129	0.9842542197302385	0.015745780269761478	4.0	0.06298312107904591	9	-0.565947232076871	0.0278674113511406	15.0	0.418011170267109						256	-0.37975617558467	0.042160669416686704	29.0	1.2226594130839143						216	-0.7648756172632197	0.016345416229046342	9.0	0.14710874606141708																232	-0.8799924405421402	0.048997100869954985	5.0	0.24498550434977492
