	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni
0	найти_VERB	-0.4854497383117602	2.1241882488878522e-13	11	5.166025821295257e-10	новый_ADJ	-0.24636091264280507	0.00039530833126872895	6.0	0.4644872892407565	еще_ADV	-0.15006855173958	0.032593005265377735	5.0	38.91604828686101	как_SCONJ	-0.14640694539133114	0.03712912489309364	13.0	25.50770880155533	этот_DET	0.19258603602140995	0.005908765463077931	19.0	4.153862120543786	интересный_ADJ	-0.1424017753304356	0.04269059960251208	11.0	45.123963779855266	этот_DET	0.15493844601342177	0.027296778354263834	5.0	15.422679770159066	любимый_ADJ	-0.1862439556805334	0.007802466392419068	9.0	6.124936118048968	было_AUX	0.15637109594556708	0.02588648184987039	8.0	25.36875221287298	в_ADP	-0.2292491670120882	0.001001676480117664	44.0	0.7131936538437766	а_CCONJ	0.15769653959394853	0.024637870172621815	14.0	10.618922044400003	а_CCONJ	-0.22575051185716616	0.0012016140760703906	7.0	0.5839844409702099	учёба_NOUN	-0.157099803141484	0.025193457180209978	13.0	16.149006052514597	он_PRON	-0.14259276023919162	0.04241036593365089	5.0	28.45735554147975	все_PRON	-0.15095233115662784	0.031571622030392224	8.0	14.586089378041207	и_CCONJ	0.14546418316187484	0.038379870548401966	11.0	19.15155540365258	и_CCONJ	-0.15503390817411547	0.02720080094911823	14.0	10.635513171105227
1	помнить_VERB	-0.4847819374459132	2.3160646064493397e-13	10	5.632669122884794e-10																я_PRON	0.18885807899189416	0.006964753911984118	44.0	4.896222000124835	наш_DET	-0.14117635009863458	0.04452588632528948	8.0	47.06386184583098	что_SCONJ	0.1513420141163412	0.031129995859065958	19.0	17.588447660372267	подруга_NOUN	-0.14665617748336257	0.03680428908997259	7.0	28.891366935628483						с_ADP	-0.1587364247198741	0.02369485145889482	6.0	16.870734238733114	но_CCONJ	0.14292271463088876	0.04192986012145403	10.0	18.071769712346686	наш_DET	-0.20335669663790476	0.0036147099751826436	6.0	1.7567490479387649																					в_ADP	-0.14325670768400806	0.041448138529313686	17.0	16.206222164961652
2	когда_SCONJ	-0.4503528087001086	1.5658683460237186e-11	10	3.8081918175296834e-08																					этот_DET	0.1396415740054117	0.04691723212054526	13.0	49.591514351416336	на_ADP	0.14948166345733477	0.033286680609670924	13.0	18.806974544464072											вообще_ADV	-0.15331615924527453	0.028972705928456948	5.0	20.628566621061346						новый_ADJ	-0.15351090360618008	0.028766988242223172	17.0	13.980756285720462																									
3	как_ADV	-0.20124313730868246	0.003988352061487884	36	9.699672213538534																										ты_PRON	0.13980330495898852	0.046660286100037404	16.0	26.363061646521132											время_NOUN	-0.14228376148271943	0.04286453782056411	6.0	30.519550928241646																																			
4	время_NOUN	0.1752701871831911	0.012377780611883018	44	30.1027624480995																																									за_ADP	-0.14127302325304797	0.044378739979273454	7.0	31.5976628652427																																			
5	ответ_NOUN	-0.1652473802445561	0.01846819890856747	5	44.91465974563609																																									последний_ADJ	-0.14060097659063625	0.04541013929981516	9.0	32.3320191814684																																			
6	постоянно_ADV	0.1603334936757642	0.022307108746225688	5	54.250888470820875																																																																																
7	момент_NOUN	-0.1418241630451491	0.04354760798978727	9	105.90778263116263																																																																																
8	письмо_NOUN	-0.13992589270731207	0.04646631190762534	18	113.00607055934482																																																																																
9	проходить_VERB	-0.1393689524983612	0.047353026810316265	5	115.16256120268916																																																																																
