	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	242	0.227482212081997	0.008455785656442897	133.0	1.1246194923069053	219	0.2221031480520138	0.013166422998606006	124.0	1.6326364518271448	6	0.20397454141698293	0.03876886347972197	103.0	3.993192938411363	135	-0.20849191855404944	0.02230212538313665	120.0	2.676255045976398	13	0.168537050616128	0.021123208098398516	187.0	3.9500399144005227	210	0.27188034075173345	0.019972199645048663	73.0	1.4579705740885525	298	0.24711667761489284	0.04379408645083294	67.0	2.9342037922058073	140	-0.44017548415929425	0.0027894579659328003	44.0	0.12273615050104321	28	0.39352211471229875	0.023467397423582604	33.0	0.7744241149782259	240	-0.3775973770480194	0.02533328558896923	35.0	0.8866649956139231	38	0.41822491135869294	0.008975806318740195	38.0	0.3410806401121274	183	0.6176110671763931	0.00035761928518819917	29	0.010370959270457775	211	0.46325664829258817	0.004436433721338878	36.0	0.15971161396819963	182	-0.3964304199122233	0.03675112322994992	28.0	1.0290314504385978	42	0.45166173915369706	0.010753802058476902	31.0	0.33336786381278394
1	261	0.2013830356104114	0.020103715428250322	133.0	2.673794151957293	227	-0.2079742180400366	0.020457327276345937	124.0	2.536708582266896	57	0.20363552941083288	0.03910093594593764	103.0	4.0273964024315765	119	0.19581754406238838	0.0320795785837426	120.0	3.849549430049112	290	0.159979457210382	0.028733497433550116	187.0	5.3731640200738715											39	0.39850291664462295	0.007378591836798939	44.0	0.3246580408191533	180	-0.3695069536553522	0.034314384091108714	33.0	1.1323746750065875						5	0.32987308807903326	0.04311919019468352	38.0	1.638529227397974	109	-0.6122142369980018	0.00041614800187061464	29	0.012068292054247825	162	0.44508331091252074	0.006527258206251648	36.0	0.23498129542505933						236	0.39631153685750586	0.02730288032693005	31.0	0.8463892901348316
2	144	0.20107149536866484	0.020301132523796953	133.0	2.700050625664995	56	0.20628036190083052	0.021530147086455047	124.0	2.669738238720426						280	-0.18137374663213174	0.04742007465882043	120.0	5.690408959058451	106	-0.15792965356785088	0.030870283683168114	187.0	5.772743048752437											217	-0.3726959717088122	0.01272033880077787	44.0	0.5596949072342263	19	0.35673858713671114	0.04156082893408543	33.0	1.3715073548248191											205	0.6108673495826065	0.00043200728826566745	29	0.012528211359704356	240	-0.44052563866838546	0.007168122158238473	36.0	0.25805239769658506						133	0.37102943067752925	0.03988741434983366	31.0	1.2365098448448435
3	277	0.19973242273135475	0.0211688288332793	133.0	2.815454234826147	176	0.20241159907916845	0.024163289362895423	124.0	2.9962478809990323											140	-0.15040341882272085	0.03991305409409353	187.0	7.463741115595489											285	0.3469590109190709	0.021032386275642655	44.0	0.9254249961282768	253	0.35499247193568734	0.04264101408022791	33.0	1.407153464647521											282	-0.6087234754191152	0.00045834820399897035	29	0.013292097915970141	51	-0.42316185992670075	0.010127531941275343	36.0	0.36459114988591235						28	-0.37050915367566484	0.04018842626966236	31.0	1.2458412143595332
4	77	-0.1908171673583647	0.027800138445913874	133.0	3.6974184133065453	289	-0.18967831649417566	0.03486085080133592	124.0	4.322745499365654											245	0.14786910838316245	0.043421000785305225	187.0	8.119727146852076											16	-0.3154077613178575	0.03702289837870218	44.0	1.6290075286628958																175	-0.6083079875368339	0.00046361330707247203	29	0.013444785905101689	84	-0.4141974867017157	0.012024707455938597	36.0	0.4328894684137895										
5	180	-0.18662525111804362	0.03148524516909669	133.0	4.18753760748986	298	0.17973212840145994	0.045777473893144315	124.0	5.676406762749895											259	-0.1455652600555007	0.046830646744192087	187.0	8.75733094116392											209	-0.311890133632771	0.039302051536584046	44.0	1.729290267609698																129	0.5957485555614992	0.0006500156887430869	29	0.018850454973549518	145	0.3860618577349048	0.02004002501581345	36.0	0.7214409005692842										
6	99	-0.1826807615691084	0.03532309638794112	133.0	4.6979718195961695																															80	0.31167552452240593	0.03944473611913037	44.0	1.7355683892417364																227	0.5905497115383246	0.0007446112947376868	29	0.021593727547392916	64	-0.38211731237340263	0.02145724044241936	36.0	0.772460655927097										
7	232	0.17953483463462375	0.038660233786934076	133.0	5.141811093662232																															264	-0.30033595282709713	0.04760860686856396	44.0	2.0947787022168143																154	0.5900899978532298	0.0007535280773859242	29	0.021852314244191803	54	0.37346125328432506	0.024860801905529407	36.0	0.8949888685990587										
8	178	-0.17533856339916457	0.04352025417195891	133.0	5.788193804870534																															21	0.29840468188281905	0.04912656810674602	44.0	2.1615689966968246																110	0.5892727338760992	0.0007696108431984224	29	0.02231871445275425	160	0.37005675084217005	0.026316379824654734	36.0	0.9473896736875704										
