	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13
0	0	5_польза-вред	0.14164328227299686	0.046533082807518826	198.0	9.213550395888726	197_проблема-решение_проблем	0.31902573028425785	0.012974289124802668	60.0	0.7784573474881601	214_спешка-неторопливость	0.21911169229072197	0.03586251239609593	92.0	3.2993511404408262	232_проблема-решение_проблем	-0.34646576786182004	0.009563016460247613	55.0	0.5259659053136188	81_религия-наука	0.29295974249944434	0.04106830996550282	49.0	2.0123471883096378	162_история-одномоментное_происшествие	0.3589152103318543	0.0030822220571471467	66.0	0.20342665577171168	36_спокойствие-деятельность	0.5732948673375857	1.4148879340172218e-07	72	1.0187193124923996e-05	296_равенство-иерархия	0.3868934258739389	0.019751436713915112	36.0	0.7110517217009441	132_правонарушение-соблюдение_закона	-0.4717509505096433	0.0048533868885329255	34.0	0.1650151542101195	156_физический_труд-умственный_труд	-0.27183935562066497	0.03727313506586827	59.0	2.199114968886228	39_целостность-пустота	0.2284870501803032	0.038954036370883835	82.0	3.1942309824124755	204_столкновение-мир	-0.27883749645832484	0.004748283956085736	101.0	0.4795766795646593	107_мир-драка	0.3050638921078768	0.04405242282644907	44.0	1.9383066043637591	261_болезнь-здоровье	0.5659646015765495	0.0002613349744859888	37.0	0.009669394055981584
1	1						201_вирус-растение	-0.25734567543467873	0.04714119603093032	60.0	2.828471761855819						68_власть-народ	-0.30450720778128354	0.023797052334325997	55.0	1.3088378783879295	61_единство-разрозренность	0.2926807447738853	0.041270290329722	49.0	2.0222442261563778	194_контроль-бесконтрольность	0.33763214486469056	0.0055636736872482365	66.0	0.3672024633583837	75_действующее_лицо-зритель	0.5316661280746627	1.5424553868346754e-06	72	0.00011105678785209663						35_кончина-вечное_искусство	-0.4686414120532842	0.005181649216369739	34.0	0.17617607335657112						246_чистота-беспорядок	0.22459644045945146	0.04250106709651726	82.0	3.4850875019144154	223_бытовые_ситуации-глобальные_происшествия	0.2472520466037008	0.01267561730944487	101.0	1.2802373482539315						55_армия-гражданская_жизнь	0.4800484534825865	0.002640056188169997	37.0	0.09768207896228988
2	2																135_запрет-толчок	-0.2832650158900216	0.03611493698897083	55.0	1.9863215343933955	171_работа-отдых	0.28500317249850937	0.04715582430859663	49.0	2.3106353911212345	215_творчество-власть	-0.3126139543018283	0.01060163510090775	66.0	0.6997079166599116	201_вирус-растение	-0.52600841890498	2.083232638483249e-06	72	0.00014999274997079393						57_улица-дом	-0.4532969562617543	0.0070957142479456965	34.0	0.2412542844301537											13_личные_отношения-иерархические_отношения	0.2281856416226421	0.021729684344251817	101.0	2.194698118769434						102_фантастика-реальность	0.4531025087133226	0.004859796705744586	37.0	0.17981247811254966
3	3																132_правонарушение-соблюдение_закона	-0.27662883650172604	0.040904294835706255	55.0	2.2497362159638445	52_близость-расстояние	-0.28359642816150754	0.04830488797025638	49.0	2.366939510542563	175_нематериальное-материальное	-0.30414780204259273	0.013034553625643184	66.0	0.8602805392924502	60_восстание-смирение	0.5149923498252944	3.683199427675856e-06	72	0.0002651903587926616						274_единство-разрозренность	0.4515868631423887	0.007342368954116306	34.0	0.24964054443995445											299_веселье-грусть	-0.22367845566678754	0.024542406969427832	101.0	2.4787831039122112						201_вирус-растение	0.45029860010121664	0.005164195018919933	37.0	0.19107521570003752
4	4																30_стихийное_собрание-мероприятия	0.2676384532591736	0.04821475332735233	55.0	2.6518114330043776						55_армия-гражданская_жизнь	0.287094874473771	0.019426580655003096	66.0	1.2821543232302044	124_сражение-тыл	-0.4986717570733419	8.267403691106092e-06	72	0.0005952530657596386						39_целостность-пустота	0.4394268775606352	0.009316584281900195	34.0	0.3167638655846067											240_осторожность-риск	0.22010187696135272	0.02699014751981333	101.0	2.7260048995011466						14_изобилие-недостаток	-0.4374814323459515	0.006774600690546919	37.0	0.25066022555023604
5	5																										216_старость-смерть	-0.2862711798935512	0.01979342473888247	66.0	1.306366032766243	77_природные_процессы-военные_процессы	0.4985107320645948	8.331907571095447e-06	72	0.0005998973451188721						204_столкновение-мир	-0.4346150474548767	0.010213703231392956	34.0	0.3472659098673605											187_гармония-конфликт	-0.2107349338292372	0.03440314503699173	101.0	3.4747176487361653						60_восстание-смирение	0.4003290700782663	0.014081373678987437	37.0	0.5210108261225351
6	6																										46_идея-реализация	0.2829528375167968	0.02133170269075925	66.0	1.4078923775901104	57_улица-дом	-0.4855577286804932	1.5372494691526608e-05	72	0.0011068196177899158						278_физический_труд-умственный_труд	-0.4217659843026128	0.01297514824247928	34.0	0.4411550402442955											126_путешествие-конец_движения	-0.21050239904416987	0.03460704579277346	101.0	3.49531162507012						284_учеба-производство	0.3964337470783496	0.015135983405293884	37.0	0.5600313859958737
7	7																										204_столкновение-мир	-0.2793302050146991	0.023125940313534682	66.0	1.526312060693289	32_разруха-реализация	0.4725746598469538	2.771792737592264e-05	72	0.00199569077106643						45_наука-быт	-0.4173614414445077	0.014055907241225995	34.0	0.4779008462016839											107_мир-драка	0.20324834830883756	0.04149740745253653	101.0	4.191238152706189						210_спешка-неторопливость	-0.384023694665484	0.01894944608362813	37.0	0.7011295050942409
8	8																										199_уют-неуют	0.2676256755265498	0.029821299227127257	66.0	1.9682057489903992	263_влияние-зависимость	0.4682584261365448	3.354309493474045e-05	72	0.002415102835301313						3_спокойствие-суматоха	-0.3869239516285759	0.023783597787098626	34.0	0.8086423247613531											9_трудности-отсутствие_проблем	-0.20166808101891712	0.043141182342426775	101.0	4.357259416585103						220_власть-наука	-0.3740596736400809	0.02256483618923184	37.0	0.8348989390015781
