	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	204	-0.1965276321820464	0.02337612626671647	133.0	3.1090247934732904	295	-0.2812516792705425	0.0015545909241821837	124.0	0.19276927459859078	64	-0.22704470635289936	0.021091790610181495	103.0	2.172454432848694	261	-0.2991220267357058	0.018190960096118057	62.0	1.1278395259593195	205	-0.34185499448122847	0.002872605887051329	74	0.21257283564179835	277	-0.14542233894931264	0.04704932925810406	187.0	8.79822457126546	298	0.23889498641596335	0.041804133732965806	73.0	3.0517017625065037	18	-0.2684637288359137	0.028048155963188746	67.0	1.879226449533646	285	0.3758398868212568	0.011930223673387405	44.0	0.5249298416290458	283	-0.3551842523198563	0.042521282995333455	33.0	1.403202338846004	225	-0.36168058415780346	0.032770031057199604	35.0	1.1469510870019861	9	0.548744287787574	0.002053202236449034	29.0	0.05954286485702199	284	0.4524863111693507	0.015620250916781611	28.0	0.4373670256698851	160	-0.5048341629094458	0.008531387299589141	26.0	0.22181606978931767
1	23	-0.1848335977116935	0.033182250502910605	133.0	4.41323931688711	284	-0.24544826026105854	0.006001878640931339	124.0	0.744232951475486	222	0.20568110490380093	0.037132872051410644	103.0	3.8246858212952963	83	-0.29241479400780807	0.02109511230974125	62.0	1.3078969632039574	128	-0.3358960799942422	0.0034355730269173294	74	0.25423240399188235																					290	-0.34527347156364147	0.04907251748180336	33.0	1.6193930768995108						225	0.5440038687888369	0.0022847822083999175	29.0	0.06625868404359761	248	-0.3840705791188504	0.04361279390789556	28.0	1.2211582294210757	8	-0.4166888618404352	0.03420829419419449	26.0	0.8894156490490567
2	106	-0.17884140767937773	0.039430383833797746	133.0	5.2442410498951	32	-0.24002791146595098	0.007249933129723621	124.0	0.898991708085729	166	0.2039570109471306	0.03878597704425636	103.0	3.994955635558405	265	0.282100997432513	0.02632457479050868	62.0	1.6321236370115382	166	0.3333058862074087	0.0037095278500473214	74	0.2745050609035018																															253	0.5421507837753307	0.00238125302295183	29.0	0.06905633766560307						21	0.4055155585452268	0.0398507796150405	26.0	1.036120269991053
3	40	0.17049061962351325	0.04975975016305927	133.0	6.618046771686883	56	0.23760927775105786	0.007877465261248667	124.0	0.9768056923948347	230	0.2032760837833637	0.03945561936178315	103.0	4.063928794263664	67	-0.2518147926255317	0.04833830467250936	62.0	2.99697488969558	241	-0.3291857383998602	0.0041854723893038825	74	0.30972495680848733																															102	0.5332606602338157	0.0028944998817898794	29.0	0.0839404965719065						74	0.3948260674646936	0.04591712620704054	26.0	1.193845281383054
4						229	-0.2371550271501828	0.00800054233700389	124.0	0.9920672497884823	72	-0.20179905226289335	0.04094144627600045	103.0	4.2169689664280465	7	0.25163415035512526	0.04850486208545358	62.0	3.007301449298122	14	0.31883009683970326	0.005629115399224959	74	0.416554539542647																															25	-0.5311860239678489	0.0030271089791229413	29.0	0.0877861603945653										
5						72	0.23606932737553699	0.008301621608274596	124.0	1.02940107942605											85	0.31489845369335634	0.006282992844710905	74	0.46494147050860696																															134	-0.5288759609581063	0.0031808785280115397	29.0	0.09224547731233465										
6						219	0.23007603647499605	0.010150655167644932	124.0	1.2586812407879717											159	-0.3097120830723131	0.007247424656547015	74	0.5363094245844792																															155	0.5275250387917685	0.003273874398220132	29.0	0.09494235754838383										
7						240	-0.22762646819550583	0.011005021144936318	124.0	1.3646226219721034											267	-0.3093768876331255	0.007314006531886324	74	0.541236483359588																															73	-0.5255563450654739	0.003413571310588924	29.0	0.0989935680070788										
8						107	-0.22633143051413732	0.01148171457031165	124.0	1.4237326067186447											57	0.30835354904283135	0.0075206137409597	74	0.5565254168310177																															116	0.5241204622071731	0.0035186573493389372	29.0	0.10204106313082918										
