	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	269	-0.14833003019951616	0.033356457454126597	206.0	6.871430235550079	129	-0.2010339529719627	0.0028668411079607412	218.0	0.6249713615354416	289	-0.19462943324934534	0.03885364327798805	113.0	4.39046169041265	237	-0.23842701800108992	0.02528433123301277	88.0	2.2250211485051237	27	-0.21956794724233772	0.01510001210364826	122.0	1.8422014766450876	87	0.12525096242302397	0.039720811973322466	270.0	10.724619232797066	22	-0.18085941192875998	0.03510840375358598	136.0	4.774742910487694	94	0.24237818361895413	0.004468814274552782	136.0	0.6077587413391784	56	-0.29480693660437185	0.014668003938384265	68.0	0.99742426781013	81	-0.16613784273857257	0.039470052239951856	154.0	6.078388044952586	136	-0.3093285819116956	0.01921241399313222	57.0	1.0951075976085365	229	-0.4946294377079782	0.0007472692367033838	43	0.032132577178245504	295	-0.30953404769855136	0.006885507842568208	75.0	0.5164130881926156	54	0.2552256284113014	0.03297607571060909	70.0	2.3083252997426364	292	-0.42843054333059316	0.002381663981131568	48.0	0.11431987109431527	283	-0.4014875333983734	0.020567127388384777	33.0	0.6787152038166976	129	0.45496989721652903	0.008888338315226259	32.0	0.2844268260872403	157	0.2873744210943322	0.02028003398942908	65.0	1.3182022093128902	3	0.427335532395166	0.008338907909090178	37.0	0.30853959263633657
1						201	-0.1897790230856236	0.004930487971409918	218.0	1.074846377767362																					60	0.17593811089687436	0.04047723336424289	136.0	5.504903737537033	109	0.23707167461976883	0.00545401964177192	136.0	0.7417466712809812	7	-0.2909667970939783	0.01607432895376174	68.0	1.0930543688557983						258	0.27030637728174967	0.04199364358740763	57.0	2.393637684482235	143	0.4914295736708015	0.0008184586598877076	43	0.035193722375171425	260	-0.30211996901125154	0.008429667536669346	75.0	0.632225065250201	249	0.25315054352629196	0.03447710155987701	70.0	2.413397109191391	15	0.40204378471458857	0.004616827042752904	48.0	0.2216076980521394	276	0.3842806828224373	0.027246675281085594	33.0	0.8991402842758246	7	-0.4273208722053403	0.014711890118770126	32.0	0.470780483800644	82	0.2701364248800274	0.029533829123360125	65.0	1.9196988930184082	33	0.3967837101333014	0.015038593866194242	37.0	0.556427973049187
2						212	-0.18393490608684265	0.006460823657458413	218.0	1.4084595573259342																					289	0.17454676615175765	0.042114354321786396	136.0	5.727552187762949	193	0.2333639592881206	0.006253089678019408	136.0	0.8504201962106395	212	0.2907729771406009	0.016148278323202023	68.0	1.0980829259777376											140	-0.47923348661599025	0.001148580949903952	43	0.04938898084586993	97	0.2985692278356593	0.009271065174028207	75.0	0.6953298880521155	167	0.2431756844447803	0.042511322341171616	70.0	2.9757925638820133	99	-0.4016967864677141	0.004655584702709062	48.0	0.22346806573003497	41	0.3691132039086234	0.03452137264043932	33.0	1.1392052971344977	96	0.405179425377645	0.02141933603143801	32.0	0.6854187530060163	198	0.2696693598631124	0.02982717168541335	65.0	1.9387661595518677	45	0.3744734849288743	0.022404041844613108	37.0	0.828949548250685
3						225	-0.18271920344230005	0.0068280183346890256	218.0	1.4885079969622075																					104	-0.1709117203935703	0.04665468865375646	136.0	6.345037656910878	169	-0.22290211024569304	0.009097417863223095	136.0	1.237248829398341	14	-0.27145513866538934	0.025142776893494236	68.0	1.709708828757608											106	-0.45417573590324334	0.00221868614826528	43	0.09540350437540704	253	-0.29508576622838045	0.01016691935625325	75.0	0.7625189517189939	158	0.23554823260750543	0.049649790111439815	70.0	3.475485307800787	229	-0.39530468826414883	0.005422278192340434	48.0	0.26026935323234085	202	-0.35696703681492387	0.04142114870497155	33.0	1.3668979072640612	124	-0.3996918353652086	0.02342419578826045	32.0	0.7495742652243343	172	0.26331561965182526	0.034066567048751654	65.0	2.2143268581688575	55	0.3689974778124308	0.024610683666294784	37.0	0.910595295652907
4						101	0.17087217301459642	0.011503982933372485	218.0	2.507868279475202																					117	-0.1704987070112137	0.047195412762854945	136.0	6.418576135748273	89	0.2195922727133955	0.010209295284941845	136.0	1.388464158752091	213	-0.2707173901888016	0.025556981702924957	68.0	1.7378747557988972											211	0.4451087819277432	0.0027822196628735935	43	0.11963544550356452	209	0.29313514955337094	0.010700811009650653	75.0	0.8025608257237989						161	0.3881804684536229	0.006404548639456669	48.0	0.3074183346939201	187	-0.3466476465009962	0.04811886504742744	33.0	1.5879225465651055	190	0.3996485643293612	0.02344059784047494	32.0	0.7500991308951981	118	-0.2578506768774024	0.03810436817933803	65.0	2.4767839316569717					
5						199	0.17056547604377134	0.011655652175145564	218.0	2.540932174181733																					273	0.1694367440108601	0.04860972203951748	136.0	6.610922197374378	121	-0.2171178352447169	0.011117005558162339	136.0	1.511912755910078	249	-0.26913410089131096	0.026465410736786557	68.0	1.7996479301014858											14	0.4409225622400064	0.0030823799333877934	43	0.13254233713567512	163	-0.2918771756461513	0.011057928043605047	75.0	0.8293446032703785						276	0.3617784777489892	0.011516224584350265	48.0	0.5527787800488126						41	-0.37474384954444884	0.034581425778468684	32.0	1.106605624910998	285	-0.25276880075001734	0.042207982133265085	65.0	2.7435188386622307					
6						252	-0.16351239162924866	0.015664550226326013	218.0	3.4148719493390707																										173	-0.2168917824776083	0.011203359947998348	136.0	1.5236569529277753	176	0.26715293748050445	0.027640374599473442	68.0	1.879545472764194											62	-0.4383936296813199	0.0032771662499557373	43	0.14091814874809672	73	0.291261869687523	0.01123634725446124	75.0	0.842726044084593						205	-0.34356411963453914	0.016810971938042787	48.0	0.8069266530260537						123	0.3614552778669122	0.04208741042718798	32.0	1.3467971336700153	167	0.24925701023479804	0.045251742984265146	65.0	2.9413632939772345					
7						125	0.16138498006459528	0.017089564651434547	218.0	3.725525094012731																										85	0.2100006452417934	0.014134405005938032	136.0	1.9222790808075725	192	0.2638150561736912	0.029719318340465293	68.0	2.02091364715164											146	-0.42961346624331975	0.0040397573586691705	43	0.17370956642277433	102	-0.2878694559689547	0.012265670245767595	75.0	0.9199252684325696						230	-0.3347759821989981	0.02002852163090116	48.0	0.9613690382832558						262	-0.3579236889678632	0.04428779398809561	32.0	1.4172094076190596										
8						237	-0.15643622814319857	0.02084837924213116	218.0	4.544946674784593																										73	0.20963389264918267	0.014307617725525475	136.0	1.9458360106714645	132	0.262727577526348	0.03042438137804169	68.0	2.068857933706835											204	-0.4251933519776761	0.0044792506418770165	43	0.1926077776007117	47	-0.2865180527193056	0.012697945036284769	75.0	0.9523458777213577						170	0.3325897640323815	0.020905136291873856	48.0	1.0034465420099452						152	-0.35127619938909294	0.048678868226279676	32.0	1.5577237832409496										
