	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	165	-0.18130269962304024	0.004496117296151448	244.0	1.0970526202609534	16	0.1597806046748817	0.02937315070495324	186.0	5.463406031121303	223	-0.21226002154655313	0.0014672917429242528	222.0	0.32573876692918413	138	-0.12452696787447516	0.04126738579283035	269.0	11.100926778271363	103	-0.21001928015513335	0.00026116001691130523	298	0.07782568503956896	16	-0.19182081954768992	0.0252755412081009	136.0	3.437473604301722	266	-0.1752770735292962	0.0006404066966760494	376.0	0.24079291795019456	221	-0.1969153649080589	0.013744780732782303	156.0	2.144185794314039	236	-0.11862290717961795	0.014065406590882805	428.0	6.01999402089784	6	-0.17808412454232347	0.018382228967608667	175.0	3.2168900693315168	117	-0.2793939536470784	0.0021843846250696147	118.0	0.25775738575821455	229	0.14642251320306776	0.03758422045472655	202.0	7.592012531854763	72	0.18480144979064506	0.00783255822372775	206.0	1.6135069940879165	84	0.14007748692186223	0.014511901108191798	304.0	4.411617936890306	255	-0.21932466035533207	0.023221202553084616	107.0	2.484668673180054	27	0.1556752998505249	0.009587951716079651	276.0	2.6462746736379836	74	-0.18220637963682007	0.010998007107510569	194.0	2.13361337885705	83	0.20087831811872145	0.019029329674518692	136.0	2.587988835734542	212	0.17320985685428625	0.0478770743406695	131.0	6.271896738627705	163	0.2612606341564332	0.009000671548195085	99.0	0.8910664832713134
1	143	-0.1790920838472219	0.005018199823863165	244.0	1.2244407570226123						30	0.20413055639033742	0.0022389565372107957	222.0	0.49704835126079666						38	0.20512059055488108	0.00036521994673148034	298	0.10883554412598113	117	-0.18079059738828457	0.0351791119147	136.0	4.7843592203992005	141	0.17276322505078137	0.0007677154301853988	376.0	0.28866100174970993	241	0.1922625055999614	0.016193622505122095	156.0	2.526205110799047	52	0.11164453144095246	0.020877533769140186	428.0	8.935584453192	40	0.1642972094695085	0.029806062217754087	175.0	5.216060888106965	275	0.26225885321719805	0.004118649666394519	118.0	0.4860006606345532	245	0.14018165158058962	0.04660992941457861	202.0	9.41520574174488	7	-0.16090335425965158	0.020864926833531812	206.0	4.298174927707553	6	-0.13326736274149814	0.02010402463221819	304.0	6.111623488194329	34	-0.19340786236434337	0.045932097334078596	107.0	4.91473441474641	134	-0.119493082604451	0.04733727428308032	276.0	13.06508770213017	229	0.1544627340046987	0.03152073468974705	194.0	6.115022529810928	132	0.18996249285322267	0.026754129747679736	136.0	3.638561645684444						9	0.2566705199750993	0.0103318372054103	99.0	1.0228518833356197
2	149	-0.17456809813650548	0.0062596325941610955	244.0	1.5273503529753074						21	0.2022353804489867	0.0024652494995977985	222.0	0.5472853889107113						183	0.20283983001860476	0.00042582212907245624	298	0.12689499446359195	160	0.18070904417398012	0.03526306486436233	136.0	4.795776821553277	186	-0.1695132209170243	0.0009670136301060938	376.0	0.36359712491989127	180	-0.19130352660385902	0.016743074077131652	156.0	2.6119195560325377	144	0.10405617357611675	0.03137523590719781	428.0	13.428600968280664	14	-0.15416864141484593	0.04164616852132087	175.0	7.288079491231152	75	0.2619505135921327	0.0041644007614655585	118.0	0.4913992898529359	41	-0.13817938649690417	0.049864058910777276	202.0	10.07253989997701	234	-0.1605624907809933	0.021140785571104197	206.0	4.355001827647465	159	0.1304237239046532	0.022943733916105314	304.0	6.974895110496015	276	-0.1920146257850168	0.047550526218325034	107.0	5.087906305360779						6	0.14896378544839206	0.038172530120691765	194.0	7.405470843414203	31	-0.18205140636175668	0.033902515094216316	136.0	4.610742052813419						138	0.23152435618712117	0.021121499758999965	99.0	2.0910284761409965
3	93	0.1686096259018135	0.00831108223552525	244.0	2.027904065468161						87	0.19419811202971068	0.0036741998487117033	222.0	0.8156723664139981						172	-0.19838657753157224	0.0005719267767558735	298	0.17043417947325032						146	0.16942964419291145	0.0009727177842067286	376.0	0.36574188686173	209	-0.19035149000538762	0.01730450811704416	156.0	2.6995032662588887	164	0.09794048876627613	0.04285154784507932	428.0	18.34046247769395	240	0.15189194728242525	0.044792287873043894	175.0	7.838650377782682	169	0.2545881700514979	0.005400971367949345	118.0	0.6373146214180226						107	0.1599819688451597	0.021617860656343534	206.0	4.453279295206768	18	-0.12370482120486828	0.031062554834265357	304.0	9.443016669616668	56	-0.19009016720747243	0.049863493020666345	107.0	5.335393753211299						39	-0.1475541895942161	0.04005681500888932	194.0	7.771022111724529	208	0.17790936258637813	0.0382493661038329	136.0	5.201913790121274						30	-0.21881501897177977	0.02955724372476669	99.0	2.9261671287519024
4	48	-0.15951850627624808	0.012597130006998667	244.0	3.073699721707675						264	-0.1940574556497021	0.0036994561309944955	222.0	0.821279261080778						269	-0.1969413035555488	0.0006285394855693709	298	0.18730476669967253						182	-0.16826976278645694	0.0010551511014338768	376.0	0.39673681413913764	204	0.18912577011545068	0.018051361474478243	156.0	2.816012390018606	67	-0.09643055690371997	0.04617554289342013	428.0	19.763132358383814						228	0.2528050012377575	0.005745814221980042	118.0	0.678006078193645						192	-0.1590309536585803	0.02241951559020277	206.0	4.61842021158177	215	0.1237017384746947	0.03106678098256909	304.0	9.444301418701004											263	-0.14701853030160786	0.04079309985426944	194.0	7.913861371728271	214	-0.1768550981552898	0.03942769845462521	136.0	5.362166989829029						181	-0.2163277683697248	0.03150518796862114	99.0	3.1190136088934928
5	1	-0.15933773312462718	0.012699171351254828	244.0	3.098597809706178						182	0.19372422533093386	0.003759917738292179	222.0	0.8347017379008637						254	-0.19639252338574018	0.0006513623054837593	298	0.19410596703416028						177	0.16713732077682214	0.0011418008953442127	376.0	0.429317136649424	23	-0.1879741309224634	0.01877838824564442	156.0	2.9294285663205297	257	-0.09506016357846898	0.04937708585953162	428.0	21.133392747879533						89	-0.24829274639022744	0.006707482300308334	118.0	0.7914829114363834						138	0.1572397323457803	0.023999245002594392	206.0	4.943844470534445	117	0.12144366146148196	0.034297247624483045	304.0	10.426363277842846																283	0.17587179836683883	0.04055403074165941	136.0	5.51534818086568						55	0.210433557546258	0.03655793351109574	99.0	3.6192354175984787
6	200	-0.15931115360801815	0.012714235886076055	244.0	3.1022735562025576						49	-0.19103470937572503	0.004281507377184135	222.0	0.950494637734878						130	0.19454781971380228	0.0007338210603985729	298	0.21867867599877472						173	-0.1669026157741493	0.0011605597717936193	376.0	0.43637047419440084	24	-0.18663672613449636	0.01965439351465447	156.0	3.0660853882860977											223	-0.24649189329340992	0.007129512806053654	118.0	0.8412825111143312						295	-0.1565749016604979	0.024609488800691217	206.0	5.069554692942391	104	-0.12005088509958664	0.03642888853180988	304.0	11.074382113670204																51	0.17338415942661126	0.043524480477588876	136.0	5.919329344952087						251	-0.20692123285146807	0.039880025523151084	99.0	3.9481225267919573
7	9	0.15751728018170252	0.013767983677252677	244.0	3.3593880172496533						82	0.19043540339350756	0.004406261981309702	222.0	0.9781901598507537						293	-0.1941803847682307	0.0007513563687252526	298	0.22390419788012528						164	-0.16616582864207777	0.0012213062621559347	376.0	0.45921115457063144	67	0.18439226782686213	0.021204018552970924	156.0	3.307826894263464											81	-0.24362906341658416	0.007848942023547288	118.0	0.92617515877858						33	0.15027107750909272	0.031089227585082167	206.0	6.404380882526927	61	0.11942393086432827	0.037424505099975976	304.0	11.377049550392696																152	0.17105128407400677	0.046473138908114525	136.0	6.320346891503576						232	-0.2065203818714569	0.04027471136688245	99.0	3.987196425321363
8	285	0.1574804174793301	0.01379041809390981	244.0	3.3648620149139936						226	-0.19000304271075175	0.004498286096861408	222.0	0.9986195135032326						100	-0.19360692118177286	0.0007794991836807729	298	0.2322907567368703						158	0.1645266763430514	0.0013670826898537602	376.0	0.5140230913850138	258	-0.18405468677891898	0.021445979298031437	156.0	3.345572770492904											176	0.2433470068863318	0.007923182848112859	118.0	0.9349355760773173						273	0.14988170268620105	0.03153320161811537	206.0	6.495839533331766	284	0.11912062251628465	0.037914376577238854	304.0	11.52597047948061																127	-0.17057733245188772	0.047092075269533844	136.0	6.404522236656603						157	0.19763750964067825	0.049892866321149386	99.0	4.939393765793789
