	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17	Dim.18	Pearson C.18	P-value.18	Occ.18	P-Bonferroni.18
0	0	199_уют-неуют	0.2311381338584114	0.0005821631709568934	218.0	0.12691157126860275	151_забытье-сознание	0.1917374549045385	0.019993172505295437	147.0	2.9389963582784286	5_польза-вред	0.23552225806388094	0.02717615237323561	88.0	2.391501408844734	218_трусость-мужество	0.1885190769778888	0.010596778114169937	183.0	1.939210394893098	191_техническое_взаимодействие-животные_взаимоотношения	-0.16071170197666226	0.008151476558907673	270.0	2.200898670905072	78_популярность-безвестность	-0.2385068173326844	0.005170064322086482	136.0	0.7031287478037616	213_обозрение-сокрытие	0.18861969673808004	0.027867948948741426	136.0	3.7900410570288336	56_протест-мир	-0.30793523956147245	0.010630238388046987	68.0	0.7228562103871953	83_речь-текст	-0.2249686902216881	0.005030211229768369	154.0	0.7746525293843288	143_неважность-значимость	0.3973093806616595	0.002211832175651073	57.0	0.12607443401211116	217_завоевание-бегство	-0.3915365779061067	0.009420769203904616	43.0	0.4050930757678985	236_умственный_труд-физический_труд	-0.39037569192145793	0.0005353106330728492	75	0.040148297480463696	229_закрытие-открытие	-0.4252236413966424	0.00024310726595613526	70.0	0.017017508616929466	214_спешка-неторопливость	0.38280651935787424	0.00724459806183504	48.0	0.3477407069680819	42_деструктивная_коммуникация-конструктивная_коммуникация	0.5046877582938177	0.00274263128577481	33.0	0.09050683243056874	129_успех-беда	0.41663320374074414	0.017689163583215067	32.0	0.5660532346628823	63_мир-война	0.26604135742274715	0.006086228146483914	105.0	0.6390539553808109	235_процесс-итог	0.2909830371019062	0.018693170304273168	65.0	1.215056069777756	177_изыскание-решение	0.4084784666393448	0.01207430355780264	37.0	0.4467492316386977
1	1	161_холодное_отношение-тёплое_отношение	-0.18095029332032406	0.007395577854405831	218.0	1.612235972260471	72_недостаток-достоинство	-0.1654229196862473	0.0452480024352905	147.0	6.651456357987704	160_победа-поражение	-0.23055058620178856	0.03069259648764968	88.0	2.700948490913172	236_умственный_труд-физический_труд	0.18769572782445365	0.010947921438328342	183.0	2.0034696232140865	145_высказывание-умалчивание	-0.14800686940898353	0.014927276379748004	270.0	4.030364622531962	17_полемика-консенсус	0.19629866822415135	0.021997134805603183	136.0	2.991610333562033						204_столкновение-мир	0.2487564434568801	0.04080136327157042	68.0	2.7744927024667887	14_изобилие-недостаток	0.21372960756858653	0.007778588935500302	154.0	1.1979026960670467	258_конец-начало	0.3393399781767156	0.009813847095884608	57.0	0.5593892844654227	201_вирус-растение	0.3766846174821448	0.012782689074331279	43.0	0.549655630196245	202_отставание-лидерство	-0.36170565563409857	0.001429889802925102	75	0.10724173521938266	139_свобода-неволя	0.3440222795012405	0.0035450209821217982	70.0	0.2481514687485259	133_торможение-развитие	0.33605377125869945	0.01953067620036221	48.0	0.9374724576173858	226_человек-транспорт	0.485709644993966	0.004163963488330603	33.0	0.1374107951149099	229_закрытие-открытие	-0.3572903685815817	0.044691954962779626	32.0	1.430142558808948	15_древняя_работа-современная_работа	0.2602746546229938	0.007329786359473666	105.0	0.7696275677447348	261_болезнь-здоровье	-0.28758005654194685	0.02018662182527644	65.0	1.3121304186429683	176_животное-человек	0.4080851296260978	0.012165276441403215	37.0	0.45011522833191897
2	2	298_очевидный-скрытый	-0.1773262805128334	0.008691228640604644	218.0	1.894687843651812	180_потребление-вывод	0.1634553290711974	0.04790642723828741	147.0	7.0422448040282495	198_обучение-достижение	-0.2303752566592086	0.030823304296295883	88.0	2.7124507780740377	56_протест-мир	-0.1766587191146411	0.016744717484764332	183.0	3.0642832997118727	99_благоразумие-безолаберность	-0.14300217357885653	0.018725097524067168	270.0	5.0557763314981345	176_животное-человек	-0.17843793776001945	0.03766981803193152	136.0	5.123095252342687						245_любовь-ненависть	-0.2397738775274367	0.048907150267283914	68.0	3.325686218175305	279_соблюдение_закона-правонарушение	-0.16952921283446676	0.035561958890520086	154.0	5.476541669140094	136_апатия-взбудораженность	-0.3080868377797818	0.019727112169743717	57.0	1.1244453936753922	13_личные_отношения-иерархические_отношения	0.3756807472704414	0.013042806505732087	43.0	0.5608406797464798	51_творческая_реализация - эмоциональное_переживание	0.35994202486985505	0.0015146247746469605	75	0.11359685809852202	78_популярность-безвестность	0.33589080466235044	0.004472515423236673	70.0	0.3130760796265671	131_процесс-завершение	-0.3298713112049296	0.02204004724091905	48.0	1.0579222675641144	218_трусость-мужество	0.4576078730817395	0.0074139938594756545	33.0	0.24466179736269664						34_духовное_наслаждение-физическое_наслаждение	0.259190895547397	0.007587082042756777	105.0	0.7966436144894615	198_обучение-достижение	0.26445768616055937	0.033269500270862166	65.0	2.162517517606041	5_польза-вред	0.3667818578177539	0.025553237253157158	37.0	0.945469778366815
3	3	129_успех-беда	-0.15530750869008805	0.021799652296645083	218.0	4.7523242006686255						76_мир-война	0.2260647828213468	0.03418751257641915	88.0	3.008501106724885	144_физический_труд-искусство	-0.1721730138505445	0.019775235661950604	183.0	3.61886812613696	197_проблема-решение_проблем	0.13547763566383333	0.026009533606347283	270.0	7.0225740737137645	184_правонарушение-соблюдение_закона	-0.17578917569063726	0.04064988795707045	136.0	5.528384762161582																233_неопределенная_тема-часть_целого	-0.2853876146222331	0.03140793918444343	57.0	1.7902525335132755	206_расслабление-напряжение	0.3752167236238128	0.013164556481314638	43.0	0.5660759286965295	97_активность-пассивность	0.3468787034163672	0.00229705903266217	75	0.17227942744966274	76_мир-война	-0.33241339305366785	0.004930784989115928	70.0	0.3451549492381149	71_изобилие-недостаток	0.3251291828582	0.024143833347441992	48.0	1.1589040006772156	188_страх-надёжность	-0.4473507312878744	0.009046897736232335	33.0	0.2985476252956671						46_идея-реализация	-0.2530808234684705	0.0091924043562582	105.0	0.9652024574071112	288_радость-недовольство	-0.24905077065480605	0.04543596817342736	65.0	2.9533379312727788	42_деструктивная_коммуникация-конструктивная_коммуникация	0.33920196635832783	0.039994728157416747	37.0	1.4798049418244197
4	4	249_порыв-покой	-0.14989415234306247	0.026900785464656143	218.0	5.864371231295039						148_усталость-бодрость	-0.2220054030402614	0.03763247353112546	88.0	3.3116576707390406	76_мир-война	0.16762690174034725	0.02332008842004309	183.0	4.267576180867885	26_ненависть-дружба	0.12465322989558847	0.040682809412865735	270.0	10.984358541473748	289_недовольство-радость	0.16847882228606698	0.0499154866254203	136.0	6.788506181057161																251_недостаток-достоинство	0.2684308009548182	0.043494621712678413	57.0	2.479193437622669	76_мир-война	0.3664851787274717	0.015642460809453054	43.0	0.6726258148064813	251_недостаток-достоинство	-0.34103291932063823	0.0027522147615184622	75	0.20641610711388464	192_производство-наука	0.32736719500570965	0.0056695930863110856	70.0	0.3968715160417761	98_разрушение-поддержание	0.3219899625818458	0.025627109462169482	48.0	1.230101254184135	172_наука-быт	0.4456014343645536	0.009353789368000836	33.0	0.3086750491440276						276_начало-конец	-0.23547124601727146	0.01560247630819202	105.0	1.6382600123601618						296_равенство-иерархия	-0.33396097049199913	0.04337351692810449	37.0	1.6048201263398658
5	5	168_работа-праздность	-0.14908392039162366	0.027746165269175737	218.0	6.048664028680311						21_получение_результата-разработка	-0.2218156663308542	0.037800343902006366	88.0	3.326430263376561	140_шум-тишина	0.15606393398152466	0.03488664608587761	183.0	6.384256233715602	70_единство-разрозренность	0.12211761263662417	0.04498477266249478	270.0	12.145888618873588																					240_осторожность-риск	-0.26672385498573753	0.044898684300356935	57.0	2.5592250051203456	238_дистанция-близость	0.3660662468438121	0.015770659283103356	43.0	0.6781383491734443	167_дополнение-устранение	0.3359575687955906	0.003211089953269885	75	0.24083174649524136	158_конец-начало	0.32726052303981795	0.0056862115132207715	70.0	0.398034805925454	31_интеллект-культура	0.3213116128847102	0.025957444808276286	48.0	1.2459573507972617	84_последовательность-разлад	0.4303319138203563	0.012427552722103713	33.0	0.4101092398294225						290_статистика-отсутствие_системы	0.2314528427018395	0.017518087804019616	105.0	1.83939921942206										
6	6	252_современность-древность	-0.14521116010114718	0.03210805577254166	218.0	6.999556158414083						149_нищета-состояние	-0.22015163184790715	0.0392995904366036	88.0	3.4583639584211165	139_свобода-неволя	-0.15535666926826094	0.035729475370764714	183.0	6.538493992849943																															61_единство-разрозренность	-0.3653113479596544	0.016003914084413297	43.0	0.6881683056297717	184_правонарушение-соблюдение_закона	-0.3327185598177796	0.003538497529407828	75	0.2653873147055871	128_неловкость-ловкость	-0.31435595967001984	0.008042384893245167	70.0	0.5629669425271616	99_благоразумие-безолаберность	-0.315265678898223	0.029061904668244976	48.0	1.3949714240757591	24_активность-пассивность	-0.4279667417637596	0.0129723087471034	33.0	0.4280861886544122						52_близость-расстояние	0.2278365584219775	0.019412402671060532	105.0	2.0383022804613558										
7	7	201_вирус-растение	-0.14315840349797193	0.034647919896928614	218.0	7.553246537530438						156_физический_труд-умственный_труд	0.21632479618937756	0.04293638409160736	88.0	3.7784018000614483	18_уменьшение-расширение	-0.14775489118933524	0.04592689627137532	183.0	8.404622017661682																															173_отдых-работа	0.3532350877894879	0.02015105714947114	43.0	0.8664954574272591	47_журналистика-литература	-0.3303669902728122	0.0037945049204573603	75	0.284587869034302	198_обучение-достижение	0.30909138077020804	0.009225831433443979	70.0	0.6458082003410787	190_погода-животное	0.2957142814755284	0.04128540561430974	48.0	1.9816994694868677	152_исчезнование-появление	0.4258823198185259	0.013468906441385046	33.0	0.4444739125657065						72_недостаток-достоинство	-0.2262352624802907	0.020305987243685014	105.0	2.1321286605869267										
8	8	64_человеческое_взаимодействие-механическое_взаимодействие	0.13623151117657287	0.04451092980121497	218.0	9.703382696664864						147_рассудительность-беспокойство	0.21241029166028252	0.04694133779107735	88.0	4.130837725614806																																				180_потребление-вывод	-0.352569252028789	0.020403789783639745	43.0	0.8773629606965091	174_праздник-быт	-0.3264714339696346	0.004255005579007471	75	0.3191254184255603	176_животное-человек	-0.30526677408439296	0.010178287019970814	70.0	0.7124800913979571	96_наука-быт	-0.2956790324302218	0.041310750723499164	48.0	1.9829160347279595	293_соблюдение_закона-правонарушение	0.4256443086204543	0.013526612721678013	33.0	0.4463782198153744						32_разруха-реализация	0.22536626997477766	0.020805555097331258	105.0	2.184583285219782										
