	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	46	-0.20108141073895028	0.0028601197696985843	218.0	0.6235061097942913	151	-0.1655307617417395	0.045855576243996304	147.0	6.740769707867456	202	0.18243528466285777	0.01508305303323462	177.0	2.669700386882528	95	-0.35009934332207704	0.0008265360973294012	88.0	0.0727351765649873	151	-0.17611250364589195	0.017400410925260512	183.0	3.184275199322674	52	0.1870796081719414	0.03907999536325968	122.0	4.76775943431768	92	-0.12645703933927918	0.03819842039084624	270.0	10.313573505528485	78	0.23547328772196582	0.005786588586292912	136.0	0.7869760477358361	283	0.21205664583509334	0.013544861869699708	136.0	1.8421012142791604	280	0.27421016806511134	0.023645807938786696	68.0	1.6079149398374952	54	0.27999596163380724	0.02074660200168648	69.0	1.4315155381163671	70	-0.17904639224769162	0.026297490889944833	154.0	4.049813597051505	249	0.28453990874765844	0.03193723320112006	57.0	1.8204222924638434	80	-0.3447595291465076	0.003237157998679122	71.0	0.22983821790621767	40	0.4575913259118411	0.002034099121771323	43	0.0874662622361669	51	-0.34723366934277816	0.0022717318729991347	75.0	0.1703798904749351	292	0.3356285460548527	0.019695176882247863	48.0	0.9453684903478974	217	-0.46737198719953826	0.0069955526557573785	32.0	0.2238576849842361	21	-0.2921784753500213	0.002615952787370847	105.0	0.27467504267393894	120	-0.32567794420207086	0.008112521782251735	65.0	0.5273139158463628	60	0.3943787126444012	0.01571864589115947	37.0	0.5815898979729004
1	266	0.1817519392791208	0.007133357405976081	218.0	1.5550719145027856						7	0.1783251589930237	0.017562329700751004	177.0	3.1085323570329275	20	0.3205143586814142	0.002331076571427224	88.0	0.20513473828559572	96	-0.16540221516299422	0.02565358012822996	183.0	4.694605163466083	245	0.18150048333416466	0.045419281132263484	122.0	5.541152298136145	145	0.12461900276852227	0.04111646555052549	270.0	11.101445698641882	176	0.1759840516730029	0.04042410029000743	136.0	5.497677639441011	213	-0.2030608772718151	0.018172777216449696	136.0	2.471497701437159	32	0.27104063527411953	0.025374793057706065	68.0	1.7254859279240125	176	-0.26785434171305195	0.02721946609896422	69.0	1.8781431608285313	161	0.17711544335534937	0.02798899250306396	154.0	4.310304845471849	166	-0.2831220789923519	0.03283911231082675	57.0	1.8718294017171246	147	0.3114384393596817	0.008199388805899311	71.0	0.582156605218851	212	-0.432668375399407	0.0037584759729149017	43	0.16161446683534078	167	-0.3393843654892439	0.0028943837517512324	75.0	0.21707878138134243	263	-0.2979999439683575	0.03966892433387264	48.0	1.9041083680258866	194	-0.3853716676991427	0.029393044300889355	32.0	0.9405774176284594	300	0.2819856567387141	0.003731159254755274	105.0	0.3917717217493038	235	-0.2557302819571131	0.03977442811802126	65.0	2.585337827671382	95	0.34796000881753686	0.03482716870229334	37.0	1.2886052419848535
2	64	-0.18047775658703832	0.007554137001633869	218.0	1.6468018663561834						296	-0.1701897043455371	0.023529127678737858	177.0	4.1646555991366006	101	0.31556339561582225	0.0027458841143167003	88.0	0.24163780205986962	166	0.16535075026511448	0.0257002079886564	183.0	4.703138061924121											84	-0.17244174464623313	0.04469627917459702	136.0	6.078693967745195	123	-0.18833059936119512	0.028708296669963208	136.0	3.9043283471149963	157	-0.2662985807622258	0.028160464813603098	68.0	1.9149116073250108	252	0.26754493526054307	0.02740446814706366	69.0	1.8909083021473927	81	0.16670561321553645	0.038791673427512684	154.0	5.973917707836954	42	-0.27905897175402533	0.03554179748425532	57.0	2.0258824566025533	290	0.2742739002402729	0.020633165198414766	71.0	1.4649547290874483	118	-0.40860192756071595	0.006522325008042757	43	0.28045997534583855	236	0.31419136338204634	0.006048070985596875	75.0	0.4536053239197656	114	0.2885804220660881	0.04668076748572127	48.0	2.240676839314621	7	0.37157033334176265	0.03626699712481552	32.0	1.1605439079940967	84	0.2745827362683647	0.004790502723309072	105.0	0.5030027859474525						22	-0.34232381143331075	0.03808575929943658	37.0	1.4091730940791536
3	65	0.16612320011583148	0.014058458775371232	218.0	3.0647440130309285						72	0.1686830973778556	0.02480733168115832	177.0	4.390897707565022	294	-0.2993033670918651	0.004613984445896525	88.0	0.4060306312388942	189	-0.16077612867905125	0.030145813207265042	183.0	5.516683816929503											289	-0.17098498141453491	0.046559314479322565	136.0	6.332066769187869	129	0.1732102984694444	0.044535067451299926	136.0	6.056769173376789	217	-0.24506837378439553	0.04398353003971469	68.0	2.990880042700599	241	-0.26641394997723306	0.02808975612845849	69.0	1.938193172863636						88	-0.2783994238847032	0.035997450240263164	57.0	2.0518546636950004	98	0.265959373424106	0.02497579129609849	71.0	1.7732811820229928	257	0.40641622967882174	0.006843980992537745	43	0.294291182679123	184	0.3140148210551252	0.00607809697887851	75.0	0.4558572734158883	221	0.2862269373794496	0.048581699954086406	48.0	2.3319215977961476	284	-0.36358649091857453	0.040802583330054494	32.0	1.3056826665617438	276	0.2721257558795022	0.005197187652049119	105.0	0.5457047034651575										
4	298	0.15817391940721157	0.019454129165670287	218.0	4.2410001581161225						91	-0.16610980137646308	0.027128520262983836	177.0	4.801748086548139	76	-0.2958204754738124	0.005137495079412671	88.0	0.452099566988315	193	0.1550358704728054	0.03663664696771877	183.0	6.704506395092535																205	0.17147774839406196	0.04674322386030381	136.0	6.357078445001318						244	-0.2564547520534196	0.034770870340432976	69.0	2.399190053489875						34	-0.27229627170540416	0.040448045026285434	57.0	2.30553856649827	140	-0.25630845911405425	0.030963587060731337	71.0	2.1984146813119247	3	0.4033361511598797	0.007320500687855834	43	0.31478152957780087	97	-0.30376344807119465	0.008063406092157131	75.0	0.6047554569117849						287	-0.3525010909218897	0.04784470719153156	32.0	1.53103063012901	32	-0.26981867552843514	0.005606745837061	105.0	0.588708312891405										
5	161	0.15488538060542734	0.022164933802710958	218.0	4.831955568990989						54	0.16186827307225737	0.0313599897353838	177.0	5.550718183162933	220	0.2914237410973868	0.005873267978757195	88.0	0.5168475821306331	148	-0.15441695017328325	0.03740226390517242	183.0	6.844614294646553																										239	0.2552504320202863	0.03566199697589954	69.0	2.4606777913370683						119	-0.26542087068471093	0.04599529786046326	57.0	2.6217319780464057						100	-0.40193834363981307	0.007546038836181704	43	0.3244796699558133	165	-0.2946412521296244	0.010286497355236141	75.0	0.7714873016427106						78	-0.3522376617057793	0.0480231356590901	32.0	1.5367403410908833	11	-0.25975840995478733	0.007747424319746805	105.0	0.8134795535734145										
6	98	0.14410676776253417	0.03345408612984653	218.0	7.292990776306544						222	-0.16044032599055405	0.03290543497691627	177.0	5.824261990914179	121	-0.28506316005531723	0.00710265931569425	88.0	0.625034019781094	35	0.15405755751252984	0.03785300546502891	183.0	6.927100000100291																										257	0.25395992338861906	0.03663794134683631	69.0	2.5280179529317053						221	0.2608886776823878	0.049981738452084264	57.0	2.848959091768803						180	0.39907662503847374	0.008026548590575699	43	0.3451415893947551	271	-0.2944136353854965	0.010348201314379402	75.0	0.7761150985784552											63	-0.2562359628570925	0.008651959176996338	105.0	0.9084557135846155										
7	249	0.13686185660836872	0.043525456826051065	218.0	9.488549588079133						71	-0.16030500373951517	0.033055189228454386	177.0	5.850768493436426	9	-0.2816525330915466	0.007851146720613019	88.0	0.6909009114139456	56	0.14909846953389583	0.04455492436820316	183.0	8.153551159381179																										196	-0.25070854794162734	0.03919572698847237	69.0	2.7045051622045935																61	0.3905107456247717	0.009625647855395849	43	0.4139028577820215	248	-0.2934996718609135	0.010599224234452784	75.0	0.7949418175839589											109	0.23854171505466118	0.01474556070294364	105.0	1.5482838738090823										
8	232	0.13608196121997523	0.044747458096943506	218.0	9.754945865133685						80	-0.1566606698315201	0.037311177227947585	177.0	6.604078369346722	279	-0.275945374642366	0.0092595467590881	88.0	0.8148401147997528	268	0.1483668845496718	0.04562300158350145	183.0	8.349009289780765																										182	0.24941780358090768	0.040251392293725076	69.0	2.7773460682670303																245	0.39033591760034253	0.009660943024891138	43	0.4154205500703189	202	0.2907883580259288	0.011375349989466236	75.0	0.8531512492099678											46	0.23490125460441227	0.016383137183473843	105.0	1.7202294042647535										
