	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17	Dim.18	Pearson C.18	P-value.18	Occ.18	P-Bonferroni.18	Dim.19	Pearson C.19	P-value.19	Occ.19	P-Bonferroni.19	Dim.20	Pearson C.20	P-value.20	Occ.20	P-Bonferroni.20
0	0	46_идея-реализация	-0.20108141073895028	0.0028601197696985843	218.0	0.6235061097942913	151_забытье-сознание	-0.1655307617417395	0.045855576243996304	147.0	6.7407697078674556	202_отставание-лидерство	0.18243528466285774	0.015083053033234619	177.0	2.6697003868825284	95_доброта-злость	-0.35009934332207704	0.0008265360973294013	88.0	0.0727351765649873	151_забытье-сознание	-0.17611250364589195	0.017400410925260512	183.0	3.184275199322674	52_близость-расстояние	0.1870796081719414	0.03907999536325968	122.0	4.7677594343176795	92_жизнь-смерть	-0.12645703933927918	0.038198420390846234	270.0	10.313573505528485	78_популярность-безвестность	0.23547328772196585	0.005786588586292911	136.0	0.7869760477358361	283_героизм-малодушие	0.21205664583509332	0.013544861869699708	136.0	1.8421012142791604	280_радость-недовольство	0.2742101680651113	0.023645807938786696	68.0	1.6079149398374952	54_реальность-когнитивные_процессы	0.27999596163380724	0.02074660200168648	69.0	1.4315155381163671	70_единство-разрозренность	-0.17904639224769162	0.026297490889944836	154.0	4.049813597051505	249_порыв-покой	0.28453990874765844	0.03193723320112006	57.0	1.8204222924638436	80_сон-бодрствование	-0.3447595291465076	0.0032371579986791217	71.0	0.2298382179062177	40_уклад_жизни-дисциплина	0.4575913259118411	0.002034099121771323	43	0.0874662622361669	51_творческая_реализация - эмоциональное_переживание	-0.34723366934277816	0.002271731872999135	75.0	0.1703798904749351	292_экстрим-повседневность	0.3356285460548527	0.019695176882247863	48.0	0.9453684903478974	217_завоевание-бегство	-0.4673719871995383	0.0069955526557573785	32.0	0.2238576849842361	21_получение_результата-разработка	-0.2921784753500213	0.002615952787370847	105.0	0.2746750426739389	120_усталость-покой	-0.3256779442020709	0.008112521782251735	65.0	0.5273139158463628	60_восстание-смирение	0.3943787126444012	0.01571864589115947	37.0	0.5815898979729004
1	1	266_мир-война	0.1817519392791208	0.007133357405976082	218.0	1.5550719145027856						7_чужбина-родной_дом	0.1783251589930237	0.017562329700751004	177.0	3.1085323570329275	20_покой-беспокойство	0.3205143586814142	0.0023310765714272237	88.0	0.20513473828559567	96_наука-быт	-0.16540221516299422	0.02565358012822996	183.0	4.694605163466083	245_любовь-ненависть	0.18150048333416466	0.04541928113226349	122.0	5.5411522981361445	145_высказывание-умалчивание	0.12461900276852228	0.041116465550525484	270.0	11.101445698641882	176_животное-человек	0.1759840516730029	0.04042410029000743	136.0	5.4976776394410125	213_обозрение-сокрытие	-0.2030608772718151	0.018172777216449696	136.0	2.4714977014371593	32_разруха-реализация	0.27104063527411953	0.025374793057706062	68.0	1.7254859279240125	176_животное-человек	-0.26785434171305195	0.02721946609896422	69.0	1.8781431608285315	161_холодное_отношение-тёплое_отношение	0.17711544335534934	0.02798899250306396	154.0	4.3103048454718484	166_порядочность-мошенничество	-0.2831220789923519	0.03283911231082675	57.0	1.8718294017171249	147_рассудительность-беспокойство	0.3114384393596817	0.008199388805899311	71.0	0.582156605218851	212_наука-быт	-0.43266837539940706	0.0037584759729149017	43	0.16161446683534078	167_дополнение-устранение	-0.3393843654892439	0.0028943837517512324	75.0	0.21707878138134246	263_влияние-зависимость	-0.2979999439683575	0.03966892433387264	48.0	1.9041083680258863	194_контроль-бесконтрольность	-0.3853716676991427	0.029393044300889355	32.0	0.9405774176284594	300_беспокойство-спокойствие	0.2819856567387141	0.003731159254755274	105.0	0.3917717217493038	235_процесс-итог	-0.2557302819571131	0.03977442811802126	65.0	2.5853378276713816	95_доброта-злость	0.3479600088175369	0.03482716870229334	37.0	1.2886052419848537
2	2	64_человеческое_взаимодействие-механическое_взаимодействие	-0.18047775658703832	0.007554137001633869	218.0	1.6468018663561834						296_равенство-иерархия	-0.1701897043455371	0.023529127678737858	177.0	4.1646555991366006	101_фиксация-пересмотр	0.31556339561582225	0.0027458841143167003	88.0	0.2416378020598696	166_порядочность-мошенничество	0.16535075026511448	0.0257002079886564	183.0	4.703138061924121											84_последовательность-разлад	-0.17244174464623313	0.044696279174597016	136.0	6.078693967745195	123_отдых-работа	-0.18833059936119512	0.028708296669963208	136.0	3.904328347114996	157_отсутствие_чувств-чувства	-0.2662985807622258	0.028160464813603094	68.0	1.9149116073250108	252_современность-древность	0.2675449352605431	0.027404468147063658	69.0	1.8909083021473927	81_религия-наука	0.16670561321553645	0.03879167342751269	154.0	5.9739177078369545	42_деструктивная_коммуникация-конструктивная_коммуникация	-0.2790589717540253	0.035541797484255316	57.0	2.0258824566025533	290_статистика-отсутствие_системы	0.2742739002402729	0.02063316519841477	71.0	1.4649547290874485	118_покой-беспокойство	-0.408601927560716	0.006522325008042757	43	0.2804599753458385	236_умственный_труд-физический_труд	0.31419136338204634	0.006048070985596875	75.0	0.4536053239197656	114_церковь-мирская_жизнь	0.2885804220660881	0.04668076748572127	48.0	2.240676839314621	7_чужбина-родной_дом	0.37157033334176265	0.03626699712481552	32.0	1.160543907994097	84_последовательность-разлад	0.2745827362683647	0.004790502723309072	105.0	0.5030027859474525						22_деятельность_наверху-деятельность_в_земле	-0.34232381143331075	0.03808575929943658	37.0	1.4091730940791536
3	3	65_серьёзность-веселье	0.16612320011583148	0.014058458775371232	218.0	3.0647440130309285						72_недостаток-достоинство	0.1686830973778556	0.02480733168115832	177.0	4.390897707565022	294_испытание-безмятежность	-0.2993033670918651	0.004613984445896525	88.0	0.4060306312388942	189_наука-религия	-0.16077612867905125	0.03014581320726504	183.0	5.516683816929502											289_недовольство-радость	-0.17098498141453491	0.04655931447932257	136.0	6.332066769187869	129_успех-беда	0.1732102984694444	0.044535067451299926	136.0	6.056769173376789	217_завоевание-бегство	-0.24506837378439555	0.04398353003971469	68.0	2.990880042700599	241_нападение-оборона	-0.26641394997723306	0.02808975612845849	69.0	1.9381931728636361						88_лишение-наделение	-0.2783994238847032	0.035997450240263164	57.0	2.0518546636950004	98_разрушение-поддержание	0.265959373424106	0.02497579129609849	71.0	1.7732811820229928	257_тёплые_чувства-холодные_чувства	0.40641622967882174	0.006843980992537745	43	0.29429118267912296	184_правонарушение-соблюдение_закона	0.3140148210551252	0.00607809697887851	75.0	0.4558572734158883	221_получение_денег-отсутствие_денег	0.2862269373794496	0.048581699954086406	48.0	2.331921597796148	284_учеба-производство	-0.3635864909185745	0.040802583330054494	32.0	1.3056826665617438	276_начало-конец	0.2721257558795022	0.0051971876520491185	105.0	0.5457047034651575										
4	4	298_очевидный-скрытый	0.15817391940721154	0.019454129165670287	218.0	4.2410001581161225						91_здоровье-болезнь	-0.16610980137646308	0.02712852026298384	177.0	4.801748086548139	76_мир-война	-0.2958204754738124	0.0051374950794126715	88.0	0.452099566988315	193_порядок-беспорядок	0.1550358704728054	0.03663664696771877	183.0	6.704506395092535																205_отдых-рабочий_процесс	0.17147774839406196	0.046743223860303815	136.0	6.357078445001317						244_смерть-жизнь	-0.2564547520534196	0.034770870340432976	69.0	2.3991900534898747						34_духовное_наслаждение-физическое_наслаждение	-0.27229627170540416	0.040448045026285434	57.0	2.30553856649827	140_шум-тишина	-0.25630845911405425	0.030963587060731337	71.0	2.1984146813119247	3_спокойствие-суматоха	0.4033361511598797	0.0073205006878558345	43	0.3147815295778009	97_активность-пассивность	-0.30376344807119465	0.008063406092157131	75.0	0.6047554569117849						287_вода-земля	-0.3525010909218897	0.04784470719153156	32.0	1.53103063012901	32_разруха-реализация	-0.26981867552843514	0.005606745837061	105.0	0.588708312891405										
5	5	161_холодное_отношение-тёплое_отношение	0.15488538060542734	0.022164933802710958	218.0	4.831955568990988						54_реальность-когнитивные_процессы	0.16186827307225735	0.0313599897353838	177.0	5.5507181831629335	220_власть-наука	0.2914237410973868	0.005873267978757196	88.0	0.5168475821306331	148_усталость-бодрость	-0.15441695017328325	0.03740226390517242	183.0	6.8446142946465525																										239_радость-недовольство	0.2552504320202863	0.035661996975899536	69.0	2.4606777913370683						119_окончание-процесс	-0.2654208706847109	0.04599529786046326	57.0	2.6217319780464057						100_труд-отдых	-0.40193834363981307	0.007546038836181704	43	0.3244796699558133	165_улучшение-ухудшение	-0.2946412521296244	0.010286497355236141	75.0	0.7714873016427106						78_популярность-безвестность	-0.3522376617057793	0.0480231356590901	32.0	1.5367403410908833	11_приобретение-постоянное_местонахождение	-0.2597584099547873	0.007747424319746805	105.0	0.8134795535734145										
6	6	98_разрушение-поддержание	0.14410676776253414	0.03345408612984653	218.0	7.292990776306543						222_религия-повседневность	-0.16044032599055405	0.03290543497691627	177.0	5.824261990914179	121_несовременность-актуальность	-0.28506316005531723	0.00710265931569425	88.0	0.625034019781094	35_кончина-вечное_искусство	0.15405755751252986	0.03785300546502891	183.0	6.927100000100291																										257_тёплые_чувства-холодные_чувства	0.25395992338861906	0.03663794134683631	69.0	2.5280179529317053						221_получение_денег-отсутствие_денег	0.2608886776823878	0.04998173845208426	57.0	2.848959091768803						180_потребление-вывод	0.39907662503847374	0.008026548590575699	43	0.3451415893947551	271_бюрократия-творчество	-0.2944136353854965	0.010348201314379402	75.0	0.7761150985784552											63_мир-война	-0.2562359628570925	0.008651959176996337	105.0	0.9084557135846156										
7	7	249_порыв-покой	0.13686185660836872	0.043525456826051065	218.0	9.488549588079133						71_изобилие-недостаток	-0.16030500373951515	0.03305518922845438	177.0	5.850768493436426	9_трудности-отсутствие_проблем	-0.2816525330915466	0.007851146720613019	88.0	0.6909009114139456	56_протест-мир	0.14909846953389586	0.044554924368203165	183.0	8.153551159381179																										196_неуют-уют	-0.2507085479416273	0.03919572698847237	69.0	2.704505162204593																61_единство-разрозренность	0.3905107456247717	0.009625647855395849	43	0.4139028577820215	248_спор-согласие	-0.2934996718609135	0.010599224234452784	75.0	0.7949418175839589											109_убожество-роскошь	0.2385417150546612	0.01474556070294364	105.0	1.5482838738090825										
8	8	232_проблема-решение_проблем	0.13608196121997526	0.04474745809694351	218.0	9.754945865133683						80_сон-бодрствование	-0.1566606698315201	0.03731117722794759	177.0	6.604078369346722	279_соблюдение_закона-правонарушение	-0.275945374642366	0.0092595467590881	88.0	0.8148401147997528	268_отдых-работа	0.1483668845496718	0.04562300158350145	183.0	8.349009289780765																										182_светское_общество-религия	0.2494178035809077	0.04025139229372508	69.0	2.7773460682670303																245_любовь-ненависть	0.3903359176003425	0.009660943024891138	43	0.4154205500703189	202_отставание-лидерство	0.2907883580259288	0.011375349989466236	75.0	0.8531512492099678											46_идея-реализация	0.2349012546044123	0.016383137183473843	105.0	1.7202294042647537										
