	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	129	-0.1887591112000237	0.005171500926589857	218.0	1.1273872019965887	69	-0.1664465926256687	0.04391431100451019	147.0	6.455403717662998	270	-0.21197000352415568	0.024202749474833623	113.0	2.7349106906561995	246	0.21608201214941447	0.0033048412291894445	183.0	0.6047859449416684	188	-0.29533319805639435	0.0009583871601709798	122	0.11692323354085954	204	0.22636030105502386	0.00805123132359921	136.0	1.0949674600094927	56	-0.2854306090217405	0.018304759835474433	68.0	1.2447236688122614	143	0.2727299353450785	0.04011750947525765	57.0	2.286698040089686	140	-0.3970455856117266	0.00838337339038505	43.0	0.36048505578655715	246	0.254050426598063	0.027848842241755968	75.0	2.0886631681316974	285	-0.24173078971113773	0.043794230326566735	70.0	3.0655961228596715	125	0.3910258155164457	0.0059950887899776085	48.0	0.28776426191892523	295	0.35888581990275015	0.04367940329817402	32.0	1.3977409055415686	191	0.3048769722606887	0.0015652522461260046	105.0	0.16435148584323048	167	0.34206438327394423	0.005287627561468364	65.0	0.34369579149544366	123	-0.4139481866525103	0.010867776130192712	37.0	0.4021077168171303
1	225	-0.18491658066937022	0.006177298928803885	218.0	1.3466511664792469						269	-0.2053891420369922	0.029082704014593407	113.0	3.286345553649055	177	0.1898083776786774	0.010066856790794972	183.0	1.8422347927154799	258	0.28839486041253315	0.0012758229980117705	122	0.155650405757436	133	-0.21436338528241647	0.012210110051299353	136.0	1.660574966976712	197	-0.27808511091908455	0.02166865991396284	68.0	1.473468874149473						219	-0.3911670516929814	0.009494135091162944	43.0	0.4082478089200066											212	0.3864116997336732	0.006671163692750087	48.0	0.3202158572520042						167	-0.26243942804704035	0.006838832413586044	105.0	0.7180774034265347	98	-0.30452038898834943	0.01364909459903684	65.0	0.8871911489373946	30	-0.4107212027960446	0.011566532835945779	37.0	0.4279617149299938
2	208	0.17185712332650513	0.011028597804274506	218.0	2.4042343213318422						211	0.2008165592309113	0.03294516467807285	113.0	3.7228036086222316	41	-0.16646386440678737	0.024310360690832238	183.0	4.4487960064223	140	-0.274728245188624	0.002195807971728167	122	0.26788857255083637	81	-0.21361987000822083	0.012520858066726285	136.0	1.7028366970747748	77	-0.2688229225731758	0.026647120385298404	68.0	1.8120041862002916						204	-0.38029995475597606	0.011882195511212217	43.0	0.5109344069821253											248	-0.35104714156934624	0.014427835007962683	48.0	0.6925360803822087						128	-0.22824449916776623	0.019190242254310617	105.0	2.0149754367026147	101	0.27361766752311567	0.027422794435815176	65.0	1.7824816383279865	198	-0.3889859338401897	0.017338007199020584	37.0	0.6415062663637616
3	177	0.16801737717888032	0.012985379451797315	218.0	2.8308127204918145						245	-0.19690273783750775	0.036587041794795674	113.0	4.134335722811911	184	0.16354445894869288	0.026956673065164104	183.0	4.933071170925031	83	0.26712009122022246	0.0029365117779472814	122	0.3582544369095683	236	-0.2085525194991798	0.014829158157394275	136.0	2.0167655094056216	192	0.24146105618420782	0.04729134216722876	68.0	3.2158112673715555						76	0.36339281310652394	0.0166098936510253	43.0	0.7142254269940879											278	0.34333486749614744	0.01688896233717973	48.0	0.810670192184627						214	-0.22706895477110856	0.01983643909467611	105.0	2.0828261049409917	157	0.2720293545639627	0.028369639461422427	65.0	1.8440265649924577	278	-0.38381260516940974	0.019020681289737093	37.0	0.7037652077202724
4	65	-0.15176263593982434	0.025035035247459078	218.0	5.457637683946079						282	-0.19623987705756593	0.037236171495283125	113.0	4.207687378966993	252	-0.1614482426956648	0.02900561452622624	183.0	5.308027458299402	125	0.25887176336185796	0.003987549214136739	122	0.4864810041246821	215	-0.19436364276490536	0.02336601565472167	136.0	3.177778129042147											64	-0.35954044183820605	0.017885403766164307	43.0	0.7690723619450652											12	-0.33167555692202494	0.021281177651332646	48.0	1.0214965272639671						277	0.2126154678373054	0.029440129852032815	105.0	3.0912136344634455	10	-0.2705596979384591	0.029270085630391067	65.0	1.9025555659754194	64	-0.36074733570015766	0.028272825881146515	37.0	1.046094557602421
5	161	-0.14945051441368148	0.027360891243762366	218.0	5.964674291140196						250	-0.19445614771786796	0.039031141492294516	113.0	4.41051898862928	282	-0.15137927116742736	0.04079647420484044	183.0	7.465754779485801	38	0.25815979477237205	0.004092447733600679	122	0.49927862349928287	120	0.1784450816871466	0.03766203606195114	136.0	5.1220369044253555											211	0.359441653998974	0.017919168861702743	43.0	0.7705242610532179											99	-0.327756051361067	0.022958585038593115	48.0	1.1020120818524695											174	-0.26499860638806555	0.0328974533134766	65.0	2.138334465375979	147	0.35936041077794256	0.028930441795738022	37.0	1.0704263464423067
6	246	0.14942765650163928	0.027384779188914687	218.0	5.969881863183402						139	-0.19299890707710693	0.04055085687382436	113.0	4.5822468267421534	19	-0.1500702701123121	0.042590877039935145	183.0	7.794130498308132	45	0.2523632721395441	0.0050427884260625284	122	0.6152201879796285	184	-0.1767864275754514	0.03950549586530131	136.0	5.372747437680978											279	0.3584751399614004	0.01825236274651722	43.0	0.7848515981002405											17	-0.31861294999373646	0.027307064764947545	48.0	1.3107391087174822											41	0.26079896621542825	0.035879317055459804	65.0	2.332155608604887	115	0.34256031617462107	0.037944212397788724	37.0	1.4039358587181827
7	89	0.14879488722491588	0.028053192732408423	218.0	6.115596015665036						112	0.18775536722139927	0.04643438964480589	113.0	5.247086029863065	87	0.14998810415485006	0.042705685484984324	183.0	7.8151404437521315	176	-0.25161246210385896	0.005179303871877727	122	0.6318750723690827	52	0.17252464705688972	0.04459215368847193	136.0	6.064532901632182											190	-0.3562731027873538	0.019031031444503264	43.0	0.8183343521136404											229	-0.30990150432285196	0.032069247137946025	48.0	1.5393238626214092											219	0.259263778238488	0.0370240258839045	65.0	2.4065616824537925					
8	98	-0.14706616580323612	0.02995089908204152	218.0	6.5292959998850515						35	-0.18533067895801808	0.04938559164632504	113.0	5.580571856034729						72	0.24935685347671474	0.005609476593583851	122	0.6843561444172298																242	-0.3531743493953018	0.020174002208993833	43.0	0.8674820949867348											8	-0.3087769885720236	0.032731313388133065	48.0	1.5711030426303871											228	-0.25197312700165	0.04288236786103903	65.0	2.787353910967537					
