	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	55	-0.18432018912426174	0.0117868545497587	186.0	2.192354946255118	21	0.25249021539335736	0.00014319868756470106	222.0	0.031790108639363636	291	-0.14203313326973865	0.005798654276649158	376	2.180294008020083	252	0.1129647636154108	0.01940355327702914	428.0	8.304720802568472	6	-0.2207406119624424	0.0033301566645328653	175.0	0.5827774162932514	115	0.25127133413204694	0.006057938582859118	118.0	0.7148367527773759	278	0.1616268833945033	0.020289682750457783	206.0	4.179674646594303	159	0.15042171252030748	0.008617925221274166	304.0	2.6198492672673463	34	-0.24053782062699888	0.012571781723196613	107.0	1.3451806443820375	268	0.20710443611653362	0.0037618525997611036	194.0	0.7297994043536541	214	-0.2033834306896601	0.017557405240610568	136.0	2.387807112723037	58	-0.2145472094868336	0.013862901197817978	131.0	1.816040056914155	114	0.27898519351730705	0.005168137021212803	99.0	0.5116455651000675
1	86	-0.1834951241163827	0.012176310580979982	186.0	2.2647937680622765	226	-0.22488807719743498	0.0007376767153009273	222.0	0.16376423079680585	279	-0.14199079527580105	0.005813413606847503	376	2.185843516174661	257	-0.10692308462544672	0.0269723806633727	428.0	11.544178923923516	226	0.1965769424577872	0.009125325612235467	175.0	1.5969319821412067	55	-0.2093639193399739	0.022885388123945007	118.0	2.7004757986255106	93	-0.15069780795535462	0.03060878686742918	206.0	6.305410094690411	6	-0.14856996979477732	0.009482598842480794	304.0	2.8827100481141614	236	0.23486938276016942	0.014886090670611604	107.0	1.5928117017554415	188	0.18116364003029706	0.011472614123760437	194.0	2.2256871400095246	97	0.19646855601559968	0.021880315522719514	136.0	2.975722911089854	139	-0.20309269354690435	0.01999056834887379	131.0	2.618764453702467	3	-0.22279179686549264	0.02665487538592338	99.0	2.638832663206415
2	241	-0.15969998009984696	0.029456075864789218	186.0	5.478830110850795	248	0.2126196695956905	0.0014395949461682913	222.0	0.3195900780493607	97	0.14115289430902994	0.006112536445355164	376	2.298313703453542	202	-0.10223885178621483	0.03447329094593448	428.0	14.754568524859957	118	-0.18967348150997201	0.011936137808051432	175.0	2.088824116409001	276	0.20157809035225643	0.02860337606718329	118.0	3.3751983759276283	221	0.14151814362023138	0.04245512608493214	206.0	8.74575597349602	12	0.14301404389820238	0.012556495509455794	304.0	3.8171746348745614	147	-0.22384765593666206	0.020460430961823043	107.0	2.1892661129150657	32	0.174890551952165	0.014726784677132853	194.0	2.8569962273637737	127	-0.19638041366692963	0.021940857709530644	136.0	2.9839566484961675	11	-0.20102340790393816	0.02131704909919236	131.0	2.7925334319941992					
3	108	0.15735712827346754	0.03195451431933923	186.0	5.943539663397097	264	-0.21244591831669518	0.00145291536181485	222.0	0.3225472103228967	266	-0.14101698611078028	0.0061623348698451475	376	2.3170379110617754	11	0.09986689210749326	0.038905457560005206	428.0	16.65153583568223	75	-0.1779277166811498	0.018486695303134557	175.0	3.2351716780485473	237	-0.19121661857140188	0.03805956342236971	118.0	4.491028483839626						68	0.14059197289263953	0.014151135732775705	304.0	4.301945262763814	90	-0.22190532510280642	0.021609369211412828	107.0	2.3122025056211726	245	-0.16449572078734373	0.021906263100695975	194.0	4.249815041535019	241	-0.196221922446806	0.022050082874080373	136.0	2.998811270874931	214	-0.20042626269529998	0.021713651117532932	131.0	2.844488296396814					
4	122	-0.15659674564874393	0.03280317949041975	186.0	6.101391385218073	140	0.21168866395326036	0.001512296734707052	222.0	0.33572987510496555	110	-0.13977154304547484	0.006635903805985421	376	2.4950998310505184	223	0.09776955326740358	0.043217432889822334	428.0	18.497061276843958	198	0.17721440340544936	0.018969680789388158	175.0	3.3196941381429275	177	-0.18935669635558564	0.04000839676763722	118.0	4.720990818581192						287	0.14050838794815312	0.014209205570873122	304.0	4.3195984935454295	106	-0.22075367742307017	0.022316401972862696	107.0	2.3878550110963084	7	0.1542219333479462	0.03178986267350669	194.0	6.167233358660297	75	-0.19151254500007528	0.025515871822672193	136.0	3.470158567883418	33	-0.1982522619704609	0.023211617979634235	131.0	3.040721955332085					
5	199	-0.14961085786477862	0.04153486420350182	186.0	7.725484741851338	87	0.21123163377846574	0.0015492015928170381	222.0	0.3439227536053825	196	0.1390010973574044	0.006944928465747076	376	2.6112931031209006						177	0.17449785650332075	0.02091056028469881	175.0	3.659348049822292											57	-0.13447517694727754	0.01899344595322154	304.0	5.774007569779348	23	0.2190770988170237	0.023381097731257447	107.0	2.501777457244547	36	-0.1425734762361343	0.04735312711761113	194.0	9.18650666081656	31	-0.18786991912647255	0.02850689761654785	136.0	3.8769380758505076	263	-0.19555842533085754	0.0251900451575992	131.0	3.2998959156454952					
6	268	-0.14854466449274698	0.04302553738049343	186.0	8.002749952771778	182	0.20632166025846158	0.0020009930848861384	222.0	0.4442204648447227	261	-0.13696093016852903	0.007826325337386864	376	2.9426983268574607						234	0.16919296156452293	0.025199227454101455	175.0	4.409864804467754											286	-0.13326560509299792	0.020105681017594034	304.0	6.112127029348587	152	-0.21349466872021375	0.027244961383369477	107.0	2.915210868020534	142	0.14123876434049595	0.04948678656326899	194.0	9.600436593274184	102	-0.1842689575373498	0.0317521710307174	136.0	4.318295260177566	140	-0.19525732475952332	0.025419893156352468	131.0	3.3300060034821732					
7	6	-0.14794159025487677	0.04388839276557007	186.0	8.163241054396034	259	-0.20232816587429805	0.0024537038655860466	222.0	0.5447222581601023	63	-0.13661106389111363	0.007987119567297493	376	3.0031569573038572						23	0.16771006543156455	0.0265253270680741	175.0	4.641932236912967											45	-0.13153289726544354	0.021797308446507166	304.0	6.626381767738178	206	-0.20990142670553594	0.030009116265923653	107.0	3.210975440453831						144	0.18158852368396425	0.034366568731983384	136.0	4.67385334754974	157	-0.19436868844138264	0.026108727384360656	131.0	3.420243287351246					
8						195	0.2007918377011117	0.0026513486971308955	222.0	0.5885994107630588	174	-0.13640220796947872	0.008084505556261395	376	3.0397740891542844						191	-0.16378776118559593	0.030324293205654627	175.0	5.30675131098956											18	-0.12678539010804665	0.027077464513475563	304.0	8.23154921209657	266	-0.20888498779694914	0.03083284593018287	107.0	3.299114514529567						208	0.17916025290738435	0.03688980611428154	136.0	5.017013631542289	47	-0.19308471253468004	0.027132142205383576	131.0	3.5543106289052484					
