	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	117	0.15088592935757156	0.0398093400854009	186.0	7.404537255884567	294	-0.18857016585926348	0.0018944901868945508	269.0	0.5096178602746342	183	0.21296121864326456	0.00021272817724589984	298	0.06339299681927815	116	0.20490663630764988	0.010288283364092947	156.0	1.6049722047984998	52	0.10914777036950178	0.023932356506517535	428.0	10.243048584789506	261	0.17525430591976252	0.020353587137452393	175.0	3.561877749054169	277	-0.14676014836790816	0.03529145498894066	206.0	7.270039727721776	103	0.14093329704989951	0.025266604264965877	252.0	6.367184274771401	38	0.22042777931341498	0.022520044545493233	107.0	2.409644766367776	252	0.16237958179830034	0.023690986433887517	194.0	4.596051368174178	145	-0.18840779935517166	0.03115418687627755	131.0	4.081198480792359
1						87	-0.1787993051719808	0.003254484114766574	269.0	0.8754562268722084	103	-0.2116599171540683	0.0002330118868084673	298	0.06943754226892325	172	0.1784696381782977	0.025808256862300042	156.0	4.0260880705188065	229	-0.10144800354990381	0.035900706879529426	428.0	15.365502544438595	106	0.17239224209891282	0.022530777069383053	175.0	3.9428859871420343	51	0.14482748074456306	0.03780342500425979	206.0	7.787505550877516						86	0.2119769121620829	0.028384909374246016	107.0	3.037185303044324	16	-0.15908432487956306	0.02671906347708472	194.0	5.183498314554436	271	-0.1795268723235547	0.040190392859029075	131.0	5.264941464532809
2						258	0.17290594710957766	0.004453502525622491	269.0	1.19799217939245	39	-0.2089646878089235	0.0002808953085741418	298	0.08370680195509425											152	0.16842713044107824	0.02587680163593324	175.0	4.528440286288317	74	-0.14476496762603655	0.03788713392351757	206.0	7.804749588244619						259	-0.21039235500669448	0.02961798891677846	107.0	3.1691248140952952	243	-0.15819445147787267	0.027591549261842416	194.0	5.352760556797429	141	0.1727200293248026	0.04852095666021563	131.0	6.356245322488247
3						295	0.17271108890693673	0.004499201185047291	269.0	1.2102851187777213	113	-0.20515328320316809	0.00036441272994493245	298	0.10859499352358987											224	-0.15668149838374462	0.03839114097989473	175.0	6.7184496714815785	62	-0.14410096612330942	0.03878597294495751	206.0	7.989910426661247						201	0.1913304570736478	0.048362414167816885	107.0	5.174778315956407	116	0.1572219835140578	0.028572783546500245	194.0	5.543120008021048					
4						114	0.17150787366677123	0.004790861140871352	269.0	1.2887416468943937	75	0.20017259437245963	0.00050849634847758	298	0.15153191184631884											251	0.15638073062375718	0.0387690818844271	175.0	6.784589329774742	266	-0.14327218513215859	0.03993303872046339	206.0	8.226205976415457											258	-0.15224459077400657	0.03407465022181428	194.0	6.6104821430319705					
5						29	0.1708102559000206	0.004967652432503473	269.0	1.3362985043434341	172	-0.1939658251433987	0.0007617741422812962	298	0.22700869439982627											122	0.1519233277900307	0.04474760976749906	175.0	7.830831709312335																115	0.14869027245291186	0.03853218716521276	194.0	7.475244310051276					
6						115	-0.17057370535800195	0.005028918113757812	269.0	1.3527789726008512	130	0.18611013640444352	0.0012487703467057977	298	0.3721335633183277																															69	-0.14753046677539589	0.04008918462506843	194.0	7.777301817263275					
7						161	-0.16876637734280045	0.005519883026656093	269.0	1.484848534170489	269	-0.18578894484024552	0.0012737431070568603	298	0.37957544590294434																																								
8						25	0.16769051206800886	0.005832170021577487	269.0	1.5688537358043442	121	0.18565244893176228	0.0012844939336590525	298	0.38277919223039764																																								
