	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	57	0.1598454546548634	0.01241440792471528	244.0	3.0291155336305287	133	-0.16933983374136669	0.02085321104706352	186.0	3.8786972547538148	88	-0.19118800340803666	0.004250112115165856	222.0	0.9435248895668201	24	-0.12556876947869497	0.030225131213421356	298.0	9.007089101599565	115	-0.21494661129251572	0.011971103562653608	136.0	1.6280700845208906	263	0.10798767107975943	0.03633924455794556	376.0	13.66355595378753	84	-0.20066886462242997	0.00931585917342348	167.0	1.555748481961721	274	0.26222645541134665	0.0009432436813791555	156	0.14714601429514826	12	0.13289316880537158	0.022897466157005514	293.0	6.708957584002616	64	-0.09885067210545463	0.040946971537381284	428.0	17.52530381799919	69	0.26906188967507566	0.0003176379299583681	175.0	0.05558663774271441	202	0.2751767978340245	0.0025629198115078057	118.0	0.30242453775792105	172	0.16269493049070052	0.020699851883448014	202.0	4.181370080456499	273	-0.19271159714030553	0.005517415411836034	206.0	1.136587574838223	124	0.12069290098224744	0.045141881036544255	276.0	12.459159166086215	120	0.15461912967341687	0.03134698152176597	194.0	6.0813144152225975	74	-0.18705592726906678	0.02921465208004205	136.0	3.9731926828857187
1						147	-0.15638318830124556	0.03304494651681359	186.0	6.146360052127328	196	-0.16358426765428755	0.014685209352960233	222.0	3.260116476357172	103	-0.11712959923293309	0.04333857775207885	298.0	12.914896170119496	34	-0.18121074248905536	0.034749272163340415	136.0	4.725901014214297	132	0.10661440147809718	0.038796447047234436	376.0	14.587464089760148	86	0.18727538887269715	0.01537450485339616	167.0	2.5675423105171586	294	0.2618192111693084	0.0009613248175424093	156	0.14996667153661583	74	0.12317430685038791	0.03508090612158906	293.0	10.278705493625594						292	0.21581733655135815	0.004125311720930915	175.0	0.7219295511629101	89	-0.2687592370950003	0.003253240153394066	118.0	0.38388233810049976						57	0.18663286988038608	0.0072307140115857715	206.0	1.489527086386669											21	0.17415671589222362	0.04258312394343951	136.0	5.791304856307773
2						259	-0.14525836807296988	0.04790504061103901	186.0	8.910337553653255	191	0.16083152439068196	0.016464968711891854	222.0	3.6552230540399915																25	-0.1785825936553989	0.020940500021116623	167.0	3.497063503526476	179	-0.26105782888056317	0.0009959844276349551	156	0.155373570711053											263	-0.20336317117163805	0.006950054539964046	175.0	1.216259544493708	169	0.2583333909102787	0.004736104998293744	118.0	0.5588603897986618						169	-0.16004572786989033	0.02156501248539945	206.0	4.442392571992287															
3											72	-0.14087356677373333	0.035941262485663796	222.0	7.978960271817362																123	-0.17170926691505117	0.02649949718047904	167.0	4.425416029139999	92	-0.2606704354026428	0.0010140556404001054	156	0.15819267990241645											190	0.19374443894698512	0.010198663401382748	175.0	1.784766095241981	93	0.25635185710438235	0.005078160530946958	118.0	0.599222942651741						29	0.15674434067428525	0.024452708252360834	206.0	5.037257899986332															
4											51	-0.13351971882055377	0.04691416310107818	222.0	10.414944208439357																288	0.17123914378530442	0.026922066075591382	167.0	4.495985034623761	292	-0.2555359058245785	0.0012837006007597837	156	0.20025729371852627											93	0.19182434266977733	0.010988208763771665	175.0	1.9229365336600415	223	-0.2540315550412628	0.005506579430581134	118.0	0.6497763728085738						92	0.15619724160033527	0.02496204801968622	206.0	5.142181892055361															
5											117	-0.1332291593073881	0.04739970750951666	222.0	10.522735067112698																53	0.17079905556848546	0.027322848833059132	167.0	4.562915755120875	2	-0.25514952980241024	0.0013064324420502278	156	0.20380346095983554											259	-0.1871529349579803	0.013137835682946446	175.0	2.299121244515628	82	-0.24931815867282364	0.006477212208621503	118.0	0.7643110406173373						248	-0.15595217498915703	0.02519314173467153	206.0	5.189787197342335															
6																															168	-0.17069716359332077	0.027416364388054157	167.0	4.578532852805044	115	0.2546578208059643	0.0013358932059782801	156	0.2083993401326117											221	0.18387584471903645	0.014857971688556418	175.0	2.600145045497373	176	0.24530786189223147	0.007419653216529313	118.0	0.8755190795504589						113	0.1513634018406003	0.029872057799275847	206.0	6.153643906650824															
7																															163	0.16869883432894078	0.02930647882669248	167.0	4.894181964057644	184	0.252670500147738	0.0014612506370184357	156	0.22795509937487596											296	-0.18143714431423233	0.016262701351457003	175.0	2.8459727365049754	198	-0.24515425940137425	0.007458048479625661	118.0	0.8800497205958281						125	0.14577510923853315	0.03655349781540997	206.0	7.530020549974455															
8																															147	-0.16790221239728817	0.03009035027015395	167.0	5.0250884951157095	247	-0.2513722215636131	0.0015488457109533245	156	0.2416199309087186											238	-0.17785133149349308	0.018537900632542594	175.0	3.244132610694954	227	-0.23889784477573625	0.009179181395004404	118.0	1.0831434046105197						280	-0.1418742536328762	0.041932538283640186	206.0	8.638102886429879															
