	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16
0	0	46_идея-реализация	-0.17705736185497464	0.008794955534827214	218.0	1.9173003065923329	148_усталость-бодрость	-0.2288564518160129	0.014761448712612113	113.0	1.6680437045251686	20_покой-беспокойство	0.23667960076412964	0.02640848425740057	88.0	2.3239466146512497	268_отдых-работа	0.16588260037342978	0.0248186829896495	183.0	4.5418189871058585	125_разработка-разрушение	0.269598269859472	0.002673640907229084	122	0.3261841906819482	37_низ-верх	-0.159551804027606	0.008629686858941691	270.0	2.3300154519142566	98_разрушение-поддержание	-0.2488166948091807	0.0034893741702512315	136.0	0.4745548871541675	93_учёба-отдых	0.3800909883066062	0.0013881425289482964	68.0	0.09439369196848416	147_рассудительность-беспокойство	0.3981037793135517	0.0005855192015373963	71.0	0.04157186330915514	105_сущность-внешность	0.21728501291978192	0.04989198337425774	82.0	4.091142636689135	274_единство-разрозренность	0.293269207618686	0.010663352959122758	75.0	0.7997514719342068	140_шум-тишина	0.2778563945227067	0.019863411114209976	70.0	1.3904387779946985	210_спешка-неторопливость	-0.4072650516495436	0.004066815284030657	48.0	0.19520713363347156	256_фильм-жизнь	0.4210152982853907	0.014690882360231363	33.0	0.484799117887635	34_духовное_наслаждение-физическое_наслаждение	0.5016662883903725	0.0034418336939420016	32.0	0.11013867820614404	154_знание-сомнение	-0.3055711142610269	0.0015250714037068345	105.0	0.16013249738921762	61_единство-разрозренность	-0.3929198355018329	0.016143632436531972	37.0	0.5973144001516829
1	1	287_вода-земля	0.1473017638038176	0.029685989160939587	218.0	6.471545637084831	290_статистика-отсутствие_системы	-0.1982653057592835	0.035282531788998886	113.0	3.986926092156873	192_производство-наука	0.2306901100296841	0.03058891614565109	88.0	2.691824620817296	139_свобода-неволя	0.1657041052772331	0.024976599840106608	183.0	4.57071777073951	39_целостность-пустота	-0.26795438272559235	0.0028455232105714092	122	0.347153831689712	213_обозрение-сокрытие	-0.12461450135082612	0.040745811214267534	270.0	11.001369027852236	56_протест-мир	0.1967001231794043	0.021721943722018185	136.0	2.954184346194473	109_убожество-роскошь	-0.36527083784339215	0.0021924670052215814	68.0	0.14908775635506755	150_безопасность-опасность	-0.3628107031646215	0.0018739053960977452	71.0	0.13304728312293992						80_сон-бодрствование	0.2544206096449824	0.027614230611735548	75.0	2.071067295880166	37_низ-верх	-0.2653193697006265	0.026432401996385482	70.0	1.850268139746984	70_единство-разрозренность	0.3951774065520073	0.005438601910782455	48.0	0.26105289171755786	287_вода-земля	0.4122366410587223	0.017129866421463413	33.0	0.5652855919082926	259_процесс-итог	0.4827027816031879	0.00513989887288326	32.0	0.16447676393226432	163_человек-инструмент	-0.223919823129739	0.0216605040186744	105.0	2.274352921960812	114_церковь-мирская_жизнь	-0.34357833443116914	0.03733980927759262	37.0	1.3815729432709272
2	2						232_проблема-решение_проблем	-0.19652238506727307	0.03695834266990311	113.0	4.176292721699052	131_процесс-завершение	-0.21752170472710208	0.04177002969743771	88.0	3.6757626133745194	298_очевидный-скрытый	0.15977748352230814	0.030732544591344627	183.0	5.624055660216067	45_наука-быт	0.2633947771041353	0.0033756169422556213	122	0.4118252669551858	74_тёплые_чувства-холодные_чувства	0.12158349202186468	0.045938014644282994	270.0	12.403263953956408	257_тёплые_чувства-холодные_чувства	-0.19020743772166465	0.0265551075603832	136.0	3.6114946282121143	32_разруха-реализация	0.34367657578398386	0.004111904894065587	68.0	0.2796095327964599	80_сон-бодрствование	-0.3496722272496711	0.0027983229487525915	71.0	0.19868092936143397						225_кража-находка	-0.24819758229395825	0.031787668354547764	75.0	2.384075126591082	138_война-мир	0.26052120454136485	0.029391552464986374	70.0	2.0574086725490464	252_современность-древность	0.3793657649733309	0.007831278538751941	48.0	0.3759013698600932	227_иерархия-равенство	-0.40439631532621423	0.019584998096451367	33.0	0.6463049371828953	51_творческая_реализация - эмоциональное_переживание	-0.4757218966245879	0.005924566869949716	32.0	0.1895861398383909	14_изобилие-недостаток	0.22280803722303225	0.022337964181818198	105.0	2.3454862390909104					
3	3						10_рутина-отдых	-0.1919647372142297	0.041659123389123504	113.0	4.707480942970956	87_народ-власть	-0.21024115207719726	0.04929041572121698	88.0	4.3375565834670935	11_приобретение-постоянное_местонахождение	-0.15748328392683394	0.03324595633762241	183.0	6.084010009784901	14_изобилие-недостаток	0.26201267036427306	0.003552981725287217	122	0.4334637704850405	96_наука-быт	0.12082645563562858	0.04731802992157611	270.0	12.77586807882555	273_жар-холод	0.18101860447738566	0.0349452901798328	136.0	4.752559464457262	296_равенство-иерархия	0.33936888881193883	0.004637835331698044	68.0	0.31537280255546696	166_порядочность-мошенничество	-0.3167395778480189	0.007119717390492271	71.0	0.5054999347249512						246_чистота-беспорядок	0.2479868565644212	0.03193778593243935	75.0	2.395333944932952	104_неподвижность-подвижность	-0.2555139586492686	0.03277190419017849	70.0	2.294033293312494	17_полемика-консенсус	-0.3785175798701509	0.007982069683757817	48.0	0.3831393448203753	134_физическое-абстрактное	0.3963220370884571	0.02241174054432705	33.0	0.7395874379627928	122_неопределенная_тема-здоровье	0.4666119730028687	0.007100740861745484	32.0	0.22722370757585555	21_получение_результата-разработка	-0.22018811972635768	0.02400654199836569	105.0	2.520686909828398					
4	4						234_холодное_отношение-тёплое_отношение	0.18536447333072908	0.04934341688496017	113.0	5.575806108000499						166_порядочность-мошенничество	0.14943563983499092	0.04348438710166788	183.0	7.957642839605223	131_процесс-завершение	-0.2604064285987533	0.0037695944824988133	122	0.4598905268648551	162_история-одномоментное_происшествие	0.12061250208798548	0.047714275135844385	270.0	12.882854286677984	276_начало-конец	-0.17875864804053349	0.037321794256110485	136.0	5.075764018831027	179_работа-искусство	-0.338317818206963	0.004774860842486613	68.0	0.3246905372890897	140_шум-тишина	-0.3104124762920887	0.008424145203320337	71.0	0.598114309435744						136_апатия-взбудораженность	0.24071500076912386	0.037494796920281764	75.0	2.8121097690211325						295_прощение-мстительность	-0.3561662245167507	0.012968900005950338	48.0	0.6225072002856162	117_живая_природа-неживая_природа	-0.3936395346574485	0.02342231732942244	33.0	0.7729364718709404	237_низшие_слои-высшие_слои	-0.4319711578595041	0.013554047596030624	32.0	0.43372952307298	183_неживая_природа-живая_природа	-0.21757684493998675	0.02577444741393003	105.0	2.7063169784626533					
5	5																289_недовольство-радость	-0.14886427077417605	0.044302212082644586	183.0	8.10730481112396	83_речь-текст	0.25796253813301784	0.004121944874260522	122	0.5028772746597838						167_дополнение-устранение	-0.17820423936801874	0.03792513554368023	136.0	5.157818433940512	116_смерть-жизнь	0.33727980828878235	0.004913684261229401	68.0	0.33413052976359925	298_очевидный-скрытый	0.3002893428444886	0.010946994357392744	71.0	0.7772365993748848						16_воля-неволя	0.24035251430240304	0.03779166416955872	75.0	2.8343748127169035						22_деятельность_наверху-деятельность_в_земле	0.3554982356926818	0.013151810628242042	48.0	0.6312869101556179	20_покой-беспокойство	0.3920706998689467	0.02403056079818599	33.0	0.7930085063401378	206_расслабление-напряжение	0.4223437464740288	0.01604157440703677	32.0	0.5133303810251766	168_работа-праздность	0.20539820062343306	0.03555522084888558	105.0	3.7332981891329857					
6	6																56_протест-мир	0.14671368295424686	0.0474967277213906	183.0	8.69190117301448	22_деятельность_наверху-деятельность_в_земле	0.2561380337048869	0.004403937582002139	122	0.537280385004261						231_злость-радость	0.1770786798871431	0.03917529144968381	136.0	5.327839637156998	208_неживая_природа-живая_природа	-0.3239991634111105	0.007031341789533199	68.0	0.4781312416882576	224_власть-отставка	0.3000351565001328	0.011017996842164555	71.0	0.7822777757936833						277_неживая_природа-живая_природа	0.23927877083726876	0.03868254422268102	75.0	2.9011908167010763						116_смерть-жизнь	-0.3440915692697856	0.01663269607441748	48.0	0.7983694115720391	259_процесс-итог	-0.3916930449122788	0.024178906318141617	33.0	0.7979039084986733	231_злость-радость	0.4185622888433789	0.017117541844397864	32.0	0.5477613390207317	231_злость-радость	-0.2038524936961428	0.03699516601577494	105.0	3.8844924316563687					
7	7																8_застой-работа	-0.14599275357803002	0.04860968477502769	183.0	8.895572313830067	288_радость-недовольство	-0.25376378527326265	0.004796699139705502	122	0.5851972950440713						15_древняя_работа-современная_работа	0.17597870731624146	0.04043027833024892	136.0	5.498517852913853	293_соблюдение_закона-правонарушение	-0.32010091177356154	0.0077887242029734075	68.0	0.5296332458021917	103_познание-непостижимость	-0.29698687196268464	0.011901159018617564	71.0	0.844982290321847						45_наука-быт	0.2331535270853381	0.04410502566821044	75.0	3.3078769251157834						156_физический_труд-умственный_труд	-0.3422604545014035	0.017258575803699352	48.0	0.8284116385775688	27_труд-фортуна	0.3905082468112295	0.024649207220597123	33.0	0.8134238382797051	36_спокойствие-деятельность	0.4117524682075912	0.019206625290678403	32.0	0.6146120093017089	128_неловкость-ловкость	-0.2037338670085828	0.03710766912935114	105.0	3.8963052585818683					
8	8																					285_опасность-безопасность	-0.25119593498422343	0.005256452212206596	122	0.6412871698892048						287_вода-земля	-0.1758352112361055	0.04059645501645597	136.0	5.521117882238011	10_рутина-отдых	0.3110899336067193	0.009818175891688244	68.0	0.6676359606348006	50_проблема-взаимовыручка	-0.29153131102013596	0.0136356127581443	71.0	0.9681285058282452																259_процесс-итог	-0.32615311037506123	0.023675875576794108	48.0	1.1364420276861174	231_злость-радость	-0.3869765490860986	0.026095974080213108	33.0	0.8611671446470327	22_деятельность_наверху-деятельность_в_земле	-0.4046696053267228	0.02159940981617781	32.0	0.6911811141176899	273_жар-холод	-0.20231444314344985	0.03847623042280676	105.0	4.040004194394709					
