	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	276	-0.18338103459639613	0.004050426613842785	244.0	0.9883040937776395	36	-0.16434658065210628	0.024990960642973504	186.0	4.648318679593071	140	0.12744045686595165	0.03671039623239651	269.0	9.875096586514662	188	-0.13419028455803655	0.020490782213459128	298.0	6.10625309961082	101	-0.16779561553739464	0.021705362342243947	187.0	4.058902757999618	41	-0.17223407348881672	0.031555585331696646	156.0	4.9226713117446765	190	0.11747223371593501	0.044519432771579576	293.0	13.044193802072815	194	-0.14861622487625858	0.0020510357150457913	428.0	0.8778432860395987	259	-0.27169449858711714	0.00027574473174881375	175	0.04825532805604241	233	-0.143620363685318	0.039447712248233215	206.0	8.126228723136043	179	-0.13057546047751795	0.022783886792593397	304.0	6.926301584948392	71	-0.22644927930190334	0.019004049335230647	107.0	2.0334332788696794	234	-0.12774831109419232	0.03388970594982433	276.0	9.353558842151514	32	0.14233316299620485	0.04773152239558767	194.0	9.259915344744009	218	-0.18428128252008702	0.03174055051850743	136.0	4.316714870517011	114	0.21344023675426285	0.03390151674437936	99.0	3.356250157693557
1	145	0.15837394386674192	0.013255567720801538	244.0	3.234358523875575	72	0.1633833796853157	0.025865498378673014	186.0	4.810982698433181	224	0.1196333631882688	0.04999104985659042	269.0	13.447592411422823	45	-0.11483556720164467	0.047636753999870045	298.0	14.195752691961273	267	0.16667196707709941	0.022614007228315955	187.0	4.228819351695083	177	-0.1702149813203449	0.03363551193082277	156.0	5.247139861208352						120	0.1319521257183475	0.006260299586218187	428.0	2.679408222901384	14	-0.2310105939245384	0.0020994164033032643	175	0.3673978705780713	282	0.1368825770488387	0.04977128809214822	206.0	10.252885346982534	152	0.12560348474662192	0.028551213850907812	304.0	8.679569010675975	78	-0.22245749619571847	0.021277247329433098	107.0	2.2766654642493416											51	-0.18027887483499994	0.03570869492148985	136.0	4.85638250932262	9	0.2011889258100735	0.04584159090902361	99.0	4.538317499993338
2	195	0.15819168901336397	0.013363158677847512	244.0	3.260610717394793	236	-0.16292490535615078	0.026290906985928522	186.0	4.890108699382705											99	0.1618049117756339	0.02693819950903868	187.0	5.037443308190233											22	0.12365893111375527	0.010448282748494958	428.0	4.471865016355842	235	-0.22803856161034552	0.0024042337361835225	175	0.42074090383211643						77	0.12414987841048222	0.030457550986565458	304.0	9.2590954999159	257	-0.21644521279818715	0.025140030942392727	107.0	2.6899833108360216											110	0.17075710436991143	0.046856507748621136	136.0	6.372485053812475					
3	72	-0.1527467273157077	0.016951578039505276	244.0	4.136185041639287	234	-0.15920346427905022	0.029971174434549084	186.0	5.57463844482613											132	-0.16098810734516417	0.027729275147511327	187.0	5.185374452584618											91	-0.12066975493168025	0.012480122114443349	428.0	5.341492264981754	263	-0.20941059623382505	0.005414248312458511	175	0.9474934546802395						62	-0.123966303289509	0.03070586872470946	304.0	9.334584092311676	205	0.2124590575699344	0.02801847192446216	107.0	2.997976495917451											187	0.16984364305793345	0.04806371549541351	136.0	6.5366653073762375					
4	92	-0.15226797631389802	0.017304006372224495	244.0	4.2221775548227765	112	0.15892327793240435	0.03026522219993772	186.0	5.629331329188416											77	0.15854617675698754	0.03021381159532849	187.0	5.649982768326428											287	0.11955582314923723	0.013322129644344196	428.0	5.701871487779316	5	0.20878929791746154	0.00555666457378614	175	0.9724163004125745						286	-0.12239058570941606	0.0329093442684653	304.0	10.00444065761345	62	-0.20625292787169613	0.03305526255909332	107.0	3.5369130938229856																				
5	240	0.15206359791974214	0.017456392161605418	244.0	4.259359687431722	4	0.15414903382077594	0.03566619216362251	186.0	6.633911742433787											259	-0.1584508591978677	0.030314521159526545	187.0	5.668815456831464											207	0.11393378291177204	0.0183801451720505	428.0	7.866702133637614	217	-0.20097473056836276	0.007656371730481846	175	1.3398650528343232						26	-0.12190548856796432	0.033614253327772084	304.0	10.218733011642714	38	0.20464844042829683	0.03447521910158622	107.0	3.6888484438697255																				
6	263	-0.14689568150225601	0.021717874234939	244.0	5.299161313325116	218	0.15265174745373167	0.03751964431561078	186.0	6.978653842703605											219	-0.15640455906512749	0.03254657900011712	187.0	6.086210273021901											51	0.11342516171976127	0.018911286796205174	428.0	8.094030748775815	214	0.19911600503697646	0.008249442502299396	175	1.4436524379023943						142	0.12154568135696892	0.034145363889779796	304.0	10.380190622493059	144	-0.20355576111554502	0.03547134886897123	107.0	3.7954343289799213																				
7	17	0.14312870673286002	0.025365871481515884	244.0	6.189272641489876	15	0.15008868174115586	0.04088101728404876	186.0	7.60386921483307											12	0.1560111926073594	0.03299128242983896	187.0	6.169369814379886											101	0.11260185110732793	0.01979941313499083	428.0	8.474148821776074	224	-0.19737792750918276	0.008840522732805707	175	1.5470914782409986						293	-0.12071893188800512	0.035392822243915024	304.0	10.759417962150167	290	0.19899295272433357	0.039896380473907506	107.0	4.268912710708103																				
8	131	0.14266404377104275	0.025850449148180663	244.0	6.307509592156082	247	0.1498857881746658	0.041157589244626626	186.0	7.6553115995005525											263	0.15477241099612496	0.034425583924053524	187.0	6.437584193798009											228	-0.11161892641498454	0.02090705656854571	428.0	8.948220211337564	195	0.19669173089095313	0.009084018676582612	175	1.5897032684019572						112	0.1204131433212438	0.0358639192715986	304.0	10.902631458565974	268	0.1988612206639339	0.040030697316763994	107.0	4.283284612893747																				
