	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	15	0.19033959577222503	0.004802361119135297	218.0	1.0469147239714947	149	0.23181717189116546	0.013488502793530168	113.0	1.524200815668909	100	0.2671621945784976	0.01185989463616851	88.0	1.0436707279828288	246	-0.1856131075252676	0.01188227635436215	183.0	2.1744565728482734	207	0.1651054809169376	0.006546800199007568	270.0	1.7676360537320435	78	0.2219126479495925	0.009418037281103492	136.0	1.2808530702300749	270	-0.2422558088634948	0.004489606093752945	136.0	0.6105864287504005	188	0.2861446616503812	0.018002978989875334	68.0	1.2242025713115228	275	-0.28654994225450015	0.01698330472246302	69.0	1.1718480258499484	113	0.19088461007390745	0.017722591967230823	154.0	2.7292791629535467	43	0.3396089262523546	0.00975209470449689	57.0	0.5558693981563227	214	-0.40628794997448575	0.006863278035936095	43.0	0.2951209555452521	97	-0.3847318621426238	0.0006541631539123183	75	0.04906223654342387	16	-0.2685058001614518	0.024609627019218136	70.0	1.7226738913452695	293	0.37365008375244	0.008896939765582064	48.0	0.4270531087479391	276	-0.4222897937246575	0.014362253483371662	33.0	0.47395436495126486	190	-0.368916232292242	0.03772715394722541	32.0	1.207268926311213	218	0.2667072872489035	0.005955434074553095	105.0	0.625320577828075	74	-0.368418496064944	0.024854165330882794	37.0	0.9196041172426634
1	78	0.17070459921257558	0.011586635371329031	218.0	2.525886510949729	72	0.19847466091511817	0.03508560986838285	113.0	3.964673915127262	95	-0.2620924457893389	0.013633564342192685	88.0	1.1997536621129563	289	-0.15771586368172044	0.03298345119316226	183.0	6.035971568348693	140	-0.15730624989712824	0.00962686775601651	270.0	2.599254294124458	17	-0.2211767861858512	0.009662902368386832	136.0	1.3141547221006091	281	0.23330593457154597	0.006266382519203283	136.0	0.8522280226116464	146	-0.2591941089968047	0.03281292206670825	68.0	2.231278700536161	289	0.27240605372524024	0.023546778256738607	69.0	1.6247276997149638	120	-0.18829627046507466	0.019355288985936737	154.0	2.9807145038342573	258	-0.3309171741001541	0.011927005203784678	57.0	0.6798392966157266	197	0.387632661797196	0.010220990212114598	43.0	0.4395025791209277	66	-0.3735961130771512	0.0009616630084457501	75	0.07212472563343127	142	-0.25841477551121544	0.03077603446847397	70.0	2.154322412793178	292	0.3062925564240181	0.034234217150491124	48.0	1.6432424232235738	41	-0.3588551805383071	0.040281096420660696	33.0	1.329276181881803						44	-0.20514314791129054	0.035789524085355774	105.0	3.7579000289623563	5	-0.36145908623005174	0.027940158226783432	37.0	1.033785854390987
2	104	0.1689775678654329	0.012469420183042269	218.0	2.7183335999032145	289	0.19145824368630263	0.042211066640562865	113.0	4.769850530383604	193	0.26028970614719993	0.014317528396830348	88.0	1.2599424989210706	171	0.1553783929937317	0.03570333368311869	183.0	6.53371006401072	109	0.1567046692867049	0.00991079622154668	270.0	2.6759149798176036	175	0.19666170359859525	0.021748150918055584	136.0	2.9577485248555595	264	-0.22850041745056965	0.0074584878243385165	136.0	1.0143543441100382	34	0.2538838796861792	0.03669613602225179	68.0	2.4953372495131214	42	0.26749213392203613	0.02628165951558174	69.0	1.81343450657514	270	-0.18393811036499916	0.02239891699496825	154.0	3.4494332172251108	166	-0.3225495417289441	0.014403615544106702	57.0	0.821006086014082	256	0.36889292209620705	0.01492264835503093	43.0	0.64167387926633	47	0.35439262324811277	0.0018116101025314017	75	0.13587075768985513	128	0.2493973907776588	0.037336929762486475	70.0	2.613585083374053	22	0.28962938152738715	0.04585323809738393	48.0	2.200955428674429	112	0.35104866186010125	0.04516384015271571	33.0	1.4904067250396185						63	-0.19739457689542966	0.043551134340750794	105.0	4.5728691057788335	161	-0.3535046614759885	0.03184726312236801	37.0	1.1783487355276165
3	245	-0.1605009425063759	0.017714165768840755	218.0	3.8616881376072847	236	-0.19132297015509714	0.04235950711747208	113.0	4.786624304274345	294	-0.2570584184489455	0.01561808586957784	88.0	1.37439155652285	179	0.15500998076661962	0.03614886584522945	183.0	6.615242449676989	93	-0.15516486278635255	0.010671605404946143	270.0	2.8813334593354587	10	0.1897461244658486	0.026930991046653446	136.0	3.6626147823448685	251	-0.2187957463641965	0.010494098156126072	136.0	1.4271973492331458	176	-0.24229578845557737	0.046508289931459966	68.0	3.1625637153392776	138	0.2653229801270619	0.027571663950032157	69.0	1.9024448125522189	289	-0.17667131401928596	0.02839092231362214	154.0	4.37220203629781	251	-0.2953279005101607	0.02572866431735395	57.0	1.4665338660891751	206	-0.3651952688418038	0.016040038854791917	43.0	0.6897216707560524	50	-0.3543426966950727	0.001814504589270448	75	0.1360878441952836	13	0.24078741996961353	0.044648960811115045	70.0	3.125427256778053	101	0.2888043004283106	0.04650313634621261	48.0	2.232150544618205	275	-0.3498684299595366	0.045941637936576504	33.0	1.5160740519070246						163	-0.19632527474890177	0.04472484200825089	105.0	4.696108410866343	195	-0.3407265101634452	0.039053015884383986	37.0	1.4449615877222075
4	81	-0.15717670503716263	0.020244015274996325	218.0	4.413195329949199						239	0.25504770366243007	0.016477903516500476	88.0	1.450055509452042	41	0.14524888675861047	0.04978073087278238	183.0	9.109873749719176	152	-0.1543327198837677	0.011103890325077451	270.0	2.998050387770912	176	0.1812849124567204	0.034673853197712316	136.0	4.715644034888875	89	-0.2180490105429198	0.010767420910552388	136.0	1.4643692438351248	46	0.2410569513571023	0.04767430130414927	68.0	3.2418524886821505	53	0.2649959050324928	0.027770732351401175	69.0	1.9161805322466812	132	0.17288540885406642	0.032021328505629665	154.0	4.931284589866968	167	-0.29375105691009396	0.026567213398431145	57.0	1.5143311637105752	76	-0.3637034585390763	0.016510478593119698	43.0	0.709950579504147	200	-0.35306772660720565	0.0018898452081697228	75	0.14173839061272922	148	-0.23906915191167552	0.046241122846249476	70.0	3.236878599237463	221	0.2848548142742011	0.04971866861705386	48.0	2.386496093618585											260	-0.19349552346848728	0.047958281728590735	105.0	5.0356195815020275	151	-0.33615107913832737	0.04193457754617398	37.0	1.5515793692084374
5	244	0.15631132543562817	0.0209518470107587	218.0	4.567502648345396						63	-0.2535581359107846	0.01714092670215899	88.0	1.5084015497899912						144	0.1518502090211743	0.012486791344674529	270.0	3.3714336630621227	201	-0.1706070945253207	0.04705300807785074	136.0	6.399209098587701	134	-0.21630350543250665	0.011430854255302806	136.0	1.5545961787211815	192	-0.2406303099202398	0.048081377933750544	68.0	3.269533699495037	232	-0.26060925235732585	0.030559778980737005	69.0	2.1086247496708532	185	-0.170196498481039	0.034832797829246455	154.0	5.364250865703954	222	-0.2847521910796693	0.03180399468172144	57.0	1.812827696858122	67	-0.35274676363675544	0.020336152548592782	43.0	0.8744545595894896	239	-0.35223059389957845	0.0019408312069649333	75	0.14556234052237	141	-0.23878268746761988	0.04651105452455745	70.0	3.2557738167190213																209	0.19305200988541824	0.048482194923550555	105.0	5.090630466972808	204	0.32947202138771847	0.04644750353867759	37.0	1.7185576309310708
6	42	-0.15259278525700026	0.02424247637231422	218.0	5.2848598491645						299	-0.2521690122355328	0.01777983316007126	88.0	1.5646253180862708						230	-0.1505293500079104	0.013282683385450888	270.0	3.5863245140717397	289	-0.16994827021270434	0.047924145687593823	136.0	6.51768381351276	9	0.21044782860771416	0.013925683532392114	136.0	1.8938929604053276	123	-0.23881678328237832	0.04984370574921493	68.0	3.389371990946615	106	-0.2601823322267968	0.03084334867217587	69.0	2.128191058380135	14	-0.16931247002580818	0.03580155629906568	154.0	5.513439670056115	61	0.2845816410964048	0.03191100331038479	57.0	1.818927188691933	235	-0.3441902754083264	0.02381838503679687	43.0	1.0241905565822653	89	-0.3520855688894495	0.00194978864145751	75	0.14623414810931326	232	-0.23710735409966113	0.048115784992821806	70.0	3.3681049494975266																208	0.19250852739908458	0.049130648049011884	105.0	5.158718045146248	167	0.3278718842968801	0.04758474201214803	37.0	1.760635454449477
7	28	0.1504301677311217	0.02635373681999256	218.0	5.745114626758378						4	0.2498433154514306	0.018895418098343403	88.0	1.6627967926542195						264	0.1474908538375181	0.015284874166832371	270.0	4.12691602504474						294	0.20931832660158567	0.014458134567734336	136.0	1.9663063012118698	217	-0.23880463139328123	0.0498556906573098	68.0	3.390186964697066	234	0.2584145433860597	0.032041161426986375	69.0	2.2108401384620597	191	0.16830290101718312	0.03693561726494834	154.0	5.688085058802044	202	0.2840903840670425	0.03222091249235824	57.0	1.8365920120644197	279	-0.3397115274337059	0.025831201982196753	43.0	1.1107416852344603	295	0.35083154417355306	0.002028806814146538	75	0.15216051106099035																														
8	106	-0.14810763549178482	0.028794929232969523	218.0	6.277294572787356						205	-0.24957021424654163	0.0190302818846517	88.0	1.6746648058493494						296	-0.14636146054842616	0.01609381150250717	270.0	4.345329105676936						63	0.20910706405216867	0.014559671211395663	136.0	1.9801152847498102						98	0.25407337868034463	0.035148872098826604	69.0	2.425272174819036	263	-0.16733878563029378	0.03804674588012533	154.0	5.8591988655393	65	-0.274723110069845	0.038626845703259444	57.0	2.2017302050857883	106	0.337282997659992	0.026980555022134842	43.0	1.1601638659517983	73	-0.35063888778188645	0.002041198106889015	75	0.15308985801667613																														
