	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	158	-0.12603592001105943	0.04924284648673489	244.0	12.015254542763312	94	0.17603972269042925	0.016239972629226673	186.0	3.0206349090361613	259	0.18425654239668754	0.005896583176494212	222	1.309041465181715	152	-0.14247699491862706	0.019394842930348797	269.0	5.217212748263826	79	-0.28797561369565633	0.000674700466275709	136.0	0.09175926341349643	223	-0.1347618744291039	0.008886911809193663	376.0	3.341478840256817	69	-0.20931273450576193	0.006632803945448874	167.0	1.107678258889962	116	0.14410236123205938	0.00280713351082327	428.0	1.2014531426323596	165	0.2212968603745937	0.0032496316846585224	175.0	0.5686855448152414	4	-0.2783500209630813	0.002273054133700911	118.0	0.2682203877767075	245	-0.14234441331858436	0.04329620025918683	202.0	8.74583245235574	124	0.17522142709352106	0.01176494453880382	206.0	2.423578574993587	175	0.1482155183367204	0.009656624668396717	304.0	2.935613899192602	64	0.2694473516341429	0.005007479927099568	107.0	0.5358003521996537	40	0.1679969134813826	0.019207938210732085	194.0	3.7263400128820248	75	0.2594233832465913	0.0022896553094120115	136.0	0.31139312208003356	296	-0.3329373959146292	0.0007593070688608193	99.0	0.07517139981722111
1						190	-0.17102740938940542	0.01959561270975688	186.0	3.64478396401478	202	-0.180570009935823	0.006987203628833543	222	1.5511592056010466	158	0.12959462689129472	0.03362174371046377	269.0	9.044249058114753	100	0.2831127784359045	0.0008385091030720547	136.0	0.11403723801779944	216	0.1277448520546118	0.013175820279995431	376.0	4.954108425278282	1	-0.19803155415112975	0.010306640786096168	167.0	1.72120901127806	112	-0.10526276332260447	0.029452480647974788	428.0	12.60566171733321	116	-0.18063932560453805	0.01674671520836137	175.0	2.9306751614632396	268	-0.24729070331286615	0.006939491548688464	118.0	0.8188600027452388	52	-0.14174443429488606	0.04419504430419074	202.0	8.927398949446529	295	0.1612174297284968	0.020613509669320077	206.0	4.246382991879936	295	-0.12639495229733377	0.027556915322609166	304.0	8.377302258073186	34	0.2034626811848511	0.035557311714047295	107.0	3.8046323534030604	197	0.16582108920441394	0.020848597881459426	194.0	4.0446279890031285	292	-0.24947655201348318	0.0034008085151107405	136.0	0.4625099580550607	97	0.2926485366020594	0.0032876810754635206	99.0	0.32548042647088854
2						151	-0.16450008090327367	0.024853962761569443	186.0	4.622837073651916	39	0.17892303627584688	0.00753010745379677	222	1.671683854742883	107	-0.1295538505559269	0.03367808937926411	269.0	9.059406043022046	241	-0.24499998735649559	0.00404359515174162	136.0	0.5499289406368603	210	-0.12723011317371113	0.013552518285485949	376.0	5.095746875342717	198	-0.19498311918647634	0.011566683400597924	167.0	1.9316361278998533						207	0.15509793139038172	0.04041639988226303	175.0	7.072869979396031	197	0.2280266843751802	0.013011839350036141	118.0	1.5353970433042647	237	0.14081338947485111	0.04562078461386237	202.0	9.2153984920002	147	-0.15691300421808582	0.024297499271757218	206.0	5.005284849981987	268	-0.12606597243608553	0.02796653525193491	304.0	8.501826716588212	103	-0.20344407930185193	0.035574512243378924	107.0	3.806472810041545	230	-0.15891810097904469	0.026880220311656614	194.0	5.214762740461383	102	0.2339446544733675	0.0061214347244991545	136.0	0.832515122531885	17	-0.29244503625484763	0.0033104379279304177	99.0	0.32773335486511135
3						34	-0.16058492483935025	0.02855672894010759	186.0	5.3115515828600115	242	-0.17402620706013416	0.009372761346378166	222	2.080753018895953						173	-0.24389662555129665	0.00421790886384594	136.0	0.5736356054830479	150	-0.12657207802478043	0.014047864767056151	376.0	5.281997152413113	296	0.18844250332420878	0.01473556594323169	167.0	2.460839512519692						276	0.15418841963644822	0.041619671760419995	175.0	7.283442558073499	115	0.226258565935313	0.01375222792793296	118.0	1.6227628954960893	201	-0.1392789701057568	0.04805433980734518	202.0	9.706976641083726	112	-0.15173397911093245	0.029468472031171616	206.0	6.070505238421353	185	-0.12138601634301013	0.034383321426856406	304.0	10.452529713764347	147	0.19825263511583438	0.04065614197656318	107.0	4.3502071914922595	45	-0.15315546598454743	0.03300540737217614	194.0	6.403049030202171	111	0.22268919091011907	0.009165585632722309	136.0	1.246519646050234	163	-0.2779172347458878	0.005349226812330426	99.0	0.5295734544207122
4						101	-0.15688369679042433	0.03248069032607488	186.0	6.041408400649928	233	-0.17354211283152735	0.00957501913014384	222	2.1256542468919326						206	-0.2397656658965815	0.004931943959726051	136.0	0.6707443785227429	213	0.12508498257288433	0.015226313549877494	376.0	5.725093894753938	300	-0.18818334243824666	0.01487540542188877	167.0	2.4841927054554245											151	0.2198526545520866	0.016750748695323114	118.0	1.9765883460481275						141	0.1509043058206778	0.03037857989374712	206.0	6.257987458111907	41	0.12048653769086014	0.03575036552019129	304.0	10.868111118138152	14	-0.19324671300312557	0.046116922763953565	107.0	4.934510735743031	286	0.15277602812192995	0.033447301837196054	194.0	6.488776556416035	269	-0.20431211975614588	0.017037373451779105	136.0	2.317082789441958	69	0.27694060579645896	0.005519745074850495	99.0	0.546454762410199
5						30	-0.15488510610600656	0.03478380537557069	186.0	6.469787799856148	295	-0.1724239143275881	0.010057051537659005	222	2.2326654413602993						67	-0.23766748366780163	0.005334485952044093	136.0	0.7254900894779966	215	-0.12186917262853454	0.018074864237252276	376.0	6.796148953206856	194	0.17381412348865838	0.024676470327174294	167.0	4.120970544638107											211	0.21801888402934944	0.01770720122013207	118.0	2.0894497439755844						70	-0.149001447078006	0.03255682059687958	206.0	6.706705042957194	252	0.11864244629644852	0.038697693502653195	304.0	11.764098824806572											223	-0.2019401564652881	0.01839288641524142	136.0	2.5014325524728327	8	-0.2538472765814301	0.011233658108897367	99.0	1.1121321527808394
6						185	0.1543658052029219	0.035404385509937054	186.0	6.585215704848292	226	0.17222483304666486	0.010145086852409859	222	2.2522092812349888						180	0.22795957333778777	0.007604510434228745	136.0	1.0342134190551093	90	0.11939286166966437	0.020574985720660924	376.0	7.736194630968507	10	0.17182330245013427	0.02639785651407339	167.0	4.408442037850256											10	-0.20963721248969813	0.022703921007046997	118.0	2.6790626788315457						227	0.14187611493944263	0.04192982109656958	206.0	8.637543145893334	23	0.11770898723440659	0.040266290318100105	304.0	12.240952256702432											229	0.19966402828135565	0.01978040101894393	136.0	2.690134538576374	204	-0.25381229769633995	0.0112452497769596	99.0	1.1132797279190003
7						89	-0.15190722115249375	0.0384711309181913	186.0	7.155630350783582	94	0.1715718358544574	0.010438649461843617	222	2.317380180529283						26	0.223970978756469	0.008761929456356182	136.0	1.1916224060644407	231	0.11847110652932916	0.02157952565119144	376.0	8.113901644847981	146	-0.1705603733262491	0.027542339410508543	167.0	4.599570681554926											252	0.20958316372386457	0.02273971125983078	118.0	2.683285928660032						87	-0.13867619754126773	0.04682475981647736	206.0	9.645900522194335	263	0.1174805273821172	0.04065826693178941	304.0	12.36011314726398											4	-0.1974547963420509	0.02121264010422602	136.0	2.884919054174739	173	-0.2509552746887274	0.01222805447565148	99.0	1.2105773930894965
8						251	-0.15077328612299498	0.03995930798746848	186.0	7.4324312856691375	243	0.1676889542784456	0.012344251993700116	222	2.7404239426014256						125	0.22284946143998802	0.00911423200528393	136.0	1.2395355527186145	233	0.11704571331396184	0.023216630781574644	376.0	8.729453173872066	54	0.16766282211351669	0.03032936997765462	167.0	5.065004786268322											196	0.20567669691743265	0.025457904695215923	118.0	3.004032754035479						225	-0.1381042863194312	0.04774804142318422	206.0	9.83609653317595	106	-0.11393952905149751	0.04715694723898214	304.0	14.33571196065057											26	-0.19404372910450962	0.023599232100352405	136.0	3.209495565647927	262	0.24997708868062526	0.012581350268998273	99.0	1.245553676630829
