	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	80	0.13758182995165988	0.03169092774600495	244.0	7.732586370025208	23	-0.17595777561907938	0.016290526329294605	186.0	3.0300378972487967	247	0.15181233996737037	0.023998518587716986	222.0	5.327671126473171	234	-0.12615025370638056	0.029462379594780763	298.0	8.779789119244667	264	-0.2350704991875845	0.006061396379623301	136.0	0.8243499076287689	23	-0.13259051821943008	0.010057723520024391	376.0	3.781704043529171	156	-0.17684479477590792	0.027212012793946763	156.0	4.245073995855695	205	-0.11713031760676439	0.015330538957667896	428.0	6.56147067388186	14	-0.21019571378937646	0.005238957524662383	175.0	0.916817566815917	172	0.18418306300150838	0.008691012100695622	202	1.7555844443405155	228	-0.20923927199051448	0.03766048085885848	99.0	3.7283876050269895	260	-0.1683740923513206	0.015810380387622894	206.0	3.256938359850316	31	0.13190206308669025	0.021643979844673044	304.0	6.579769872780606	95	0.2855481535427639	0.0028695738555114497	107.0	0.3070444025397251	84	0.14712608232749302	0.01460614055641829	276.0	4.031294793571448	298	0.16007338900411874	0.025777168164787496	194.0	5.000770623968775	223	-0.28304388454465407	0.0008798070290973157	136.0	0.11965375595723494	90	0.25464581009709103	0.003458708510491347	131.0	0.4530908148743665	262	0.29362638020865306	0.003180276246137326	99.0	0.31484734836759526
1	84	0.13207147510014006	0.039258472560864704	244.0	9.579067304850987	9	0.15228907292747831	0.0379806230191671	186.0	7.06439588156508	65	0.14281129161717585	0.03384687766283252	222.0	7.51400684114882						151	-0.22591045136042784	0.008424042675411842	136.0	1.1456698038560105	213	0.132115516884153	0.010331389555323202	376.0	3.884602472801524	240	-0.1697168419036823	0.034166155794183396	156.0	5.32992030389261	51	0.1084813934592185	0.024810262511326835	428.0	10.618792354847885	204	-0.20534753944570422	0.006407993798641092	175.0	1.1213989147621912	237	0.15959646562652524	0.023281874646468026	202	4.702938678586541	288	-0.20361432187269635	0.0432346759332436	99.0	4.280232917391117	141	0.14427683829733	0.03902630692383817	206.0	8.039419226310663	214	0.11455324455079033	0.04633402724754986	304.0	14.085544283255159	34	0.2552912655028418	0.0079575999260226	107.0	0.8514631920844182	30	0.13960865300937353	0.020560712922413658	276.0	5.674756766586169	96	-0.15256742895229222	0.03369236918675608	194.0	6.53631962223068	111	0.20448464427037988	0.017359754804151473	136.0	2.3609266533646003	16	-0.23724902976295853	0.00657082465899078	131.0	0.8607780303277921	86	-0.27223099086327873	0.006411677785402217	99.0	0.6347561007548195
2											202	-0.14135483837654236	0.03572619548660028	222.0	7.931215398025262						273	0.1796554150516321	0.03707001140512968	136.0	5.041521551097636	145	0.1308970021330995	0.011063829389915432	376.0	4.1599998506082025						185	-0.10533075874119911	0.029347200606431353	428.0	12.56060185955262	259	-0.18804197591947755	0.012702387991477427	175.0	2.2229178985085496	245	-0.15868106824361802	0.024095924163505627	202	4.867376681028136						83	-0.14301292721676298	0.040791816486228115	206.0	8.403114196162992						205	0.2382981075745886	0.01344572319204319	107.0	1.4386923815486214	166	0.12023720391207118	0.04636460550336185	276.0	12.79663111892787	12	0.14499477679810774	0.043678339016725146	194.0	8.473597769244678	75	0.2012260702609831	0.01926897699634742	136.0	2.6205808715032495	234	-0.23299459437209924	0.007637033406777031	131.0	1.0004513762877911	92	0.26174627187344734	0.008869065779310858	99.0	0.878037512151775
3											235	0.13897215609376917	0.03899105440428076	222.0	8.656014077750328											220	-0.12710237376516031	0.013647456165354791	376.0	5.131443518173401						229	-0.10492744073185434	0.02997642158920792	428.0	12.82990844018099	195	0.18730206012923706	0.013063894058398343	175.0	2.28618146021971	267	-0.15645816115481348	0.02617532839115988	202	5.287416335014296						219	0.14178634967177434	0.04256894328082886	206.0	8.769202315850745						23	-0.23147702311561114	0.016441202553766313	107.0	1.7592086732529955											170	0.19130288985331376	0.02624014091171832	136.0	3.5686591639936918	45	0.2322278593643375	0.007844701151536355	131.0	1.0276558508512625	217	-0.25373870117948505	0.01126967310724369	99.0	1.1156976376171253
4											196	-0.13865948881409482	0.03943760897525074	222.0	8.755149192505664											139	-0.1243892363204587	0.01580681984211947	376.0	5.943364260636921						21	-0.10315373030099505	0.032882562725418465	428.0	14.073736846479104	86	0.18128329009320066	0.01635508047541663	175.0	2.8621390831979103	70	0.15481666311871448	0.027807995954971073	202	5.617215182904157																281	0.23106212331504494	0.01664072752884981	107.0	1.7805578455869295											260	0.18675103033357415	0.030098544607528012	136.0	4.09340206662381	182	-0.2302118047519026	0.008414783559657763	131.0	1.102336646315167	231	-0.2512822127468252	0.012111917909378758	99.0	1.199079873028497
5											80	-0.13779609768155912	0.04069316062130186	222.0	9.033881657929014											291	0.12005879243722803	0.019874750698467215	376.0	7.472906262623673						272	0.10223036708486996	0.034488344875837455	428.0	14.76101160685843	242	0.17755946160250546	0.018734692451983455	175.0	3.2785711790971046	121	-0.154458467149021	0.02817562419031172	202	5.691476086442968																206	0.22882437597763988	0.01775337973177776	107.0	1.8996116313002203											13	0.18321664278399438	0.03341767751938545	136.0	4.544804142636421	172	0.22907662428499267	0.008751637521268575	131.0	1.1464645152861832	250	0.24467134409809707	0.01465679094272274	99.0	1.4510223033295513
6											100	0.13573407763977363	0.043828481149294905	222.0	9.72992281514347											33	0.11753176797640764	0.02264670561267011	376.0	8.515161310363961						116	0.10043940312391511	0.03779374469016047	428.0	16.17572272738868	160	-0.17147577177280168	0.023269085990339684	175.0	4.072090048309445	105	-0.15423536189827367	0.028406698952818044	202	5.738153188469245																181	-0.22786530985438982	0.018249573526521647	107.0	1.9527043673378162											294	0.17196287564295273	0.04611593089710667	136.0	6.271766602006507	247	0.22522500565124426	0.00998498281670664	131.0	1.3080327489885697	23	0.24262886658833885	0.015531566665424112	99.0	1.5376250998769871
7											156	-0.1333242969730571	0.0477468151287801	222.0	10.599792958589182											210	-0.11623179954775925	0.024198775903851395	376.0	9.098739739848124						230	-0.09927644542728506	0.04008086988614717	428.0	17.154612311270988	218	-0.16544031756904587	0.02867065669712966	175.0	5.01736492199769	111	-0.15254157327749882	0.03021441112534114	202	6.10331104731891																296	0.22746120941615974	0.01846220036598833	107.0	1.9754554391607515											243	-0.17109729364997797	0.047240122654617134	136.0	6.42465668102793	82	-0.224415883794875	0.010262716142809724	131.0	1.3444158147080738	219	0.23771803415315598	0.017822015753467535	99.0	1.7643795595932859
8																										112	0.11366320602783189	0.027537040428467895	376.0	10.353927201103929						300	0.09623427261158117	0.046623132272041005	428.0	19.95470061243355	126	0.16228146022648085	0.03190166897499247	175.0	5.582792070623682	52	-0.1512464957795898	0.031661957010173956	202	6.395715316055139																137	-0.22713871067747624	0.018633420508484363	107.0	1.9937759944078268																185	0.22338472398992246	0.010626497951592482	131.0	1.3920712316586152	218	0.23479936494165815	0.01931688783090446	99.0	1.9123718952595417
