	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13
0	0	203_концепция-хаотичность	-0.1459756582591266	0.03675514201928658	206.0	7.571559255973036	161_холодное_отношение-тёплое_отношение	0.19380541523124076	0.004074505313725724	218.0	0.8882421583922079	95_доброта-злость	-0.25853054693635136	0.015013424954052638	88.0	1.321181395956632	107_мир-драка	-0.21919989135299425	0.002948693093539252	183.0	0.5396108361176831	140_шум-тишина	-0.13840618335602833	0.02318350815545249	270.0	6.259547201972172	17_полемика-консенсус	-0.2121616404168166	0.013150477004105574	136.0	1.788464872558358	213_обозрение-сокрытие	-0.17951960972434175	0.037215693295353486	136.0	5.061334288168075	250_быт-война	0.3868322735692906	0.002954073744947566	57.0	0.16838220346201127	199_уют-неуют	-0.3155712197577115	0.007346308243253373	71.0	0.5215878852709895	59_увядание-расцвет	0.3748211886424891	0.0009223605840537725	75	0.06917704380403293	225_кража-находка	0.3162866267093403	0.028516987412562082	48.0	1.3688153958029798	206_расслабление-напряжение	0.3506625821975719	0.04541710488524744	33.0	1.4987644612131654	41_развлечение-когнитивная-способность	-0.2380264380379971	0.014968345279414931	105.0	1.5716762543385678	288_радость-недовольство	0.3631427241016061	0.002947526744287715	65.0	0.19158923837870148
1	1	20_покой-беспокойство	0.14245123551480324	0.04159772282910026	206.0	8.569130902794656	93_учёба-отдых	-0.18550424141885286	0.006012945261627888	218.0	1.3108220670348796	227_иерархия-равенство	0.23509776119335	0.027462424982092545	88.0	2.416693398424144	151_забытье-сознание	-0.1990557195044016	0.007061728732080432	183.0	1.292296357970719	147_рассудительность-беспокойство	-0.12728617712734688	0.036940539971032166	270.0	9.973945792178682	164_устранение-дополнение	0.19167329572609015	0.02539030789370845	136.0	3.4530818735443485						263_влияние-зависимость	-0.3809609038509619	0.003460197861808237	57.0	0.19723127812306948	205_отдых-рабочий_процесс	0.2842817767639569	0.016275314412136473	71.0	1.1555473232616895	97_активность-пассивность	-0.3745465362086572	0.0009310429195565805	75	0.06982821896674354											46_идея-реализация	0.21076649925434274	0.03174447024032221	105.0	3.3331693752338323	18_уменьшение-расширение	0.33548283997152145	0.006296467012104593	65.0	0.4092703557867986
2	2	80_сон-бодрствование	0.14019405266314028	0.044972471131578776	206.0	9.264329053105227	101_фиксация-пересмотр	-0.18450852892278374	0.006293771755613371	218.0	1.3720422427237149	148_усталость-бодрость	0.2335172026795961	0.028550900483263086	88.0	2.512479242527152	194_контроль-бесконтрольность	0.1654263427302049	0.02563174523698473	183.0	4.6906093783682055						184_правонарушение-соблюдение_закона	0.1742922819203175	0.04241970593980615	136.0	5.7690800078136375						160_победа-поражение	-0.3616298575861045	0.0057101686336644975	57.0	0.3254796121188764	204_столкновение-мир	0.26930666759349386	0.02314246083410568	71.0	1.6431147192215032	193_порядок-беспорядок	-0.3731495808820273	0.000976361988326061	75	0.07322714912445458											172_наука-быт	0.20434064652663894	0.037461740592931066	105.0	3.9334827622577615	109_убожество-роскошь	-0.32990255786167433	0.0072804624364743095	65.0	0.4732300583708301
3	3	118_покой-беспокойство	-0.13919625287366222	0.046535745545008916	206.0	9.586363582271838	52_близость-расстояние	0.1834064429747436	0.00661821786954207	218.0	1.4427714955601714	179_работа-искусство	0.230070514515826	0.03105160611197933	88.0	2.732541337854181																					127_начало-конец	0.3570631058402535	0.0063998844636358855	57.0	0.3647934144272455	298_очевидный-скрытый	0.2596660988859497	0.02875653254233384	71.0	2.0417138105057018	33_абстрактная_работа-конкретная_работа	-0.3719797404575175	0.0010158417956704527	75	0.07618813467528397																76_мир-война	0.3297795261711545	0.007303594782764609	65.0	0.4747336608796996
4	4	40_уклад_жизни-дисциплина	0.13909354043612615	0.0466992138761313	206.0	9.620038058483047	65_серьёзность-веселье	0.1726338320759476	0.010666029874113107	218.0	2.3251945125566573	72_недостаток-достоинство	0.22939642632794305	0.03156167755846165	88.0	2.7774276251446257																					275_жизненный_процесс-кончина	0.3556539592197792	0.006626927620810623	57.0	0.3777348743862055	246_чистота-беспорядок	-0.2497185407648666	0.03570993740105037	71.0	2.5354055554745765	66_курируемый-куратор	-0.3710603388452247	0.0010478790039273982	75	0.07859092529455486																261_болезнь-здоровье	0.328151730372274	0.007615765273321313	65.0	0.4950247427658853
5	5						70_единство-разрозренность	-0.16911249153884442	0.012398382809735986	218.0	2.7028474525224446	19_быстрое_явление-длительное_явление	-0.2285155129249273	0.03223887539199632	88.0	2.837021034495676																					258_конец-начало	-0.35307124741620866	0.007061383709050861	57.0	0.4024988714158991	235_процесс-итог	0.2383014613117416	0.045365033582488334	71.0	3.2209173843566723	89_апатия-взбудораженность	-0.3704252799219009	0.0010705396378080994	75	0.08029047283560746																249_порыв-покой	-0.3265408204700501	0.00793612600374728	65.0	0.5158481902435732
6	6						195_болезнь-работа	0.16168024679479068	0.01688526773282317	218.0	3.6809883657554514	200_природа-техника	0.22790870830218	0.03271243412099168	88.0	2.878694202647268																					289_недовольство-радость	0.3522475004281977	0.007205084991854927	57.0	0.4106898445357308	227_иерархия-равенство	0.2381563765386294	0.045500354446551435	71.0	3.2305251657051515	50_проблема-взаимовыручка	-0.36746878702415897	0.0011819900396618668	75	0.08864925297464002																282_путешествие-домоседство	-0.31688101082997383	0.010115529234080557	65.0	0.6575094002152362
7	7						190_погода-животное	0.15903304958563888	0.018795199462985628	218.0	4.097353482930867	220_власть-наука	0.2275989879678369	0.032956391228881325	88.0	2.9001624281415563																					296_равенство-иерархия	-0.3466814604685529	0.008244671234393852	57.0	0.4699462603604496	33_абстрактная_работа-конкретная_работа	-0.23655449459446445	0.04701666759357282	71.0	3.3381833991436705	189_наука-религия	0.36658711876741773	0.0012172010971028366	75	0.09129008228271276																86_доказательство-совпадение	0.3152299865772545	0.01053592519976598	65.0	0.6848351379847888
8	8						144_физический_труд-искусство	0.1583153452135364	0.019344300501053475	218.0	4.217057509229656	47_журналистика-литература	-0.2268882518592635	0.033522005134840945	88.0	2.9499364518660025																					177_изыскание-решение	0.3463648209346002	0.00830754654622673	57.0	0.4735301531349236	286_начало-конец	-0.2358570335613653	0.047689740443459035	71.0	3.385971571485592	115_наследство-собственность	0.3634909480587375	0.0013484951762741712	75	0.10113713822056282																134_физическое-абстрактное	-0.3144533996892751	0.010738854687768126	65.0	0.6980255547049282
