	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16
0	0	129_успех-беда	-0.1939001007717267	0.004056096824767029	218	0.8842291077992126	95_доброта-злость	0.25041785874901423	0.018614373757880887	88.0	1.638064890693518	246_чистота-беспорядок	0.1810253702325942	0.014191398856713769	183.0	2.5970259907786195	42_деструктивная_коммуникация-конструктивная_коммуникация	0.19507122673585411	0.03130444135358957	122.0	3.8191418451379273	94_проблема-решение_проблем	0.17625997905874902	0.04010620365946413	136.0	5.454443697687122	56_протест-мир	-0.344321307378401	0.004037916955863823	68.0	0.27457835299873995	28_неисправность-отлаженность	-0.2665731149746607	0.026821841331370503	69.0	1.8507070518645647	136_апатия-взбудораженность	-0.3642219641334004	0.005348427140721624	57.0	0.30486034702113257	211_больница-дом	0.3675103926666396	0.015332449895735291	43.0	0.6592953455166176	233_неопределенная_тема-часть_целого	0.23232057580680074	0.035703835811290184	82.0	2.927714536525796	253_соблюдение_закона-правонарушение	-0.30108928663811835	0.008666724902694978	75.0	0.6500043677021233	142_равенство-иерархия	0.3368207301713999	0.004356544486916461	70.0	0.30495811408415224	170_спокойствие-суматоха	0.43538579969519614	0.001982618699468868	48.0	0.09516569757450566	276_начало-конец	0.4088453437977272	0.018158326917600626	33.0	0.5992247882808206	188_страх-надёжность	-0.3698437141781177	0.03721160076297467	32.0	1.1907712244151891	167_дополнение-устранение	0.2518833990438875	0.042958972823095416	65.0	2.7923332335012017	33_абстрактная_работа-конкретная_работа	0.4728367684458918	0.003123358504331262	37.0	0.1155642646602567
1	1	64_человеческое_взаимодействие-механическое_взаимодействие	0.182622868111432	0.006857896993974262	218	1.4950215446863893	77_природные_процессы-военные_процессы	0.2471053851511509	0.020285328303255305	88.0	1.7851088906864667	184_правонарушение-соблюдение_закона	0.1765414055801508	0.016818504628755976	183.0	3.0777863470623434											197_проблема-решение_проблем	-0.3197951046559232	0.007851051960442702	68.0	0.5338715333101037	206_расслабление-напряжение	-0.2593023044215513	0.031434852748009376	69.0	2.169004839612647	161_холодное_отношение-тёплое_отношение	-0.27588542358466983	0.0377789012580105	57.0	2.1533973717065984	204_столкновение-мир	-0.3437148644861809	0.02402562714915862	43.0	1.0331019674138209	54_реальность-когнитивные_процессы	-0.22136988635395224	0.045642286625876834	82.0	3.7426675033219	73_наука-физический_труд	0.2940492057549349	0.010447665134953252	75.0	0.7835748851214939	229_закрытие-открытие	-0.31985559828467297	0.0069501293542358405	70.0	0.4865090547965089	161_холодное_отношение-тёплое_отношение	0.4260645529892717	0.002532767748901553	48.0	0.12157285194727455	202_отставание-лидерство	-0.40619283191099387	0.018998098890972	33.0	0.6269372634020761	196_неуют-уют	-0.3650245339171295	0.039953600672148086	32.0	1.278515221508739						35_кончина-вечное_искусство	-0.4219468634220263	0.009288653539904471	37.0	0.3436801809764653
2	2	199_уют-неуют	0.18081785148006504	0.0074397167994167184	218	1.6218582622728444	237_низшие_слои-высшие_слои	-0.2309506970831354	0.030396064812725467	88.0	2.6748537035198408	107_мир-драка	0.16398822588588938	0.026539179755305998	183.0	4.856669895220997											14_изобилие-недостаток	-0.30319608666724474	0.011959710487580195	68.0	0.8132603131554534	222_религия-повседневность	0.2532327253803336	0.03577883636790704	69.0	2.4687397093855856	274_единство-разрозренность	0.2743560908047701	0.03889784204593072	57.0	2.2171769966180506	21_получение_результата-разработка	-0.3255238767744008	0.033163408172264534	43.0	1.4260265514073749	285_опасность-безопасность	0.22080806458410435	0.04620839440861666	82.0	3.7890883415065666	260_быт-искусство	-0.2779903200147421	0.01574228079216351	75.0	1.1806710594122631	59_увядание-расцвет	-0.30836086363163817	0.009401501035126074	70.0	0.6581050724588251	147_рассудительность-беспокойство	0.3874837252186436	0.006508444721626613	48.0	0.3124053466380774	61_единство-разрозренность	-0.4019561293720821	0.020406207149929433	33.0	0.6734048359476712	144_физический_труд-искусство	0.3596709588968096	0.04318790865021644	32.0	1.382013076806926						74_тёплые_чувства-холодные_чувства	0.4052196253407976	0.012845712820356864	37.0	0.475291374353204
3	3	208_неживая_природа-живая_природа	0.17576877800852792	0.00930737923815623	218	2.0290086739180584	101_фиксация-пересмотр	-0.2288141007047873	0.03200798007199919	88.0	2.8167022463359284																212_наука-быт	0.2820905331372784	0.0197744908638263	68.0	1.3446653787401883	204_столкновение-мир	-0.2457216095479256	0.04183620638463706	69.0	2.8866982405399577	11_приобретение-постоянное_местонахождение	0.2705776831498822	0.041780095671628485	57.0	2.381465453282824	167_дополнение-устранение	-0.3188766795832323	0.0371464080122015	43.0	1.5972955445246646	294_испытание-безмятежность	0.21751998562116465	0.049639007715266234	82.0	4.07039863265183	247_радостное_событие_грустное_событие	0.2768379259016738	0.01619839754017231	75.0	1.2148798155129232	37_низ-верх	-0.2728545715362823	0.022294609174918063	70.0	1.5606226422442644	290_статистика-отсутствие_системы	0.3830070790211829	0.007211609490839494	48.0	0.3461572555602957	41_развлечение-когнитивная-способность	0.3906516449757502	0.024591888435004854	33.0	0.8115323183551602	190_погода-животное	0.35312434477209953	0.047424663042941816	32.0	1.5175892173741383						167_дополнение-устранение	-0.3889285838783837	0.017355952606244812	37.0	0.642170246431058
4	4	233_неопределенная_тема-часть_целого	-0.17038089226451633	0.011747780177450843	218	2.561016078684284	9_трудности-отсутствие_проблем	0.21787329727727844	0.04143246217116831	88.0	3.6460566710628113																192_производство-наука	0.27995181647025336	0.02076752045534806	68.0	1.4121913909636683	42_деструктивная_коммуникация-конструктивная_коммуникация	-0.2414734027461766	0.045622337095993434	69.0	3.1479412596235465	175_нематериальное-материальное	0.2610646276858788	0.0498218876815084	57.0	2.8398475978459787	45_наука-быт	0.3149576893992653	0.03967289226378815	43.0	1.7059343673428906						296_равенство-иерархия	-0.2767586479202462	0.016230189590335113	75.0	1.2172642192751335	92_жизнь-смерть	-0.2594199766070597	0.03010867036806488	70.0	2.107606925764542	292_экстрим-повседневность	-0.3719001953484576	0.009247275392196276	48.0	0.4438692188254212	283_героизм-малодушие	-0.3838035633845036	0.02745459775063588	33.0	0.906001725770984											286_начало-конец	0.3812772740392505	0.019893899078188382	37.0	0.73607426589297
5	5	291_работа-санкция	-0.17022950994106764	0.011823815034647607	218	2.5775916775531784	200_природа-техника	-0.21142952309236768	0.04799174418130114	88.0	4.2232734879545																213_обозрение-сокрытие	-0.27024061166610874	0.025827722725530116	68.0	1.7562851453360475	298_очевидный-скрытый	-0.2412593102609734	0.04582037616384303	69.0	3.1616059553051694						143_неважность-значимость	0.31041604167941084	0.042774621507048825	43.0	1.8393087248030997						228_народ-власть	-0.2749962412637994	0.016950944046121408	75.0	1.271320803459106	249_порыв-покой	0.2593837645770683	0.030132499046716825	70.0	2.1092749332701777	99_благоразумие-безолаберность	-0.3563398092467739	0.012921726206782124	48.0	0.6202428579255419	104_неподвижность-подвижность	-0.380323700297624	0.029010739739649443	33.0	0.9573544114084316											30_стихийное_собрание-мероприятия	-0.3611423054086782	0.02808781893309909	37.0	1.0392493005246666
6	6	201_вирус-растение	-0.16950497428420874	0.012193760139130936	218	2.6582397103305437	193_порядок-беспорядок	-0.20963799479018294	0.04996055737442996	88.0	4.396529048949836																262_серьезность-шутка	-0.2679247387058084	0.02717752129658732	68.0	1.8480714481679383	266_мир-война	0.23830879460676785	0.04862247875100411	69.0	3.354951033819284						236_умственный_труд-физический_труд	0.3071513664571792	0.04512395261052921	43.0	1.940329962252756						295_прощение-мстительность	-0.2745444936777015	0.017140059773849647	75.0	1.2855044830387234	20_покой-беспокойство	0.2499522825365819	0.0369020760737258	70.0	2.5831453251608063	280_радость-недовольство	0.3460068691777823	0.015998765557108455	48.0	0.7679407467412058	114_церковь-мирская_жизнь	-0.3780541673515613	0.030063970139963557	33.0	0.9921110146187972											243_проблема-решение_проблем	-0.3549687695874705	0.031096295015729282	37.0	1.1505629155819834
7	7	210_спешка-неторопливость	0.16528329524721225	0.014558636382058938	218	3.173782731288848																					106_кончина-вечное_искусство	0.2677309885179956	0.02729309552747307	68.0	1.8559304958681688											205_отдых-рабочий_процесс	0.3054173758264994	0.046413722039971066	43.0	1.995790047718756						284_учеба-производство	-0.27450991357764026	0.01715461047950438	75.0	1.2865957859628283	81_религия-наука	-0.2481754220034746	0.038309602989846016	70.0	2.681672209289222	293_соблюдение_закона-правонарушение	-0.3195939002899899	0.02680986716389697	48.0	1.2868736238670546	205_отдых-рабочий_процесс	-0.3716535772454173	0.033203588073946064	33.0	1.09571840644022											46_идея-реализация	0.33128570235663	0.04518505535493159	37.0	1.6718470481324688
8	8	239_радость-недовольство	0.1627623763720379	0.016154621901149833	218	3.521707574450664																					245_любовь-ненависть	-0.2672320833067756	0.02759260682799696	68.0	1.8762972643037936											279_соблюдение_закона-правонарушение	0.30350022841166896	0.047874336142306524	43.0	2.058596454119181						163_человек-инструмент	-0.2737396297414442	0.01748149435906265	75.0	1.3111120769296989	285_опасность-безопасность	-0.24348556096680365	0.04224027261814377	70.0	2.956819083270064	146_разум-чувство	0.313900164082124	0.02980424866029842	48.0	1.430603935694324	23_мир-конфликт	0.3666883626572972	0.03581852740923752	33.0	1.1820114045048382											49_развитие-откат	-0.33041603309811984	0.045786909257614125	37.0	1.6941156425317223
