Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
часто_ADV,-0.15,0.00056,21,1.3,fpi_lex_повествование.tsv
вспоминать_VERB,-0.14,0.00141,20,3.28,fpi_lex_повествование.tsv
твой_DET,-0.12,0.004,15,9.29,fpi_lex_повествование.tsv
как_ADV,-0.1,0.0148,56,34.38,fpi_lex_повествование.tsv
написать_VERB,-0.1,0.0153,11,35.54,fpi_lex_повествование.tsv
в_ADP,0.13,0.01906,15,44.27,fpi_lex_описание.tsv
мочь_VERB,0.1,0.02332,23,54.16,fpi_lex_повествование.tsv
стать_VERB,0.09,0.02668,12,61.97,fpi_lex_повествование.tsv
так_ADV,0.09,0.04201,86,97.58,fpi_lex_повествование.tsv
город_NOUN,-0.09,0.04589,18,106.6,fpi_lex_повествование.tsv
