Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
чтобы_SCONJ,-0.12,0.00498,11,11.37,fpi_lex_повествование.tsv
мой_DET,0.12,0.00525,17,11.98,fpi_lex_повествование.tsv
от_ADP,-0.14,0.00865,13,19.75,fpi_lex_описание.tsv
ну_PART,-0.11,0.01173,15,26.77,fpi_lex_повествование.tsv
не_PART,0.11,0.01343,62,30.64,fpi_lex_повествование.tsv
бы_AUX,0.1,0.01871,11,42.69,fpi_lex_повествование.tsv
у_ADP,0.13,0.01954,15,44.59,fpi_lex_описание.tsv
смотреть_VERB,0.13,0.02068,18,47.2,fpi_lex_описание.tsv
о_ADP,-0.12,0.02945,27,67.21,fpi_lex_описание.tsv
я_PRON,0.09,0.04374,88,99.82,fpi_lex_повествование.tsv
