Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
подруга_NOUN,-0.14,0.0015,10,7.48,fpi_lex_повествование.tsv
я_PRON,0.13,0.00189,215,9.42,fpi_lex_повествование.tsv
за_ADP,0.13,0.00312,108,15.57,fpi_lex_повествование.tsv
нормальный_ADJ,-0.12,0.00351,37,17.52,fpi_lex_повествование.tsv
где_ADV,0.12,0.00612,19,30.53,fpi_lex_повествование.tsv
прийти_VERB,-0.11,0.00816,11,40.75,fpi_lex_повествование.tsv
вернуться_VERB,-0.11,0.0082,15,40.94,fpi_lex_повествование.tsv
работать_VERB,-0.11,0.00852,44,42.53,fpi_lex_повествование.tsv
здесь_ADV,0.11,0.01003,32,50.07,fpi_lex_повествование.tsv
забыть_VERB,0.1,0.01428,22,71.26,fpi_lex_повествование.tsv
прийтись_VERB,-0.1,0.01464,12,73.08,fpi_lex_повествование.tsv
учёба_NOUN,0.1,0.01498,80,74.78,fpi_lex_повествование.tsv
бесить_VERB,0.1,0.01521,11,75.91,fpi_lex_повествование.tsv
работа_NOUN,-0.1,0.01739,54,86.79,fpi_lex_повествование.tsv
наверно_ADV,0.1,0.01858,13,92.73,fpi_lex_повествование.tsv
за_ADP,-0.13,0.02229,10,111.29,fpi_lex_описание.tsv
пора_NOUN,-0.1,0.02397,19,119.67,fpi_lex_повествование.tsv
постоянно_ADV,0.1,0.02557,10,127.66,fpi_lex_повествование.tsv
они_PRON,0.1,0.02567,78,128.13,fpi_lex_повествование.tsv
море_NOUN,-0.09,0.0267,23,133.3,fpi_lex_повествование.tsv
отношение_NOUN,0.09,0.02701,10,134.85,fpi_lex_повествование.tsv
хотя_SCONJ,0.09,0.02711,28,135.32,fpi_lex_повествование.tsv
интересный_ADJ,-0.09,0.02825,60,141.02,fpi_lex_повествование.tsv
сейчас_ADV,-0.09,0.03216,88,160.52,fpi_lex_повествование.tsv
друг_NOUN,-0.09,0.03252,50,162.35,fpi_lex_повествование.tsv
вечер_NOUN,-0.09,0.03299,17,164.68,fpi_lex_повествование.tsv
хотеться_VERB,0.09,0.03546,54,177.02,fpi_lex_повествование.tsv
ли_PART,0.09,0.03919,18,195.66,fpi_lex_повествование.tsv
видеть_VERB,0.11,0.03959,58,197.63,fpi_lex_описание.tsv
парень_NOUN,0.09,0.03962,13,197.81,fpi_lex_повествование.tsv
два_NUM,0.11,0.04144,14,206.85,fpi_lex_описание.tsv
всего_PRON,-0.09,0.04208,33,210.04,fpi_lex_повествование.tsv
