Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
часто_ADV,-0.13,0.00181,21,4.21,fpi_lex_повествование.tsv
первый_ADJ,0.12,0.00621,19,14.42,fpi_lex_повествование.tsv
будет_AUX,-0.11,0.00788,15,18.31,fpi_lex_повествование.tsv
вспоминать_VERB,-0.1,0.01774,20,41.2,fpi_lex_повествование.tsv
вот_PART,0.1,0.01976,32,45.89,fpi_lex_повествование.tsv
школа_NOUN,0.09,0.03087,11,71.72,fpi_lex_повествование.tsv
человек_NOUN,-0.09,0.03184,15,73.97,fpi_lex_повествование.tsv
твой_DET,-0.09,0.03393,15,78.83,fpi_lex_повествование.tsv
не_PART,0.09,0.03403,219,79.06,fpi_lex_повествование.tsv
говорить_VERB,0.09,0.03406,10,79.13,fpi_lex_повествование.tsv
интересный_ADJ,0.09,0.03989,15,92.65,fpi_lex_повествование.tsv
такой_DET,0.08,0.04863,25,112.98,fpi_lex_повествование.tsv
