Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
не_PART,0.13,0.00311,160,6.36,fpi_lex_повествование.tsv
учиться_VERB,0.13,0.00317,22,6.49,fpi_lex_повествование.tsv
нравиться_VERB,0.11,0.0096,39,19.66,fpi_lex_повествование.tsv
же_PART,-0.11,0.01358,21,27.82,fpi_lex_повествование.tsv
здесь_ADV,0.1,0.01646,20,33.72,fpi_lex_повествование.tsv
потому_ADV,0.1,0.02188,12,44.82,fpi_lex_повествование.tsv
жизнь_NOUN,-0.1,0.02358,16,48.32,fpi_lex_повествование.tsv
часто_ADV,0.1,0.02456,18,50.33,fpi_lex_повествование.tsv
по_ADP,0.09,0.02787,110,57.1,fpi_lex_повествование.tsv
хотеть_VERB,-0.09,0.03032,58,62.14,fpi_lex_повествование.tsv
хватать_VERB,0.09,0.03092,31,63.36,fpi_lex_повествование.tsv
думать_VERB,-0.09,0.04137,16,84.76,fpi_lex_повествование.tsv
