Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
как_ADV,-0.12,0.00515,10,6.44,fpi_lex_повествование.tsv
и_CCONJ,0.15,0.0053,30,6.63,fpi_lex_описание.tsv
последний_ADJ,-0.11,0.00773,15,9.66,fpi_lex_повествование.tsv
не_PART,0.14,0.00973,20,12.16,fpi_lex_описание.tsv
это_PRON,0.11,0.0107,22,13.37,fpi_lex_повествование.tsv
думать_VERB,-0.09,0.03053,10,38.17,fpi_lex_повествование.tsv
друг_NOUN,-0.09,0.03307,23,41.33,fpi_lex_повествование.tsv
что_SCONJ,0.12,0.03459,21,43.24,fpi_lex_описание.tsv
я_PRON,0.09,0.03519,168,43.99,fpi_lex_повествование.tsv
лето_NOUN,-0.09,0.03893,13,48.66,fpi_lex_повествование.tsv
она_PRON,0.11,0.04403,15,55.03,fpi_lex_описание.tsv
