Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
я_PRON,0.13,0.00274,215,13.67,fpi_lex_повествование.tsv
здесь_ADV,0.12,0.00517,32,25.81,fpi_lex_повествование.tsv
поступление_NOUN,0.12,0.00607,10,30.29,fpi_lex_повествование.tsv
интересный_ADJ,-0.12,0.00683,60,34.1,fpi_lex_повествование.tsv
прийти_VERB,-0.11,0.00847,11,42.29,fpi_lex_повествование.tsv
то_SCONJ,0.11,0.00891,48,44.48,fpi_lex_повествование.tsv
начать_VERB,-0.11,0.00944,26,47.14,fpi_lex_повествование.tsv
сама_ADJ,0.11,0.01092,17,54.49,fpi_lex_повествование.tsv
очень_ADV,0.1,0.0226,232,112.8,fpi_lex_повествование.tsv
происходить_VERB,0.1,0.02268,10,113.23,fpi_lex_повествование.tsv
где_ADV,0.1,0.0231,19,115.3,fpi_lex_повествование.tsv
под_ADP,-0.1,0.02475,12,123.54,fpi_lex_повествование.tsv
совсем_ADV,0.1,0.02581,26,128.83,fpi_lex_повествование.tsv
нормальный_ADJ,-0.1,0.02582,37,128.91,fpi_lex_повествование.tsv
подруга_NOUN,-0.09,0.0262,10,130.78,fpi_lex_повествование.tsv
всего_PRON,-0.09,0.02775,33,138.53,fpi_lex_повествование.tsv
момент_NOUN,-0.09,0.02786,18,139.09,fpi_lex_повествование.tsv
друг_NOUN,-0.09,0.02894,50,144.45,fpi_lex_повествование.tsv
недавно_ADV,0.09,0.02968,52,148.18,fpi_lex_повествование.tsv
поэтому_ADV,-0.09,0.02978,14,148.67,fpi_lex_повествование.tsv
до_ADP,-0.09,0.03938,29,196.57,fpi_lex_повествование.tsv
вопрос_NOUN,-0.09,0.03991,13,199.23,fpi_lex_повествование.tsv
весёлый_ADJ,0.09,0.04464,27,222.85,fpi_lex_повествование.tsv
у_ADP,0.11,0.04774,38,238.31,fpi_lex_описание.tsv
о_ADP,-0.11,0.0483,18,241.1,fpi_lex_описание.tsv
они_PRON,0.08,0.0492,78,245.61,fpi_lex_повествование.tsv
