Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
подруга_NOUN,-0.14,0.00151,13,3.51,fpi_lex_повествование.tsv
у_ADP,-0.12,0.0037,186,8.6,fpi_lex_повествование.tsv
картина_NOUN,0.14,0.00922,17,21.42,fpi_lex_описание.tsv
давно_ADV,-0.11,0.01111,85,25.81,fpi_lex_повествование.tsv
первый_ADJ,-0.11,0.01274,19,29.6,fpi_lex_повествование.tsv
сегодня_ADV,-0.1,0.0189,11,43.89,fpi_lex_повествование.tsv
весёлый_ADJ,-0.09,0.02644,25,61.43,fpi_lex_повествование.tsv
не_PART,-0.09,0.03253,219,75.56,fpi_lex_повествование.tsv
помнить_VERB,-0.09,0.03444,20,80.01,fpi_lex_повествование.tsv
где_ADV,-0.09,0.03651,13,84.8,fpi_lex_повествование.tsv
же_PART,-0.09,0.0439,33,101.99,fpi_lex_повествование.tsv
был_AUX,-0.08,0.04669,11,108.45,fpi_lex_повествование.tsv
друг_PRON,-0.08,0.04783,12,111.11,fpi_lex_повествование.tsv
