Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
ты_PRON,-0.13,0.00175,196,3.59,fpi_lex_повествование.tsv
думать_VERB,0.13,0.0033,16,6.76,fpi_lex_повествование.tsv
в_ADP,-0.12,0.00336,127,6.89,fpi_lex_повествование.tsv
он_PRON,-0.15,0.00705,16,14.45,fpi_lex_описание.tsv
теперь_ADV,0.11,0.00857,11,17.56,fpi_lex_повествование.tsv
что_PRON,-0.11,0.00992,28,20.33,fpi_lex_повествование.tsv
сложный_ADJ,0.11,0.01042,10,21.34,fpi_lex_повествование.tsv
хватать_VERB,-0.11,0.01187,31,24.33,fpi_lex_повествование.tsv
не_PART,-0.1,0.01453,160,29.77,fpi_lex_повествование.tsv
по_ADP,-0.1,0.02108,110,43.18,fpi_lex_повествование.tsv
она_PRON,0.1,0.025,21,51.23,fpi_lex_повествование.tsv
правда_ADV,-0.09,0.03831,10,78.5,fpi_lex_повествование.tsv
скучать_VERB,-0.09,0.04555,88,93.33,fpi_lex_повествование.tsv
