Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
а_CCONJ,-0.14,0.00097,25,1.21,fpi_lex_повествование.tsv
последний_ADJ,0.14,0.00112,15,1.4,fpi_lex_повествование.tsv
человек_NOUN,-0.13,0.00288,14,3.6,fpi_lex_повествование.tsv
я_PRON,-0.13,0.00288,168,3.6,fpi_lex_повествование.tsv
так_ADV,-0.12,0.00584,21,7.3,fpi_lex_повествование.tsv
не_PART,-0.14,0.00953,20,11.91,fpi_lex_описание.tsv
у_ADP,-0.1,0.02119,143,26.49,fpi_lex_повествование.tsv
все_PRON,-0.1,0.02171,155,27.14,fpi_lex_повествование.tsv
все_PRON,-0.12,0.02719,18,33.98,fpi_lex_описание.tsv
недавно_ADV,-0.09,0.02995,10,37.44,fpi_lex_повествование.tsv
