Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
мой_DET,-0.13,0.00311,98,15.53,fpi_lex_повествование.tsv
по_ADP,-0.12,0.00659,179,32.9,fpi_lex_повествование.tsv
очень_ADV,-0.11,0.00729,232,36.39,fpi_lex_повествование.tsv
весёлый_ADJ,-0.11,0.00955,27,47.68,fpi_lex_повествование.tsv
поступление_NOUN,-0.11,0.01108,10,55.29,fpi_lex_повествование.tsv
понравиться_VERB,-0.11,0.01123,47,56.04,fpi_lex_повествование.tsv
того_PRON,0.11,0.01159,22,57.84,fpi_lex_повествование.tsv
а_CCONJ,-0.11,0.0116,184,57.89,fpi_lex_повествование.tsv
запомниться_VERB,0.1,0.01849,10,92.31,fpi_lex_повествование.tsv
то_SCONJ,-0.1,0.01922,48,95.97,fpi_lex_повествование.tsv
уже_ADV,0.1,0.02009,126,100.29,fpi_lex_повествование.tsv
хотя_SCONJ,-0.1,0.02017,28,100.67,fpi_lex_повествование.tsv
наверное_ADV,0.1,0.02233,18,111.49,fpi_lex_повествование.tsv
школа_NOUN,-0.1,0.02382,29,118.9,fpi_lex_повествование.tsv
под_ADP,0.1,0.02427,12,121.15,fpi_lex_повествование.tsv
где_ADV,-0.09,0.02855,19,142.51,fpi_lex_повествование.tsv
так_ADV,0.12,0.02949,19,147.2,fpi_lex_описание.tsv
много_ADV,0.09,0.0305,62,152.24,fpi_lex_повествование.tsv
часто_ADV,0.09,0.03106,24,155.06,fpi_lex_повествование.tsv
ведь_SCONJ,-0.09,0.03168,10,158.13,fpi_lex_повествование.tsv
говорить_VERB,-0.09,0.03284,37,163.94,fpi_lex_повествование.tsv
напоминать_VERB,-0.12,0.0365,10,182.22,fpi_lex_описание.tsv
с_ADP,-0.12,0.03706,15,184.98,fpi_lex_описание.tsv
красивый_ADJ,0.09,0.03775,22,188.43,fpi_lex_повествование.tsv
почти_ADV,0.09,0.04004,13,199.9,fpi_lex_повествование.tsv
мама_NOUN,-0.09,0.04044,19,201.87,fpi_lex_повествование.tsv
соскучиться_VERB,-0.09,0.04193,107,209.33,fpi_lex_повествование.tsv
у_ADP,-0.11,0.04201,38,209.69,fpi_lex_описание.tsv
рассказать_VERB,-0.09,0.0421,94,210.17,fpi_lex_повествование.tsv
прийтись_VERB,0.09,0.0431,12,215.16,fpi_lex_повествование.tsv
рисовать_VERB,-0.09,0.04406,11,219.97,fpi_lex_повествование.tsv
пожилой_ADJ,0.11,0.0453,12,226.15,fpi_lex_описание.tsv
поэтому_ADV,0.08,0.04918,14,245.52,fpi_lex_повествование.tsv
