Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
но_CCONJ,0.12,0.00437,26,6.92,fpi_lex_повествование.tsv
по_ADP,0.13,0.01632,19,25.84,fpi_lex_описание.tsv
он_PRON,0.1,0.01838,17,29.09,fpi_lex_повествование.tsv
жизнь_NOUN,0.1,0.01984,47,31.41,fpi_lex_повествование.tsv
ты_PRON,0.09,0.02645,88,41.88,fpi_lex_повествование.tsv
мнение_NOUN,0.12,0.02792,17,44.2,fpi_lex_описание.tsv
ждать_VERB,0.09,0.0319,11,50.5,fpi_lex_повествование.tsv
милый_ADJ,0.09,0.04367,10,69.12,fpi_lex_повествование.tsv
что_SCONJ,0.08,0.04648,32,73.57,fpi_lex_повествование.tsv
я_PRON,0.08,0.04959,98,78.5,fpi_lex_повествование.tsv
