Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
не_PART,0.13,0.00298,62,6.79,fpi_lex_повествование.tsv
что_SCONJ,0.12,0.00499,39,11.38,fpi_lex_повествование.tsv
только_PART,-0.12,0.00675,15,15.39,fpi_lex_повествование.tsv
по_ADP,0.14,0.01291,16,29.47,fpi_lex_описание.tsv
и_CCONJ,0.1,0.01389,76,31.7,fpi_lex_повествование.tsv
от_ADP,-0.13,0.01842,13,42.04,fpi_lex_описание.tsv
её_DET,-0.13,0.02182,12,49.79,fpi_lex_описание.tsv
весь_DET,-0.12,0.0344,16,78.5,fpi_lex_описание.tsv
мой_DET,0.09,0.03935,17,89.79,fpi_lex_повествование.tsv
бы_AUX,0.08,0.04822,11,110.04,fpi_lex_повествование.tsv
