Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
поживать_VERB,0.14,0.00096,16,4.8,fpi_lex_повествование.tsv
весёлый_ADJ,-0.11,0.0082,27,40.92,fpi_lex_повествование.tsv
по_ADP,-0.11,0.0107,179,53.43,fpi_lex_повествование.tsv
встречаться_VERB,0.11,0.01213,14,60.58,fpi_lex_повествование.tsv
к_ADP,-0.13,0.01946,10,97.16,fpi_lex_описание.tsv
поехать_VERB,-0.1,0.02025,30,101.09,fpi_lex_повествование.tsv
эмоция_NOUN,0.09,0.02653,12,132.45,fpi_lex_повествование.tsv
под_ADP,0.09,0.02749,12,137.21,fpi_lex_повествование.tsv
ответ_NOUN,-0.09,0.02973,21,148.4,fpi_lex_повествование.tsv
бесить_VERB,0.09,0.03139,11,156.69,fpi_lex_повествование.tsv
два_NUM,-0.09,0.04177,27,208.53,fpi_lex_повествование.tsv
много_ADV,0.09,0.04489,62,224.09,fpi_lex_повествование.tsv
красивый_ADJ,0.09,0.04545,22,226.89,fpi_lex_повествование.tsv
правда_ADV,-0.08,0.04853,19,242.25,fpi_lex_повествование.tsv
хорошо_ADV,0.08,0.04998,33,249.49,fpi_lex_повествование.tsv
