Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
тоже_ADV,-0.17,5e-05,15,0.06,fpi_lex_повествование.tsv
все_PRON,-0.12,0.00573,155,7.16,fpi_lex_повествование.tsv
у_ADP,-0.11,0.00856,143,10.7,fpi_lex_повествование.tsv
учиться_VERB,-0.1,0.01678,26,20.97,fpi_lex_повествование.tsv
ты_PRON,-0.1,0.018,61,22.5,fpi_lex_повествование.tsv
я_PRON,-0.1,0.02098,168,26.23,fpi_lex_повествование.tsv
на_ADP,-0.1,0.02489,37,31.12,fpi_lex_повествование.tsv
в_ADP,-0.09,0.03849,86,48.11,fpi_lex_повествование.tsv
как_SCONJ,0.09,0.04189,28,52.36,fpi_lex_повествование.tsv
как_ADV,-0.09,0.04438,10,55.48,fpi_lex_повествование.tsv
