Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
любимый_ADJ,-0.14,0.00067,25,3.37,fpi_lex_повествование.tsv
институт_NOUN,-0.14,0.00085,25,4.23,fpi_lex_повествование.tsv
хотеться_VERB,0.13,0.00265,54,13.22,fpi_lex_повествование.tsv
стараться_VERB,-0.12,0.00479,17,23.92,fpi_lex_повествование.tsv
измениться_VERB,-0.12,0.00514,20,25.68,fpi_lex_повествование.tsv
свой_DET,-0.15,0.0055,19,27.48,fpi_lex_описание.tsv
этот_DET,0.11,0.01007,132,50.28,fpi_lex_повествование.tsv
работать_VERB,-0.11,0.01278,44,63.81,fpi_lex_повествование.tsv
сейчас_ADV,-0.11,0.01304,88,65.1,fpi_lex_повествование.tsv
а_CCONJ,0.1,0.01527,184,76.2,fpi_lex_повествование.tsv
такой_DET,0.1,0.01766,64,88.15,fpi_lex_повествование.tsv
устроиться_VERB,-0.1,0.01947,12,97.2,fpi_lex_повествование.tsv
занятие_NOUN,-0.1,0.0226,11,112.82,fpi_lex_повествование.tsv
нормальный_ADJ,-0.1,0.0245,37,122.3,fpi_lex_повествование.tsv
прошлый_ADJ,-0.09,0.02769,11,138.25,fpi_lex_повествование.tsv
мочь_VERB,0.09,0.02931,60,146.32,fpi_lex_повествование.tsv
шок_NOUN,-0.09,0.02935,10,146.5,fpi_lex_повествование.tsv
также_ADV,-0.09,0.02942,21,146.88,fpi_lex_повествование.tsv
подруга_NOUN,-0.09,0.03602,10,179.84,fpi_lex_повествование.tsv
не_PART,0.09,0.0409,358,204.17,fpi_lex_повествование.tsv
сторона_NOUN,-0.11,0.04336,12,216.45,fpi_lex_описание.tsv
совсем_ADV,0.09,0.04452,26,222.23,fpi_lex_повествование.tsv
давать_VERB,0.09,0.04611,23,230.19,fpi_lex_повествование.tsv
что_PRON,0.08,0.04636,175,231.44,fpi_lex_повествование.tsv
