Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
помнить_VERB,-0.25,0.00025,10,0.6,big5_lex_повествование.tsv
найти_VERB,-0.25,0.00038,11,0.92,big5_lex_повествование.tsv
когда_SCONJ,-0.24,0.00063,10,1.53,big5_lex_повествование.tsv
-_PRON,0.2,0.0049,10,11.92,big5_lex_повествование.tsv
там_ADV,-0.18,0.01205,23,29.31,big5_lex_повествование.tsv
видеться_VERB,0.17,0.01633,16,39.71,big5_lex_повествование.tsv
она_PRON,-0.15,0.01891,26,46.0,big5_lex_описание.tsv
из_ADP,0.16,0.02274,14,55.3,big5_lex_повествование.tsv
чтобы_SCONJ,-0.15,0.03739,15,90.94,big5_lex_повествование.tsv
за_ADP,0.14,0.04117,40,100.12,big5_lex_повествование.tsv
