Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
с_ADP,-3.44,0.00065,0,12,12,0.48,fpi_lex_повествование.tsv
и_CCONJ,-3.41,0.00071,2,24,27,0.52,fpi_lex_повествование.tsv
соскучиться_VERB,-3.15,0.00179,0,11,11,1.31,fpi_lex_повествование.tsv
девушка_NOUN,-3.03,0.00268,0,12,12,1.96,fpi_lex_описание.tsv
недавно_ADV,-2.95,0.00334,0,10,10,2.45,fpi_lex_повествование.tsv
она_PRON,-2.64,0.00879,2,14,16,6.43,fpi_lex_описание.tsv
он_PRON,-2.45,0.01479,1,13,15,10.82,fpi_lex_повествование.tsv
в_ADP,-2.4,0.01678,4,23,27,12.28,fpi_lex_повествование.tsv
я_PRON,-2.39,0.01716,9,40,49,12.56,fpi_lex_повествование.tsv
очень_ADV,-2.31,0.02101,2,17,20,15.38,fpi_lex_повествование.tsv
он_PRON,-2.23,0.02637,1,9,10,19.3,fpi_lex_описание.tsv
