Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
очень_ADV,-3.61,0.00033,3,37,40,0.44,fpi_lex_повествование.tsv
произойти_VERB,-3.13,0.00213,1,13,14,1.5,big5_lex_повествование.tsv
наш_DET,-2.84,0.00468,1,11,12,6.18,fpi_lex_повествование.tsv
проводить_VERB,-2.81,0.0052,3,23,28,6.87,fpi_lex_повествование.tsv
тот_DET,-2.51,0.01242,3,17,20,16.42,fpi_lex_повествование.tsv
в_ADP,-2.29,0.02331,11,34,45,16.39,big5_lex_повествование.tsv
на_ADP,2.23,0.02626,32,43,75,34.71,fpi_lex_повествование.tsv
что_PRON,-2.09,0.03861,2,9,11,27.14,big5_lex_повествование.tsv
но_CCONJ,-2.07,0.03952,2,12,14,52.24,fpi_lex_описание.tsv
очень_ADV,-2.03,0.04338,3,14,17,30.49,big5_lex_повествование.tsv
