Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
что_PRON,-3.62,0.00035,2,23,25,0.38,fpi_lex_описание.tsv
на_ADP,-3.0,0.00315,1,12,13,1.78,big5_lex_повествование.tsv
этот_DET,-2.76,0.00614,1,9,10,6.73,fpi_lex_повествование.tsv
изобразить_VERB,-2.75,0.00643,1,11,12,7.05,fpi_lex_описание.tsv
не_PART,-2.58,0.01028,4,33,37,11.27,fpi_lex_описание.tsv
что_SCONJ,-2.57,0.0106,9,41,50,11.62,fpi_lex_повествование.tsv
но_CCONJ,-2.55,0.0117,2,12,14,6.61,big5_lex_повествование.tsv
я_PRON,-2.46,0.01478,10,53,63,16.2,fpi_lex_описание.tsv
то_PRON,-2.42,0.01615,2,14,17,17.7,fpi_lex_описание.tsv
с_ADP,-2.33,0.02016,4,18,22,22.09,fpi_lex_повествование.tsv
-_PRON,-2.06,0.04061,2,12,15,44.51,fpi_lex_описание.tsv
приехать_VERB,2.05,0.04148,7,3,10,45.47,fpi_lex_повествование.tsv
