Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
а_CCONJ,-4.22,3e-05,13,69,82,0.04,fpi_lex_повествование.tsv
я_PRON,-4.04,6e-05,18,88,106,0.09,fpi_lex_повествование.tsv
на_ADP,-3.45,0.00074,1,16,17,0.5,big5_lex_повествование.tsv
она_PRON,-3.29,0.00115,0,13,13,1.64,fpi_lex_описание.tsv
в_ADP,-3.27,0.00124,0,11,11,1.76,fpi_lex_описание.tsv
я_PRON,-3.19,0.0016,0,10,10,2.27,fpi_lex_описание.tsv
он_PRON,-2.96,0.00339,0,10,10,4.82,fpi_lex_описание.tsv
очень_ADV,-2.93,0.00349,2,28,30,4.97,fpi_lex_повествование.tsv
и_CCONJ,-2.73,0.00666,10,51,61,9.47,fpi_lex_повествование.tsv
в_ADP,-2.66,0.00814,11,52,63,11.58,fpi_lex_повествование.tsv
пока_ADV,-2.4,0.01659,1,9,10,23.61,fpi_lex_повествование.tsv
не_PART,-2.3,0.02227,2,17,19,31.69,fpi_lex_описание.tsv
к_ADP,-2.28,0.02303,1,12,14,32.77,fpi_lex_повествование.tsv
будет_AUX,-2.25,0.02488,1,9,10,35.41,fpi_lex_повествование.tsv
мы_PRON,-2.04,0.04154,5,32,37,59.11,fpi_lex_повествование.tsv
