Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
и_CCONJ,-4.84,0.0,8,57,65,0.0,fpi_lex_повествование.tsv
очень_ADV,-4.68,0.0,4,47,51,0.0,fpi_lex_повествование.tsv
ответ_NOUN,-4.25,3e-05,17,94,111,0.02,fpi_lex_повествование.tsv
я_PRON,-4.17,4e-05,12,66,78,0.03,fpi_lex_повествование.tsv
скучать_VERB,-4.02,7e-05,3,31,34,0.05,fpi_lex_повествование.tsv
встреча_NOUN,-3.72,0.00022,3,32,35,0.17,fpi_lex_повествование.tsv
нетерпение_NOUN,-3.69,0.00025,5,51,56,0.19,fpi_lex_повествование.tsv
написать_VERB,-3.48,0.00056,0,13,13,0.43,fpi_lex_повествование.tsv
любить_VERB,-3.4,0.00073,2,17,19,0.56,fpi_lex_повествование.tsv
с_ADP,-3.37,0.00081,14,65,79,0.63,fpi_lex_повествование.tsv
наш_DET,-3.18,0.00157,2,16,18,1.21,fpi_lex_повествование.tsv
целый_ADJ,-2.78,0.00578,0,10,10,4.46,fpi_lex_повествование.tsv
с_ADP,-2.73,0.00691,2,19,21,3.19,big5_lex_повествование.tsv
буду_AUX,-2.65,0.0083,5,35,41,6.4,fpi_lex_повествование.tsv
буду_AUX,-2.49,0.01348,1,12,13,6.23,big5_lex_повествование.tsv
не_PART,-2.35,0.01997,3,17,20,9.22,big5_lex_повествование.tsv
что_SCONJ,-2.21,0.0274,2,20,22,21.12,fpi_lex_повествование.tsv
друг_NOUN,2.12,0.0351,7,3,10,27.06,fpi_lex_повествование.tsv
-_ADV,-2.09,0.03696,2,8,10,28.5,fpi_lex_повествование.tsv
твой_DET,-2.06,0.04051,3,22,25,18.72,big5_lex_повествование.tsv
целую_PROPN,-2.05,0.04056,1,9,10,31.27,fpi_lex_повествование.tsv
год_NOUN,-2.02,0.04338,1,11,12,33.45,fpi_lex_повествование.tsv
