Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
не_PART,-4.52,1e-05,2,33,36,0.01,fpi_lex_описание.tsv
в_ADP,-3.12,0.00205,3,20,23,1.46,big5_lex_описание.tsv
его_DET,-2.88,0.0043,0,10,10,5.29,fpi_lex_описание.tsv
все_PRON,-2.73,0.00729,1,10,11,5.19,big5_lex_повествование.tsv
этот_DET,-2.67,0.00794,1,24,25,9.78,fpi_lex_описание.tsv
такой_DET,-2.52,0.01229,1,12,13,15.13,fpi_lex_описание.tsv
не_PART,-2.46,0.01506,0,10,10,10.72,big5_lex_описание.tsv
твой_DET,-2.34,0.01986,3,22,25,24.45,fpi_lex_повествование.tsv
этот_DET,-2.21,0.02755,1,13,14,33.91,fpi_lex_повествование.tsv
на_ADP,-2.11,0.03571,5,21,26,43.96,fpi_lex_повествование.tsv
весь_DET,-2.08,0.03871,3,21,24,47.66,fpi_lex_описание.tsv
она_PRON,-1.99,0.04839,6,39,45,59.56,fpi_lex_описание.tsv
