Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
я_PRON,-3.61,0.00033,24,88,112,0.32,fpi_lex_повествование.tsv
не_PART,-3.21,0.00143,23,91,114,1.37,fpi_lex_повествование.tsv
и_CCONJ,-3.03,0.00265,1,21,22,2.54,fpi_lex_описание.tsv
он_PRON,-2.96,0.00334,0,10,10,3.2,fpi_lex_описание.tsv
в_ADP,-2.76,0.0066,1,10,11,2.84,big5_lex_повествование.tsv
как_ADV,-2.71,0.00704,1,19,20,6.75,fpi_lex_повествование.tsv
с_ADP,-2.7,0.00713,4,23,27,6.84,fpi_lex_повествование.tsv
даже_PART,-2.68,0.00766,2,17,19,7.35,fpi_lex_повествование.tsv
он_PRON,-2.63,0.0088,1,11,12,8.44,fpi_lex_повествование.tsv
но_CCONJ,-2.62,0.00922,1,11,12,8.84,fpi_lex_описание.tsv
и_CCONJ,-2.42,0.01589,7,38,45,15.24,fpi_lex_повествование.tsv
год_NOUN,-2.34,0.01995,1,9,10,19.13,fpi_lex_повествование.tsv
бы_AUX,-2.25,0.02488,1,10,11,23.86,fpi_lex_повествование.tsv
в_ADP,-2.22,0.02665,5,29,34,25.56,fpi_lex_повествование.tsv
что_SCONJ,-1.98,0.04865,3,17,20,46.66,fpi_lex_описание.tsv
