Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
она_PRON,-4.83,0.0,2,38,40,0.0,fpi_lex_описание.tsv
женщина_NOUN,-3.29,0.00117,0,12,12,1.54,fpi_lex_описание.tsv
с_ADP,-2.79,0.00538,2,19,21,7.11,fpi_lex_повествование.tsv
но_CCONJ,-2.75,0.00614,3,20,23,8.11,fpi_lex_повествование.tsv
с_ADP,-2.43,0.01573,1,13,14,20.78,fpi_lex_описание.tsv
и_PART,-2.27,0.02386,1,11,12,31.52,fpi_lex_описание.tsv
быть_AUX,-2.24,0.02575,2,13,15,34.01,fpi_lex_описание.tsv
мы_PRON,-2.2,0.02835,4,19,23,37.44,fpi_lex_повествование.tsv
мать_NOUN,-2.11,0.036,2,12,14,47.56,fpi_lex_описание.tsv
и_CCONJ,2.06,0.042,11,6,17,29.48,big5_lex_повествование.tsv
-_DET,-1.97,0.04961,1,9,10,65.53,fpi_lex_описание.tsv
