Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
очень_ADV,-4.49,1e-05,8,74,83,0.02,fpi_lex_повествование.tsv
вот_PART,-3.51,0.0005,4,28,32,1.15,fpi_lex_повествование.tsv
у_ADP,-3.2,0.00162,10,36,46,1.59,big5_lex_повествование.tsv
были_AUX,-3.06,0.00234,1,17,18,5.44,fpi_lex_повествование.tsv
я_PRON,-3.01,0.00271,19,80,99,6.3,fpi_lex_повествование.tsv
но_CCONJ,-2.92,0.00407,3,18,21,3.98,big5_lex_повествование.tsv
еще_ADV,-2.86,0.00436,5,32,37,10.12,fpi_lex_повествование.tsv
весёлый_ADJ,-2.82,0.00501,3,22,25,11.64,fpi_lex_повествование.tsv
видеться_VERB,-2.8,0.00532,20,83,103,12.37,fpi_lex_повествование.tsv
увидеться_VERB,-2.81,0.00571,0,10,10,5.6,big5_lex_повествование.tsv
будет_VERB,-2.78,0.00575,0,12,12,13.36,fpi_lex_повествование.tsv
подруга_NOUN,-2.69,0.00749,0,13,13,17.4,fpi_lex_повествование.tsv
скучать_VERB,-2.67,0.00802,0,12,12,18.63,fpi_lex_повествование.tsv
к_ADP,-2.58,0.01082,2,14,16,10.6,big5_lex_повествование.tsv
место_NOUN,-2.55,0.01114,1,16,17,25.87,fpi_lex_повествование.tsv
и_PART,-2.54,0.01139,4,28,32,26.46,fpi_lex_повествование.tsv
привет_NOUN,-2.53,0.01167,3,29,33,27.12,fpi_lex_повествование.tsv
хотеть_VERB,-2.51,0.01245,3,22,25,28.91,fpi_lex_повествование.tsv
группа_NOUN,-2.46,0.01415,1,13,14,32.87,fpi_lex_повествование.tsv
очень_ADV,-2.48,0.01416,4,20,24,13.87,big5_lex_повествование.tsv
из_ADP,-2.46,0.01422,2,12,15,33.04,fpi_lex_повествование.tsv
сегодня_ADV,-2.41,0.01633,1,10,11,37.93,fpi_lex_повествование.tsv
-_ADV,-2.4,0.01692,4,22,26,39.3,fpi_lex_повествование.tsv
надеяться_VERB,-2.23,0.02593,4,28,32,60.24,fpi_lex_повествование.tsv
все_PRON,-2.22,0.02831,1,10,11,27.74,big5_lex_повествование.tsv
не_PART,-2.19,0.02879,52,166,219,66.88,fpi_lex_повествование.tsv
это_PRON,-2.2,0.0293,3,12,15,28.71,big5_lex_повествование.tsv
этот_DET,-2.19,0.03001,1,10,11,29.41,big5_lex_повествование.tsv
решить_VERB,-2.18,0.03014,1,12,13,70.01,fpi_lex_повествование.tsv
картина_NOUN,-2.18,0.0302,3,14,17,70.15,fpi_lex_описание.tsv
пойти_VERB,-2.14,0.03316,1,16,17,77.02,fpi_lex_повествование.tsv
квартира_NOUN,-2.11,0.03513,1,10,11,81.6,fpi_lex_повествование.tsv
погода_NOUN,-2.08,0.03775,3,13,16,87.7,fpi_lex_повествование.tsv
в_ADP,-2.05,0.04222,14,44,58,41.37,big5_lex_повествование.tsv
после_ADP,-2.03,0.04297,3,17,20,99.81,fpi_lex_повествование.tsv
когда_SCONJ,-2.02,0.04487,2,10,12,43.97,big5_lex_повествование.tsv
воронеж_PROPN,-2.01,0.0452,1,13,14,105.01,fpi_lex_повествование.tsv
ходить_VERB,-1.99,0.04731,3,22,25,109.89,fpi_lex_повествование.tsv
помнить_VERB,-1.98,0.04861,2,18,20,112.92,fpi_lex_повествование.tsv
