Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
я_PRON,-4.18,3e-05,11,76,88,0.08,fpi_lex_повествование.tsv
но_CCONJ,-3.26,0.00123,7,40,47,2.81,fpi_lex_описание.tsv
даже_PART,-3.24,0.0013,0,15,15,2.97,fpi_lex_повествование.tsv
-_ADV,-3.13,0.00191,0,11,11,4.35,fpi_lex_повествование.tsv
очень_ADV,-3.11,0.00201,3,25,29,4.58,fpi_lex_повествование.tsv
по_ADP,-2.98,0.00323,0,16,16,7.38,fpi_lex_описание.tsv
любить_VERB,-2.87,0.00436,0,10,10,9.96,fpi_lex_повествование.tsv
мама_NOUN,-2.83,0.005,0,11,11,11.42,fpi_lex_описание.tsv
женщина_NOUN,-2.73,0.00709,0,11,11,8.46,big5_lex_описание.tsv
него_PRON,-2.68,0.00781,1,15,16,17.83,fpi_lex_описание.tsv
был_AUX,-2.64,0.00852,1,15,16,19.45,fpi_lex_повествование.tsv
то_PRON,-2.58,0.01035,0,10,10,23.63,fpi_lex_повествование.tsv
себя_PRON,-2.57,0.01055,1,17,18,24.08,fpi_lex_описание.tsv
такой_DET,-2.52,0.01205,2,18,20,27.5,fpi_lex_повествование.tsv
свой_DET,-2.53,0.01213,4,29,33,14.48,big5_lex_описание.tsv
его_DET,-2.44,0.01543,2,24,26,35.2,fpi_lex_описание.tsv
и_CCONJ,-2.39,0.01731,12,63,76,39.51,fpi_lex_повествование.tsv
все_PRON,-2.38,0.01797,1,10,11,41.02,fpi_lex_повествование.tsv
еще_ADV,-2.37,0.0185,0,10,10,42.23,fpi_lex_описание.tsv
в_ADP,-2.35,0.01965,8,37,45,23.47,big5_lex_описание.tsv
за_ADP,-2.31,0.02158,2,11,13,49.24,fpi_lex_повествование.tsv
мать_NOUN,-2.3,0.02241,2,13,15,26.76,big5_lex_описание.tsv
человек_NOUN,-2.21,0.02736,1,9,10,62.45,fpi_lex_повествование.tsv
знать_VERB,-2.21,0.0283,0,10,10,64.58,fpi_lex_описание.tsv
но_CCONJ,-2.19,0.02888,4,28,33,65.9,fpi_lex_повествование.tsv
за_ADP,-2.17,0.03099,4,17,21,37.01,big5_lex_описание.tsv
знать_VERB,-2.16,0.03125,1,11,12,71.32,fpi_lex_повествование.tsv
смотреть_VERB,-2.14,0.03277,2,16,18,74.78,fpi_lex_описание.tsv
очень_ADV,-2.07,0.03906,1,15,16,89.13,fpi_lex_описание.tsv
уже_ADV,-2.06,0.04008,2,11,13,91.47,fpi_lex_повествование.tsv
из_ADP,-2.04,0.04261,2,11,13,97.24,fpi_lex_описание.tsv
возможно_ADV,-1.97,0.04948,1,10,11,112.91,fpi_lex_описание.tsv
