Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
я_PRON,-7.38,0.0,34,196,232,0.0,fpi_lex_повествование.tsv
по_ADP,-5.81,0.0,10,100,110,0.0,fpi_lex_повествование.tsv
ты_PRON,-5.65,0.0,24,171,196,0.0,fpi_lex_повествование.tsv
соскучиться_VERB,-5.94,0.0,4,78,83,0.0,fpi_lex_повествование.tsv
буду_AUX,-4.18,4e-05,0,20,20,0.07,fpi_lex_повествование.tsv
скучать_VERB,-4.15,4e-05,7,81,88,0.08,fpi_lex_повествование.tsv
еще_ADV,-3.99,8e-05,2,28,30,0.16,fpi_lex_повествование.tsv
здесь_ADV,-3.97,9e-05,0,19,20,0.18,fpi_lex_повествование.tsv
любить_VERB,-3.86,0.00013,1,28,29,0.28,fpi_lex_повествование.tsv
я_PRON,-3.86,0.00015,16,63,79,0.16,big5_lex_повествование.tsv
надеяться_VERB,-3.65,0.0003,1,24,25,0.61,fpi_lex_повествование.tsv
не_PART,-3.6,0.00036,26,133,160,0.74,fpi_lex_повествование.tsv
привет_NOUN,-3.54,0.00044,1,24,25,0.91,fpi_lex_повествование.tsv
все_PRON,-3.61,0.00044,0,16,16,0.47,big5_lex_повествование.tsv
сильно_ADV,-3.52,0.00047,1,24,25,0.96,fpi_lex_повествование.tsv
в_ADP,-3.51,0.00049,23,103,127,1.01,fpi_lex_повествование.tsv
он_PRON,-3.48,0.00054,3,25,29,1.12,fpi_lex_повествование.tsv
человек_NOUN,-3.25,0.00131,0,13,13,2.69,fpi_lex_описание.tsv
мы_PRON,-3.23,0.00133,8,74,83,2.73,fpi_lex_повествование.tsv
и_CCONJ,-3.25,0.00136,9,41,50,1.44,big5_lex_повествование.tsv
была_AUX,-3.18,0.00161,0,15,15,3.3,fpi_lex_повествование.tsv
по_ADP,-3.18,0.00171,4,31,35,1.81,big5_lex_повествование.tsv
он_PRON,-3.14,0.00186,1,15,16,3.81,fpi_lex_описание.tsv
надеяться_VERB,-3.14,0.0021,0,14,14,2.22,big5_lex_повествование.tsv
вот_PART,-3.09,0.00215,3,20,23,4.4,fpi_lex_повествование.tsv
университет_NOUN,-3.06,0.00238,0,12,12,4.88,fpi_lex_повествование.tsv
писать_VERB,-3.04,0.00253,0,14,14,5.19,fpi_lex_повествование.tsv
хватать_VERB,-3.0,0.00281,1,30,31,5.75,fpi_lex_повествование.tsv
первый_ADJ,-2.95,0.00335,0,12,12,6.86,fpi_lex_повествование.tsv
мой_DET,-2.99,0.00339,0,10,10,3.58,big5_lex_повествование.tsv
