Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
он_PRON,-3.12,0.00192,1,14,15,3.8,fpi_lex_повествование.tsv
очень_ADV,-3.04,0.00248,3,19,22,4.88,fpi_lex_повествование.tsv
каждый_DET,-3.01,0.0028,0,11,11,5.52,fpi_lex_повествование.tsv
он_PRON,-2.96,0.00338,4,29,33,3.97,big5_lex_описание.tsv
хотеть_VERB,-2.91,0.00413,1,11,12,4.85,big5_lex_описание.tsv
весь_DET,-2.77,0.00584,2,16,19,11.52,fpi_lex_повествование.tsv
я_PRON,-2.72,0.00689,20,84,105,13.58,fpi_lex_повествование.tsv
но_CCONJ,-2.71,0.00714,2,17,19,14.07,fpi_lex_описание.tsv
которая_PRON,-2.58,0.01071,0,10,10,12.58,big5_lex_описание.tsv
она_PRON,-2.4,0.01732,12,62,74,34.16,fpi_lex_описание.tsv
а_CCONJ,-2.35,0.01901,4,16,20,37.49,fpi_lex_повествование.tsv
со_ADP,-2.34,0.01947,9,42,51,38.39,fpi_lex_повествование.tsv
за_ADP,-2.28,0.02279,2,14,16,44.93,fpi_lex_повествование.tsv
уже_ADV,-2.22,0.02717,1,12,13,53.58,fpi_lex_описание.tsv
дочь_NOUN,-2.22,0.02746,2,12,14,32.26,big5_lex_описание.tsv
у_ADP,-2.16,0.03167,3,22,25,62.46,fpi_lex_описание.tsv
но_CCONJ,-2.15,0.03224,3,14,17,63.59,fpi_lex_повествование.tsv
ребёнок_NOUN,-2.06,0.04037,2,15,17,79.61,fpi_lex_описание.tsv
молодой_ADJ,-2.05,0.04158,4,24,28,81.99,fpi_lex_описание.tsv
в_ADP,-2.02,0.04487,10,38,48,52.72,big5_lex_описание.tsv
что_SCONJ,-1.99,0.04712,5,16,22,92.92,fpi_lex_повествование.tsv
то_PRON,2.0,0.04892,6,4,10,96.47,fpi_lex_описание.tsv
