Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
соскучиться_VERB,-3.39,0.00085,3,30,33,2.1,big5_lex_повествование.tsv
по_ADP,-2.86,0.00465,10,38,48,11.3,big5_lex_повествование.tsv
все_PRON,-2.71,0.00753,18,75,93,18.3,big5_lex_повествование.tsv
хватать_VERB,-2.67,0.00857,1,11,12,20.8,big5_lex_повествование.tsv
вместе_ADV,-2.61,0.00991,2,12,14,24.1,big5_lex_повествование.tsv
всё_PRON,2.6,0.01109,14,4,18,27.0,big5_lex_повествование.tsv
очень_ADV,-2.53,0.01219,16,63,79,29.7,big5_lex_повествование.tsv
давно_ADV,-2.47,0.01439,2,13,15,35.0,big5_lex_повествование.tsv
скучать_VERB,-2.42,0.01626,4,26,30,39.5,big5_lex_повествование.tsv
_SPACE,-2.41,0.01702,4,17,21,41.4,big5_lex_повествование.tsv
месяц_NOUN,2.38,0.01899,20,14,34,46.2,big5_lex_повествование.tsv
со_ADP,-2.34,0.02053,4,15,19,49.9,big5_lex_повествование.tsv
ладно_PART,2.35,0.02123,9,3,12,51.6,big5_lex_повествование.tsv
город_NOUN,-2.12,0.03567,2,10,12,86.7,big5_lex_повествование.tsv
писать_VERB,2.04,0.04462,12,12,24,108.5,big5_lex_повествование.tsv
бабушка_NOUN,-2.48,0.01413,2,9,11,34.4,big5_lex_описание.tsv
день_NOUN,-2.82,0.00722,0,10,10,17.6,big5_lex_рассуждение.tsv
что_SCONJ,-2.74,0.00887,1,11,12,21.6,big5_lex_рассуждение.tsv
261_болезнь-здоровье,-3.08,0.00246,73,125,198,0.5,interp_big5_w2v_повествование.tsv
71_изобилие-недостаток,-2.96,0.00344,73,125,198,0.7,interp_big5_w2v_повествование.tsv
208_неживая_природа-живая_природа,2.93,0.00385,73,125,198,0.8,interp_big5_w2v_повествование.tsv
194_контроль-бесконтрольность,-2.86,0.00477,73,125,198,0.9,interp_big5_w2v_повествование.tsv
98_разрушение-поддержание,-2.76,0.00642,73,125,198,1.3,interp_big5_w2v_повествование.tsv
163_человек-инструмент,-2.73,0.00691,73,125,198,1.4,interp_big5_w2v_повествование.tsv
282_путешествие-домоседство,2.73,0.00697,73,125,198,1.4,interp_big5_w2v_повествование.tsv
216_старость-смерть,-2.71,0.00722,73,125,198,1.4,interp_big5_w2v_повествование.tsv
97_активность-пассивность,2.7,0.00797,73,125,198,1.6,interp_big5_w2v_повествование.tsv
200_природа-техника,2.68,0.0082,73,125,198,1.6,interp_big5_w2v_повествование.tsv
10_рутина-отдых,-2.66,0.00845,73,125,198,1.7,interp_big5_w2v_повествование.tsv
218_трусость-мужество,2.66,0.00849,73,125,198,1.7,interp_big5_w2v_повествование.tsv
2_неживая_природа-живая_природа,2.64,0.00891,73,125,198,1.8,interp_big5_w2v_повествование.tsv
269_власть-беспорядок,2.64,0.00898,73,125,198,1.8,interp_big5_w2v_повествование.tsv
78_популярность-безвестность,-2.66,0.00908,73,125,198,1.8,interp_big5_w2v_повествование.tsv
108_творчество-власть,2.63,0.00927,73,125,198,1.8,interp_big5_w2v_повествование.tsv
247_радостное_событие_грустное_событие,2.64,0.0093,73,125,198,1.8,interp_big5_w2v_повествование.tsv
79_многообразие-единство,-2.62,0.00951,73,125,198,1.9,interp_big5_w2v_повествование.tsv
228_народ-власть,-2.61,0.00988,73,125,198,2.0,interp_big5_w2v_повествование.tsv
59_увядание-расцвет,-2.6,0.00994,73,125,198,2.0,interp_big5_w2v_повествование.tsv
279_соблюдение_закона-правонарушение,-2.61,0.01,73,125,198,2.0,interp_big5_w2v_повествование.tsv
106_кончина-вечное_искусство,-2.58,0.0105,73,125,198,2.1,interp_big5_w2v_повествование.tsv
47_журналистика-литература,-2.57,0.01115,73,125,198,2.2,interp_big5_w2v_повествование.tsv
69_труд-месть,2.56,0.01138,73,125,198,2.3,interp_big5_w2v_повествование.tsv
192_производство-наука,2.55,0.01145,73,125,198,2.3,interp_big5_w2v_повествование.tsv
26_ненависть-дружба,2.55,0.01153,73,125,198,2.3,interp_big5_w2v_повествование.tsv
42_деструктивная_коммуникация-конструктивная_коммуникация,2.52,0.01251,73,125,198,2.5,interp_big5_w2v_повествование.tsv
119_окончание-процесс,2.51,0.01315,73,125,198,2.6,interp_big5_w2v_повествование.tsv
183_неживая_природа-живая_природа,-2.49,0.01365,73,125,198,2.7,interp_big5_w2v_повествование.tsv
5_польза-вред,-2.49,0.01386,73,125,198,2.7,interp_big5_w2v_повествование.tsv
153_прерывание-продолжение,2.46,0.01473,73,125,198,2.9,interp_big5_w2v_повествование.tsv
173_отдых-работа,-2.46,0.01475,73,125,198,2.9,interp_big5_w2v_повествование.tsv
132_правонарушение-соблюдение_закона,2.46,0.0149,73,125,198,3.0,interp_big5_w2v_повествование.tsv
174_праздник-быт,-2.45,0.01513,73,125,198,3.0,interp_big5_w2v_повествование.tsv
90_отдых-напряжение,-2.45,0.01552,73,125,198,3.1,interp_big5_w2v_повествование.tsv
48_отдаление-приближение,2.44,0.01556,73,125,198,3.1,interp_big5_w2v_повествование.tsv
267_неволя-свобода,-2.44,0.01559,73,125,198,3.1,interp_big5_w2v_повествование.tsv
29_негативные_чувства-духовные_чувства,2.44,0.01585,73,125,198,3.1,interp_big5_w2v_повествование.tsv
107_мир-драка,-2.43,0.01618,73,125,198,3.2,interp_big5_w2v_повествование.tsv
180_потребление-вывод,2.43,0.01625,73,125,198,3.2,interp_big5_w2v_повествование.tsv
131_процесс-завершение,-2.42,0.01662,73,125,198,3.3,interp_big5_w2v_повествование.tsv
238_дистанция-близость,-2.42,0.01663,73,125,198,3.3,interp_big5_w2v_повествование.tsv
49_развитие-откат,2.41,0.01678,73,125,198,3.3,interp_big5_w2v_повествование.tsv
111_нежелание-желание,-2.41,0.0168,73,125,198,3.3,interp_big5_w2v_повествование.tsv
50_проблема-взаимовыручка,2.41,0.01689,73,125,198,3.3,interp_big5_w2v_повествование.tsv
44_упорядоченность-однородная_масса,-2.39,0.01757,73,125,198,3.5,interp_big5_w2v_повествование.tsv
122_неопределенная_тема-здоровье,-2.39,0.01773,73,125,198,3.5,interp_big5_w2v_повествование.tsv
121_несовременность-актуальность,-2.38,0.01848,73,125,198,3.7,interp_big5_w2v_повествование.tsv
1_иерархия-равенство,2.37,0.01873,73,125,198,3.7,interp_big5_w2v_повествование.tsv
102_фантастика-реальность,-2.36,0.01928,73,125,198,3.8,interp_big5_w2v_повествование.tsv
209_отрицание-утверждение,2.36,0.01942,73,125,198,3.8,interp_big5_w2v_повествование.tsv
253_соблюдение_закона-правонарушение,-2.36,0.01943,73,125,198,3.8,interp_big5_w2v_повествование.tsv
185_беда-счастье,-2.36,0.0195,73,125,198,3.9,interp_big5_w2v_повествование.tsv
134_физическое-абстрактное,2.36,0.01965,73,125,198,3.9,interp_big5_w2v_повествование.tsv
41_развлечение-когнитивная-способность,2.34,0.0202,73,125,198,4.0,interp_big5_w2v_повествование.tsv
299_веселье-грусть,-2.34,0.02056,73,125,198,4.1,interp_big5_w2v_повествование.tsv
38_личное-общее,-2.33,0.02115,73,125,198,4.2,interp_big5_w2v_повествование.tsv
75_действующее_лицо-зритель,-2.32,0.02171,73,125,198,4.3,interp_big5_w2v_повествование.tsv
137_вертикальные_отношения-горизонтальные_отношения,2.31,0.02219,73,125,198,4.4,interp_big5_w2v_повествование.tsv
232_проблема-решение_проблем,2.31,0.02236,73,125,198,4.4,interp_big5_w2v_повествование.tsv
288_радость-недовольство,-2.3,0.02244,73,125,198,4.4,interp_big5_w2v_повествование.tsv
239_радость-недовольство,2.29,0.02292,73,125,198,4.5,interp_big5_w2v_повествование.tsv
20_покой-беспокойство,2.29,0.0231,73,125,198,4.6,interp_big5_w2v_повествование.tsv
231_злость-радость,-2.29,0.02338,73,125,198,4.6,interp_big5_w2v_повествование.tsv
256_фильм-жизнь,2.28,0.02388,73,125,198,4.7,interp_big5_w2v_повествование.tsv
193_порядок-беспорядок,2.27,0.02466,73,125,198,4.9,interp_big5_w2v_повествование.tsv
291_работа-санкция,-2.27,0.02472,73,125,198,4.9,interp_big5_w2v_повествование.tsv
118_покой-беспокойство,-2.25,0.02536,73,125,198,5.0,interp_big5_w2v_повествование.tsv
262_серьезность-шутка,2.25,0.02601,73,125,198,5.1,interp_big5_w2v_повествование.tsv
31_интеллект-культура,-2.24,0.02602,73,125,198,5.2,interp_big5_w2v_повествование.tsv
154_знание-сомнение,-2.24,0.02624,73,125,198,5.2,interp_big5_w2v_повествование.tsv
293_соблюдение_закона-правонарушение,2.22,0.02744,73,125,198,5.4,interp_big5_w2v_повествование.tsv
150_безопасность-опасность,2.22,0.02765,73,125,198,5.5,interp_big5_w2v_повествование.tsv
125_разработка-разрушение,2.21,0.02833,73,125,198,5.6,interp_big5_w2v_повествование.tsv
95_доброта-злость,-2.21,0.02844,73,125,198,5.6,interp_big5_w2v_повествование.tsv
273_жар-холод,-2.2,0.029,73,125,198,5.7,interp_big5_w2v_повествование.tsv
230_отступление-наступление,-2.2,0.02912,73,125,198,5.8,interp_big5_w2v_повествование.tsv
109_убожество-роскошь,2.19,0.02968,73,125,198,5.9,interp_big5_w2v_повествование.tsv
254_свобода-неволя,2.18,0.0302,73,125,198,6.0,interp_big5_w2v_повествование.tsv
219_соблюдение_закона-правонарушение,2.18,0.03021,73,125,198,6.0,interp_big5_w2v_повествование.tsv
181_дополнение-устранение,2.18,0.03022,73,125,198,6.0,interp_big5_w2v_повествование.tsv
168_работа-праздность,2.18,0.03041,73,125,198,6.0,interp_big5_w2v_повествование.tsv
179_работа-искусство,2.18,0.03074,73,125,198,6.1,interp_big5_w2v_повествование.tsv
155_поражение-победа,-2.17,0.031,73,125,198,6.1,interp_big5_w2v_повествование.tsv
220_власть-наука,2.17,0.03101,73,125,198,6.1,interp_big5_w2v_повествование.tsv
3_спокойствие-суматоха,2.18,0.03105,73,125,198,6.1,interp_big5_w2v_повествование.tsv
77_природные_процессы-военные_процессы,-2.17,0.03174,73,125,198,6.3,interp_big5_w2v_повествование.tsv
143_неважность-значимость,2.16,0.03231,73,125,198,6.4,interp_big5_w2v_повествование.tsv
189_наука-религия,-2.15,0.03301,73,125,198,6.5,interp_big5_w2v_повествование.tsv
124_сражение-тыл,2.15,0.03316,73,125,198,6.6,interp_big5_w2v_повествование.tsv
19_быстрое_явление-длительное_явление,-2.13,0.03445,73,125,198,6.8,interp_big5_w2v_повествование.tsv
27_труд-фортуна,-2.13,0.03464,73,125,198,6.9,interp_big5_w2v_повествование.tsv
280_радость-недовольство,-2.11,0.03634,73,125,198,7.2,interp_big5_w2v_повествование.tsv
66_курируемый-куратор,2.1,0.03713,73,125,198,7.4,interp_big5_w2v_повествование.tsv
100_труд-отдых,2.1,0.03717,73,125,198,7.4,interp_big5_w2v_повествование.tsv
17_полемика-консенсус,-2.1,0.03726,73,125,198,7.4,interp_big5_w2v_повествование.tsv
