Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
я_PRON,-4.0,8e-05,23,113,136,0.11,fpi_lex_повествование.tsv
очень_ADV,-3.95,9e-05,7,51,58,0.13,fpi_lex_повествование.tsv
кстати_ADV,-2.94,0.00353,0,10,10,5.0,fpi_lex_повествование.tsv
увидеться_VERB,-2.83,0.00492,0,10,10,6.96,fpi_lex_повествование.tsv
говорить_VERB,-2.77,0.00593,0,10,10,8.39,fpi_lex_повествование.tsv
мы_PRON,-2.64,0.00856,3,22,25,12.11,fpi_lex_повествование.tsv
свой_DET,-2.61,0.00964,1,11,12,6.62,big5_lex_описание.tsv
ты_PRON,-2.54,0.0114,18,81,99,16.13,fpi_lex_повествование.tsv
он_PRON,-2.34,0.01997,1,12,13,13.72,big5_lex_описание.tsv
и_PART,-2.29,0.02267,1,15,16,32.08,fpi_lex_повествование.tsv
она_PRON,-2.26,0.02461,1,9,10,34.83,fpi_lex_повествование.tsv
еще_ADV,-2.24,0.02527,4,23,27,35.75,fpi_lex_повествование.tsv
жизнь_NOUN,-2.22,0.02675,1,11,12,37.86,fpi_lex_повествование.tsv
встретиться_VERB,-2.04,0.04164,2,10,12,58.93,fpi_lex_повествование.tsv
в_ADP,-2.02,0.04446,2,19,21,62.91,fpi_lex_описание.tsv
