Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
познакомиться_VERB,-3.65,0.00029,1,19,20,0.42,fpi_lex_повествование.tsv
и_CCONJ,-3.53,0.00045,4,31,36,0.65,fpi_lex_повествование.tsv
молодой_ADJ,-3.42,0.00073,10,42,52,0.72,big5_lex_описание.tsv
что_SCONJ,-3.32,0.00101,5,41,47,1.47,fpi_lex_описание.tsv
ты_PRON,-3.25,0.00127,0,12,12,1.84,fpi_lex_повествование.tsv
очень_ADV,-3.16,0.00179,0,13,13,2.59,fpi_lex_описание.tsv
сторона_NOUN,-3.13,0.00195,0,14,14,2.82,fpi_lex_описание.tsv
я_PRON,-3.1,0.00201,7,41,48,2.92,fpi_lex_повествование.tsv
смотреть_VERB,-3.05,0.00251,0,12,12,3.64,fpi_lex_описание.tsv
молодой_ADJ,-3.01,0.00279,0,11,11,4.04,fpi_lex_повествование.tsv
-_PRON,-2.73,0.00672,1,13,14,9.75,fpi_lex_описание.tsv
то_PRON,-2.56,0.01105,1,12,13,16.02,fpi_lex_описание.tsv
молодой_ADJ,-2.56,0.01139,15,77,92,16.51,fpi_lex_описание.tsv
интересный_ADJ,-2.45,0.01449,1,13,14,21.01,fpi_lex_повествование.tsv
с_ADP,-2.33,0.02004,4,26,30,29.06,fpi_lex_повествование.tsv
что_SCONJ,-2.24,0.02567,1,11,12,37.22,fpi_lex_повествование.tsv
тот_DET,2.26,0.02594,9,1,10,25.47,big5_lex_описание.tsv
такой_DET,-2.21,0.02777,2,12,14,40.27,fpi_lex_повествование.tsv
очень_ADV,-1.99,0.04749,2,15,17,68.85,fpi_lex_повествование.tsv
